#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000004.1:11267-13066|+   -            600 182107at2            -            492  6.4e-222  735.2   6.4   1   1  1.6e-222  7.4e-220  728.5   6.4     1   491     4   594     4   595 0.89 NZ_ABFG01000004.1_13 # 11267 # 13066 # 1 # ID=47_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.528
NZ_ABFG01000002.1:450455-451639|+ -            395 182107at2            -            492     6e-13   46.0   0.1   1   1     3e-15   1.3e-12   44.8   0.1     3   200    14   249    13   276 0.68 NZ_ABFG01000002.1_399 # 450455 # 451639 # 1 # ID=49_399;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.541
NZ_ABFG01000002.1:182385-184235|+ -            617 182107at2            -            492   2.3e-12   44.1   0.0   1   1   7.4e-15   3.3e-12   43.6   0.0     8   196     7   209     1   217 0.78 NZ_ABFG01000002.1_169 # 182385 # 184235 # 1 # ID=49_169;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.569
NZ_ABFG01000005.1:149566-151005|+ -            480 182107at2            -            492   4.5e-11   39.8   0.1   1   2      0.16        71   -0.4   0.0     8    24    34    50    29    58 0.80 NZ_ABFG01000005.1_126 # 149566 # 151005 # 1 # ID=46_126;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABFG01000005.1:149566-151005|+ -            480 182107at2            -            492   4.5e-11   39.8   0.1   2   2   5.3e-13   2.4e-10   37.4   0.0    25   122    80   182    63   195 0.80 NZ_ABFG01000005.1_126 # 149566 # 151005 # 1 # ID=46_126;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABFG01000004.1:88227-89699|+   -            491 182107at2            -            492   1.2e-09   35.2   0.0   1   2     0.037        16    1.7   0.0    66   152    73   159     5   173 0.68 NZ_ABFG01000004.1_80 # 88227 # 89699 # 1 # ID=47_80;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABFG01000004.1:88227-89699|+   -            491 182107at2            -            492   1.2e-09   35.2   0.0   2   2   3.7e-11   1.7e-08   31.3   0.1     5   158   206   375   203   388 0.73 NZ_ABFG01000004.1_80 # 88227 # 89699 # 1 # ID=47_80;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABFG01000004.1:15008-15913|+   -            302 182107at2            -            492   0.00019   18.0   0.1   1   1   6.1e-07   0.00027   17.4   0.1     5   157    12   175     9   185 0.75 NZ_ABFG01000004.1_16 # 15008 # 15913 # 1 # ID=47_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.515
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /output/GCF_000171515.1_ASM17151v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171515.1_ASM17151v1_genomic/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /output/GCF_000171515.1_ASM17151v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:53:56 2026
# [ok]
