#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000009.1:32938-33399|-   -            154 1827295at2           -             74   8.6e-25   84.5   0.8   1   1   1.8e-26     4e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABFG01000009.1_39 # 32938 # 33399 # -1 # ID=42_39;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.537
NZ_ABFG01000008.1:260627-262132|- -            502 1827295at2           -             74    0.0026   15.7   0.4   2   2     0.013       2.9    5.9   0.0     9    31   279   301   269   307 0.80 NZ_ABFG01000008.1_231 # 260627 # 262132 # -1 # ID=43_231;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530
NZ_ABFG01000010.1:54680-56956|-   -            759 1827295at2           -             74    0.0027   15.6   0.1   1   2     0.022         5    5.1   0.0    12    31   211   230   197   237 0.82 NZ_ABFG01000010.1_45 # 54680 # 56956 # -1 # ID=41_45;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABFG01000010.1:54680-56956|-   -            759 1827295at2           -             74    0.0027   15.6   0.1   2   2    0.0034      0.77    7.8   0.1    10    33   490   513   473   517 0.85 NZ_ABFG01000010.1_45 # 54680 # 56956 # -1 # ID=41_45;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABFG01000009.1:46302-47279|-   -            326 1827295at2           -             74    0.0074   14.2   0.0   1   1   0.00011     0.025   12.5   0.0    31    64   102   136    94   141 0.78 NZ_ABFG01000009.1_49 # 46302 # 47279 # -1 # ID=42_49;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABFG01000010.1:3-287|-         -             95 1827295at2           -             74    0.0074   14.2   0.1   1   2       6.9   1.5e+03   -2.8   0.0    66    72     9    15     5    17 0.77 NZ_ABFG01000010.1_1 # 3 # 287 # -1 # ID=41_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFG01000010.1:3-287|-         -             95 1827295at2           -             74    0.0074   14.2   0.1   2   2   7.1e-05     0.016   13.2   0.1     4    32    23    51    18    59 0.84 NZ_ABFG01000010.1_1 # 3 # 287 # -1 # ID=41_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFG01000003.1:283460-286600|+ -           1047 1827295at2           -             74     0.016   13.2   0.0   1   1   0.00018      0.04   11.9   0.0    10    33    32    55    21    61 0.84 NZ_ABFG01000003.1_288 # 283460 # 286600 # 1 # ID=48_288;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABFG01000003.1:227498-228769|- -            424 1827295at2           -             74     0.018   13.0   0.1   1   1   0.00019     0.042   11.8   0.1     5    33   109   137   102   144 0.85 NZ_ABFG01000003.1_234 # 227498 # 228769 # -1 # ID=48_234;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530
NZ_ABFG01000005.1:339272-340633|+ -            454 1827295at2           -             74     0.018   13.0   0.1   1   1   0.00019     0.042   11.8   0.1     2    33    91   125    89   130 0.85 NZ_ABFG01000005.1_303 # 339272 # 340633 # 1 # ID=46_303;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABFG01000002.1:326792-327505|+ -            238 1827295at2           -             74     0.024   12.6   0.1   1   1    0.0002     0.045   11.7   0.1     8    29    29    52    16    59 0.80 NZ_ABFG01000002.1_291 # 326792 # 327505 # 1 # ID=49_291;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.601
NZ_ABFG01000017.1:35953-36609|-   -            219 1827295at2           -             74     0.024   12.6   0.1   1   1    0.0002     0.045   11.7   0.1     9    32    30    53    14    62 0.78 NZ_ABFG01000017.1_37 # 35953 # 36609 # -1 # ID=34_37;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.586
NZ_ABFG01000003.1:250710-251819|+ -            370 1827295at2           -             74     0.046   11.7   0.0   1   1   0.00048      0.11   10.5   0.0     9    29    45    65    30    71 0.84 NZ_ABFG01000003.1_255 # 250710 # 251819 # 1 # ID=48_255;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABFG01000001.1:282070-282822|+ -            251 1827295at2           -             74     0.051   11.5   0.0   1   2    0.0011      0.25    9.3   0.0     8    27    27    48    13    53 0.82 NZ_ABFG01000001.1_268 # 282070 # 282822 # 1 # ID=50_268;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.552
NZ_ABFG01000001.1:282070-282822|+ -            251 1827295at2           -             74     0.051   11.5   0.0   2   2       2.5   5.6e+02   -1.4   0.0    12    33   112   133   104   136 0.83 NZ_ABFG01000001.1_268 # 282070 # 282822 # 1 # ID=50_268;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.552
NZ_ABFG01000008.1:75191-76726|-   -            512 1827295at2           -             74      0.11   10.4   1.7   1   2     0.029       6.4    4.8   0.2     9    29    38    58    26    61 0.82 NZ_ABFG01000008.1_62 # 75191 # 76726 # -1 # ID=43_62;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.515
NZ_ABFG01000008.1:75191-76726|-   -            512 1827295at2           -             74      0.11   10.4   1.7   2   2     0.048        11    4.1   0.1     9    28   290   309   275   312 0.82 NZ_ABFG01000008.1_62 # 75191 # 76726 # -1 # ID=43_62;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.515
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /output/GCF_000171515.1_ASM17151v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171515.1_ASM17151v1_genomic/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /output/GCF_000171515.1_ASM17151v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:53:56 2026
# [ok]
