#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000063.1:9015-9476|-     -            154 1827295at2           -             74   8.9e-25   84.5   0.8   1   1   1.5e-26     4e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABAO01000063.1_11 # 9015 # 9476 # -1 # ID=51_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABAO01000011.3:115904-118180|+ -            759 1827295at2           -             74    0.0028   15.6   0.1   1   2      0.02       5.3    5.1   0.0    12    31   211   230   197   237 0.82 NZ_ABAO01000011.3_112 # 115904 # 118180 # 1 # ID=103_112;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABAO01000011.3:115904-118180|+ -            759 1827295at2           -             74    0.0028   15.6   0.1   2   2    0.0031       0.8    7.8   0.1    10    33   490   513   473   517 0.85 NZ_ABAO01000011.3_112 # 115904 # 118180 # 1 # ID=103_112;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABAO01000011.3:17883-19619|-   -            579 1827295at2           -             74    0.0033   15.4   0.7   1   2    0.0015       0.4    8.7   0.1    10    31    35    56    18    63 0.83 NZ_ABAO01000011.3_20 # 17883 # 19619 # -1 # ID=103_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NZ_ABAO01000011.3:17883-19619|-   -            579 1827295at2           -             74    0.0033   15.4   0.7   2   2     0.033       8.6    4.5   0.1     8    29   353   376   336   382 0.78 NZ_ABAO01000011.3_20 # 17883 # 19619 # -1 # ID=103_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NZ_ABAO01000048.1:9273-10250|-    -            326 1827295at2           -             74    0.0077   14.2   0.0   1   2   9.9e-05     0.026   12.5   0.0    31    64   102   136    94   141 0.78 NZ_ABAO01000048.1_8 # 9273 # 10250 # -1 # ID=66_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NZ_ABAO01000048.1:9273-10250|-    -            326 1827295at2           -             74    0.0077   14.2   0.0   2   2       9.3   2.4e+03   -3.4   0.0    17    30   162   175   161   181 0.77 NZ_ABAO01000048.1_8 # 9273 # 10250 # -1 # ID=66_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NZ_ABAO01000012.1:63875-67015|-   -           1047 1827295at2           -             74     0.016   13.2   0.0   1   1   0.00016     0.042   11.9   0.0    10    33    32    55    21    61 0.84 NZ_ABAO01000012.1_57 # 63875 # 67015 # -1 # ID=102_57;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABAO01000003.1:3109-4380|+     -            424 1827295at2           -             74     0.019   13.0   0.1   1   1   0.00017     0.044   11.8   0.1     5    33   109   137   102   144 0.85 NZ_ABAO01000003.1_4 # 3109 # 4380 # 1 # ID=111_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.528
NZ_ABAO01000014.1:15214-16575|-   -            454 1827295at2           -             74     0.019   13.0   0.1   1   1   0.00017     0.044   11.8   0.1     2    33    91   125    89   130 0.85 NZ_ABAO01000014.1_17 # 15214 # 16575 # -1 # ID=100_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NZ_ABAO01000004.3:86382-87095|-   -            238 1827295at2           -             74     0.025   12.6   0.1   1   1   0.00018     0.048   11.7   0.1     8    29    29    52    16    59 0.80 NZ_ABAO01000004.3_73 # 86382 # 87095 # -1 # ID=110_73;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.599
NZ_ABAO01000002.1:224850-225506|- -            219 1827295at2           -             74     0.034   12.2   0.1   1   1   0.00024     0.061   11.3   0.1     9    30    30    51    14    62 0.79 NZ_ABAO01000002.1_214 # 224850 # 225506 # -1 # ID=112_214;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.583
NZ_ABAO01000012.1:98657-99766|-   -            370 1827295at2           -             74     0.048   11.7   0.0   1   1   0.00044      0.11   10.5   0.0     9    29    45    65    30    71 0.84 NZ_ABAO01000012.1_90 # 98657 # 99766 # -1 # ID=102_90;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABAO01000026.1:6406-7158|-     -            251 1827295at2           -             74     0.057   11.4   0.0   1   2     0.001      0.26    9.3   0.0     8    27    27    48    13    53 0.82 NZ_ABAO01000026.1_9 # 6406 # 7158 # -1 # ID=88_9;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.548
NZ_ABAO01000026.1:6406-7158|-     -            251 1827295at2           -             74     0.057   11.4   0.0   2   2       2.3   5.9e+02   -1.4   0.0    12    33   112   133   104   136 0.83 NZ_ABAO01000026.1_9 # 6406 # 7158 # -1 # ID=88_9;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.548
NZ_ABAO01000008.1:90564-92099|+   -            512 1827295at2           -             74      0.12   10.4   1.7   1   2     0.026       6.7    4.8   0.2     9    29    38    58    26    61 0.82 NZ_ABAO01000008.1_100 # 90564 # 92099 # 1 # ID=106_100;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
NZ_ABAO01000008.1:90564-92099|+   -            512 1827295at2           -             74      0.12   10.4   1.7   2   2     0.043        11    4.1   0.1     9    28   290   309   275   312 0.82 NZ_ABAO01000008.1_100 # 90564 # 92099 # 1 # ID=106_100;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /output/GCF_000170255.1_ASM17025v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000170255.1_ASM17025v1_genomic/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /output/GCF_000170255.1_ASM17025v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:51:27 2026
# [ok]
