#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000016.3:55521-57320|-   -            600 182107at2            -            492  6.7e-222  735.2   6.4   1   1  1.3e-222  7.7e-220  728.5   6.4     1   491     4   594     4   595 0.89 NZ_ABAO01000016.3_53 # 55521 # 57320 # -1 # ID=98_53;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NZ_ABAO01000009.1:119015-120487|- -            491 182107at2            -            492   1.2e-09   35.2   0.0   2   2     3e-11   1.8e-08   31.3   0.1     5   158   206   375   203   388 0.73 NZ_ABAO01000009.1_99 # 119015 # 120487 # -1 # ID=105_99;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABAO01000016.3:52674-53579|-   -            302 182107at2            -            492   0.00022   17.8   0.1   1   1   5.5e-07   0.00032   17.3   0.1     5   157    12   175     9   185 0.76 NZ_ABAO01000016.3_50 # 52674 # 53579 # -1 # ID=98_50;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /output/GCF_000170255.1_ASM17025v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000170255.1_ASM17025v1_genomic/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /output/GCF_000170255.1_ASM17025v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:51:27 2026
# [ok]
