#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:541919-542380|-   -            154 1827295at2           -             74   1.5e-24   83.7   1.3   1   1   2.9e-26   7.3e-24   81.6   1.3     8    74    20   111    12   111 0.82 NZ_ABFH02000001.1_498 # 541919 # 542380 # -1 # ID=5_498;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.537
NZ_ABFH02000002.1:1222710-1224446|+ -            579 1827295at2           -             74    0.0032   15.4   0.7   2   2     0.033       8.4    4.5   0.1     8    29   353   376   336   382 0.78 NZ_ABFH02000002.1_1223 # 1222710 # 1224446 # 1 # ID=4_1223;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558
NZ_ABFH02000001.1:1093975-1094517|- -            181 1827295at2           -             74    0.0062   14.5   0.0   1   1   4.1e-05     0.011   13.8   0.0    10    28     2    20     1    27 0.87 NZ_ABFH02000001.1_977 # 1093975 # 1094517 # -1 # ID=5_977;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.569
NZ_ABFH02000001.1:555283-556260|-   -            326 1827295at2           -             74    0.0075   14.2   0.0   1   2   9.9e-05     0.025   12.5   0.0    31    64   102   136    94   141 0.78 NZ_ABFH02000001.1_508 # 555283 # 556260 # -1 # ID=5_508;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.536
NZ_ABFH02000001.1:555283-556260|-   -            326 1827295at2           -             74    0.0075   14.2   0.0   2   2       9.3   2.4e+03   -3.4   0.0    17    30   162   175   161   181 0.77 NZ_ABFH02000001.1_508 # 555283 # 556260 # -1 # ID=5_508;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.536
NZ_ABFH02000002.1:1684980-1688120|+ -           1047 1827295at2           -             74     0.016   13.2   0.0   1   1   0.00016     0.041   11.9   0.0    10    33    32    55    21    61 0.84 NZ_ABFH02000002.1_1669 # 1684980 # 1688120 # 1 # ID=4_1669;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABFH02000002.1:1629004-1630275|- -            424 1827295at2           -             74     0.019   13.0   0.1   1   1   0.00017     0.043   11.8   0.1     5    33   109   137   102   144 0.85 NZ_ABFH02000002.1_1615 # 1629004 # 1630275 # -1 # ID=4_1615;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.531
NZ_ABFH02000001.1:2368359-2369720|+ -            454 1827295at2           -             74     0.019   13.0   0.1   1   1   0.00017     0.043   11.8   0.1     2    33    91   125    89   130 0.85 NZ_ABFH02000001.1_2174 # 2368359 # 2369720 # 1 # ID=5_2174;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.553
NZ_ABFH02000001.1:1945211-1945867|- -            219 1827295at2           -             74     0.024   12.6   0.1   1   1   0.00018     0.046   11.7   0.1     9    32    30    53    14    62 0.78 NZ_ABFH02000001.1_1764 # 1945211 # 1945867 # -1 # ID=5_1764;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.588
NZ_ABFH02000001.1:1449039-1449752|+ -            238 1827295at2           -             74     0.025   12.6   0.1   1   1   0.00018     0.047   11.7   0.1     8    29    29    52    16    59 0.80 NZ_ABFH02000001.1_1293 # 1449039 # 1449752 # 1 # ID=5_1293;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.598
NZ_ABFH02000002.1:1652228-1653337|+ -            370 1827295at2           -             74     0.047   11.7   0.0   1   1   0.00044      0.11   10.5   0.0     9    29    45    65    30    71 0.84 NZ_ABFH02000002.1_1636 # 1652228 # 1653337 # 1 # ID=4_1636;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABFH02000001.1:851867-853402|-   -            512 1827295at2           -             74      0.11   10.4   1.7   1   2     0.026       6.6    4.8   0.2     9    29    38    58    26    61 0.82 NZ_ABFH02000001.1_755 # 851867 # 853402 # -1 # ID=5_755;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.513
NZ_ABFH02000001.1:851867-853402|-   -            512 1827295at2           -             74      0.11   10.4   1.7   2   2     0.043        11    4.1   0.1     9    28   290   309   275   312 0.82 NZ_ABFH02000001.1_755 # 851867 # 853402 # -1 # ID=5_755;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.513
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /output/GCF_000171535.2_ASM17153v2_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171535.2_ASM17153v2_genomic/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /output/GCF_000171535.2_ASM17153v2_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:54:27 2026
# [ok]
