"Product","Gene_Name","Count","Example_Tag","DbXrefs"
"AraC family transcriptional regulator","araC",42,"GEGEGB_06130","RefSeq:WP_000579795.1, SO:0001217, UniParc:UPI0000059D97, UniRef:UniRef100_A0A725G722, UniRef:UniRef50_A0A485C9J7, UniRef:UniRef90_A0A379TXQ3"
"DNA-binding winged helix-turn-helix (wHTH) domain","cadC1",41,"GEGEGB_00090","COG:COG3710, COG:K, RefSeq:WP_000860681.1, SO:0001217, UniParc:UPI0000059972, UniRef:UniRef100_A0A1S0ZFE9, UniRef:UniRef50_A0A1D8JNT5, UniRef:UniRef90_A0A2I5HLJ8"
"MFS transporter","ycaD",41,"GEGEGB_03510","RefSeq:WP_000477131.1, SO:0001217, UniParc:UPI000190B5AB, UniRef:UniRef100_UPI000190B5AB, UniRef:UniRef50_A0A4Z0PGZ8, UniRef:UniRef90_A0A4Z0PGZ8"
"Outer membrane protein",NA,38,"GEGEGB_00860","RefSeq:WP_000765363.1, SO:0001217, UniParc:UPI0000059A00, UniRef:UniRef100_A0A5I0S5B0, UniRef:UniRef50_A0A806Z0M5, UniRef:UniRef90_A0A3L2NSX4"
"LysR family transcriptional regulator","lysR",37,"GEGEGB_02375","COG:COG0583, COG:K, RefSeq:WP_000438886.1, SO:0001217, UniParc:UPI0000059B05, UniRef:UniRef100_A0A3U7XTY6, UniRef:UniRef50_P23841, UniRef:UniRef90_A0A7D8ILI2"
"Amino acid permease","lysP",36,"GEGEGB_02745","COG:COG0833, COG:E, SO:0001217, UniParc:UPI0000059B3F, UniRef:UniRef100_A0A3Z7WC53, UniRef:UniRef50_E5YLF7, UniRef:UniRef90_A0A379TVT1"
"DMSO reductase anchor subunit DmsC","dmsC",36,"GEGEGB_01790","COG:C, COG:COG3302, RefSeq:WP_000544883.1, SO:0001217, UniParc:UPI0000059A9D, UniRef:UniRef100_A0A5I5V4Q0, UniRef:UniRef50_A0A0L6XV91, UniRef:UniRef90_A0A2I5HDY8"
"DMSO/selenate family reductase complex B subunit","dmsB",36,"GEGEGB_01785","COG:C, COG:COG0437, EC:1.8.5.3, RefSeq:WP_000077439.1, SO:0001217, UniParc:UPI0000059A9C, UniRef:UniRef100_A0A725FWJ4, UniRef:UniRef50_A0A1B7JRC8, UniRef:UniRef90_A0A2I5HDP2"
"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains","citB",36,"GEGEGB_16000","COG:COG2197, COG:TK, RefSeq:WP_001275352.1, SO:0001217, UniParc:UPI000005A45C, UniRef:UniRef100_A0A725G4T4, UniRef:UniRef50_P54794, UniRef:UniRef90_A9MQN7"
"Small-conductance mechanosensitive channel","mscS",36,"GEGEGB_06020","COG:COG0668, COG:M, RefSeq:WP_000456065.1, SO:0001217, UniParc:UPI0000059D84, UniRef:UniRef100_A0A5J0VN88, UniRef:UniRef50_C9Y0J6, UniRef:UniRef90_A0A2I5HHN3"
"Methyl-accepting chemotaxis protein (MCP)","tar",35,"GEGEGB_08270","COG:COG0840, COG:T, RefSeq:WP_000945629.1, SO:0001217, UniParc:UPI0000059F01, UniRef:UniRef100_A0A725VMP7, UniRef:UniRef50_C6G4D7, UniRef:UniRef90_A0A3F3J3K6"
"DUF1471 domain-containing protein","ydgH",30,"GEGEGB_07360","RefSeq:WP_000769298.1, SO:0001217, UniParc:UPI0000059E70, UniRef:UniRef100_A0A725GCH8, UniRef:UniRef50_P76177, UniRef:UniRef90_D4B9U9"
"Na+/melibiose symporter or related transporter","melB",30,"GEGEGB_00235","COG:COG2211, COG:G, RefSeq:WP_010989104.1, SO:0001217, UniParc:UPI000005998C, UniRef:UniRef100_A0A726A8Z1, UniRef:UniRef50_A0A0J1MXE3, UniRef:UniRef90_A0A0J1MXE3"
"Recombination-promoting DNA endonuclease RpnC/YadD","rpnC",30,"GEGEGB_12550","COG:COG5464, COG:L, RefSeq:WP_000440515.1, SO:0001217, UniParc:UPI000005A1F7, UniRef:UniRef100_A0A725GD44, UniRef:UniRef50_A0A078LGF3, UniRef:UniRef90_A0A0H3BM92"
"Permease of the drug/metabolite transporter (DMT) superfamily","rhaT",29,"GEGEGB_16960","COG:COG0697, COG:GER, RefSeq:WP_000813052.1, SO:0001217, UniParc:UPI000005A4FF, UniRef:UniRef100_A0A6C7HUA2, UniRef:UniRef50_P0AA74, UniRef:UniRef90_E3G0W5"
"DNA-binding transcriptional regulator, LacI/PurR family","purR",28,"GEGEGB_02805","COG:COG1609, COG:K, RefSeq:WP_000026949.1, SO:0001217, UniParc:UPI0000059B4B, UniRef:UniRef100_A0A3Z3HYK2, UniRef:UniRef50_A0A078LB04, UniRef:UniRef90_A0A7U9DGC4"
"Cell wall-associated hydrolase, NlpC_P60 family","nlpC",27,"GEGEGB_05020","COG:COG0791, COG:M, SO:0001217, UniParc:UPI0000059CCB, UniRef:UniRef100_A0A725VIU4, UniRef:UniRef50_A9MMN8, UniRef:UniRef90_A0A315FWR9"
"Cytoplasmic chaperone TorD involved in molybdoenzyme TorA maturation","torD",27,"GEGEGB_09425","COG:COG3381, COG:O, RefSeq:WP_001001883.1, SO:0001217, UniParc:UPI0000059FD3, UniRef:UniRef100_A0A8E6XGU9, UniRef:UniRef50_P75915, UniRef:UniRef90_A0A2I5HI00"
"DUF1307 domain-containing protein","yehR",27,"GEGEGB_03735","COG:COG4808, COG:S, RefSeq:WP_001197951.1, SO:0001217, UniParc:UPI0000059BF5, UniRef:UniRef100_A0A5U9I685, UniRef:UniRef50_A0A6C8GAZ3, UniRef:UniRef90_A0A6C8GAZ3"
"DUF2867 domain-containing protein","ybjT",27,"GEGEGB_10550","COG:COG0702, COG:R, RefSeq:WP_000079004.1, SO:0001217, UniParc:UPI000005A09E, UniRef:UniRef100_A0A725VKR4, UniRef:UniRef50_Q1RE56, UniRef:UniRef90_S5NCR9"
"Di- and tricarboxylate antiporter","citT",27,"GEGEGB_02865","COG:COG0471, COG:G, RefSeq:WP_001012871.1, SO:0001217, UniParc:UPI0000059B57, UniRef:UniRef100_A0A725VKT5, UniRef:UniRef50_P0AFU3, UniRef:UniRef90_A0A0J1LV49"
"FKBP-type peptidyl-prolyl cis-trans isomerase","fkpB",27,"GEGEGB_00260","COG:COG1047, COG:O, EC:5.2.1.8, GO:0003755, RefSeq:WP_000047269.1, SO:0001217, UniParc:UPI0000059992, UniRef:UniRef100_A0A5J2DR30, UniRef:UniRef50_P0AEM2, UniRef:UniRef90_A0A089PSI7"
"L,D-transpeptidase","ldtA",27,"GEGEGB_04570","COG:COG1376, COG:M, EC:2.-.-.-, GO:0008360, GO:0016740, GO:0016757, GO:0018104, GO:0042597, GO:0071555, GO:0071972, RefSeq:WP_001252821.1, SO:0001217, UniParc:UPI0000059C87, UniRef:UniRef100_A0A725JT60, UniRef:UniRef50_P39176, UniRef:UniRef90_P40680"
"L-serine ammonia-lyase","sdaA",27,"GEGEGB_03525","COG:COG1760, COG:E, EC:4.3.1.17, GO:0003941, GO:0009063, GO:0051539, RefSeq:WP_000443204.1, SO:0001217, UniParc:UPI0000059BD0, UniRef:UniRef100_A0A725K1U9, UniRef:UniRef50_A0A0K0HCE7, UniRef:UniRef90_A0A0K0HCE7"
"Major facilitator superfamily (MFS) profile domain-containing protein",NA,27,"GEGEGB_02365","RefSeq:WP_000513243.1, SO:0001217, UniParc:UPI0000059B04, UniRef:UniRef100_A0A5W5CZM4, UniRef:UniRef50_P0AFF4, UniRef:UniRef90_A8ADJ0"
"Multidrug resistance efflux pump EmrA","emrA",27,"GEGEGB_06945","COG:COG1566, COG:V, RefSeq:WP_001538147.1, SO:0001217, UniParc:UPI00016BE94E, UniRef:UniRef100_A0A5W7MNI4, UniRef:UniRef50_A8AH25, UniRef:UniRef90_A0A6C6Z0Y6"
"Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family","cDA1",27,"GEGEGB_00955","COG:COG0726, COG:GM, RefSeq:WP_000245324.1, SO:0001217, UniParc:UPI000190B82D, UniRef:UniRef100_A0A725VJY8, UniRef:UniRef50_P31666, UniRef:UniRef90_A0A0K0H7A6"
"Phosphotransferase system, galactitol-specific IIB component","sgaB",27,"GEGEGB_02815","COG:COG3414, COG:G, RefSeq:WP_000699818.1, SO:0001217, UniParc:UPI0000059B4D, UniRef:UniRef100_A0A8E6XGK2, UniRef:UniRef50_X2JRI4, UniRef:UniRef90_A8ADT3"
"Redox-sensing c-di-GMP phosphodiesterase, contains CSS-motif and EAL domains","yjcC",27,"GEGEGB_12600","COG:COG4943, COG:T, RefSeq:WP_000213129.1, SO:0001217, UniParc:UPI000005A202, UniRef:UniRef100_A0A3U8Y2Q1, UniRef:UniRef50_A0A616J622, UniRef:UniRef90_A0A616J622"
"SDR family oxidoreductase","yqjQ",27,"GEGEGB_03660","RefSeq:WP_000169609.1, SO:0001217, UniParc:UPI0000059BE7, UniRef:UniRef100_A0A725VDA5, UniRef:UniRef90_A0A2I5HEK4"
"Secreted protein",NA,27,"GEGEGB_00865","RefSeq:WP_000757452.1, SO:0001217, UniParc:UPI0000059A01, UniRef:UniRef100_A0A725G7D7, UniRef:UniRef50_W7P6W3, UniRef:UniRef90_S5MLC9"
"Serine transporter YbeC, amino acid:H+ symporter family","potE",27,"GEGEGB_02735","COG:COG0531, COG:E, RefSeq:WP_000072509.1, SO:0001217, UniParc:UPI0000059B3D, UniRef:UniRef100_A0A725K478, UniRef:UniRef50_A9MJ66, UniRef:UniRef90_A9MJ66"
"Uncharacterized membrane protein YccC","yccC",27,"GEGEGB_04335","COG:COG1289, COG:S, RefSeq:WP_001200856.1, SO:0001217, UniParc:UPI0000059C5F, UniRef:UniRef100_A0A725G659, UniRef:UniRef50_P33011, UniRef:UniRef90_A0A379S0Q8"
"anaerobic sulfatase maturase","aslB",27,"GEGEGB_00205","COG:COG0641, COG:O, GO:0016491, GO:0018209, GO:0046500, GO:0051539, KEGG:K06871, RefSeq:WP_000971151.1, SO:0001217, UniParc:UPI0000059986, UniRef:UniRef100_A0A725VNH7, UniRef:UniRef50_A0A331WMH7, UniRef:UniRef90_A9MR53"
"cytochrome d ubiquinol oxidase subunit II","appB",27,"GEGEGB_05765","COG:C, COG:COG1294, EC:7.1.1.-, RefSeq:WP_000888121.1, SO:0001217, UniParc:UPI0000059D52, UniRef:UniRef100_A0A725VGG8, UniRef:UniRef50_A0A377M5C9, UniRef:UniRef90_A0A7D8ENY7"
"metal-dependent hydrolase","ybcI",27,"GEGEGB_06370","COG:COG1988, COG:R, RefSeq:WP_000505801.1, SO:0001217, UniParc:UPI0000059DBC, UniRef:UniRef100_A0A725G8E9, UniRef:UniRef50_P64481, UniRef:UniRef90_A0A725G8E9"
"oxidoreductase","panE",27,"GEGEGB_01535","COG:COG1893, COG:H, RefSeq:WP_000684023.1, SO:0001217, UniParc:UPI0000059A73, UniRef:UniRef100_A0A725VJ29, UniRef:UniRef50_A0A2X5C165, UniRef:UniRef90_A0A2X5C165"
"EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)","eAL",26,"GEGEGB_01935","COG:COG2200, COG:T, RefSeq:WP_000773655.1, SO:0001217, UniParc:UPI0000059AB3, UniRef:UniRef100_A0A725VKN3, UniRef:UniRef50_P77172, UniRef:UniRef90_A0A379SQE5"
"Conserved domain protein",NA,25,"GEGEGB_00425","RefSeq:WP_001172089.1, SO:0001217, UniParc:UPI00000599B1, UniRef:UniRef100_E8XGZ0, UniRef:UniRef50_A0A1F2M7H9, UniRef:UniRef90_E8XGZ0"
"Redox-sensitive bicupin YhaK, pirin superfamily","yhaK",24,"GEGEGB_10460","COG:COG1741, COG:R, RefSeq:WP_000809962.1, SO:0001217, UniParc:UPI000005A08D, UniRef:UniRef100_A0A725GEK5, UniRef:UniRef50_A0A379TFY2, UniRef:UniRef90_A0A379TFY2"
"YdgH/BhsA/McbA-like domain-containing protein",NA,24,"GEGEGB_09020","RefSeq:WP_000800134.1, SO:0001217, UniParc:UPI0000059F8A, UniRef:UniRef100_A0A8E6XGG3, UniRef:UniRef50_A0A0A6GCE3, UniRef:UniRef90_A0A6C8G8Y5"
"Transcriptional regulator",NA,23,"GEGEGB_15450","RefSeq:WP_000134788.1, SO:0001217, UniParc:UPI000005A3F6, UniRef:UniRef100_A0A726A9U2, UniRef:UniRef50_V1HTZ4, UniRef:UniRef90_V7IYB2"
"Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family","dedA",22,"GEGEGB_00570","COG:COG0586, COG:M, RefSeq:WP_001148375.1, SO:0001217, UniParc:UPI00000599CC, UniRef:UniRef100_A0A725FVK6, UniRef:UniRef50_P30149, UniRef:UniRef90_A0A5R1YXB8"
"Porin",NA,22,"GEGEGB_03055","SO:0001217, UniRef:UniRef50_P76471, UniRef:UniRef90_A9MJC9"
"DNA-binding transcriptional regulator, CsgD family","csgD",20,"GEGEGB_06050","COG:COG2771, COG:K, RefSeq:WP_001787632.1, SO:0001217, UniParc:UPI0000059D88, UniRef:UniRef100_A0A725G1Z2, UniRef:UniRef50_A9MFK1, UniRef:UniRef90_A0A2C9P6B0"
"Outer membrane porin OmpC/OmpF/PhoE","ompC",20,"GEGEGB_12380","COG:COG3203, COG:M, RefSeq:WP_000152873.1, SO:0001217, UniParc:UPI000005A1DB, UniRef:UniRef100_A0A725GD25, UniRef:UniRef50_A0A1X1D1Y9, UniRef:UniRef90_C0PVG1"
"heme exporter protein CcmD","ccmD",20,"GEGEGB_03300","EC:7.6.2.-, GO:0015886, GO:0016020, GO:0017004, RefSeq:WP_001520340.1, SO:0001217, UniParc:UPI00016C1426, UniRef:UniRef100_A0A7D8EPP3, UniRef:UniRef50_A0A7D8EPP3, UniRef:UniRef90_A0A7D8EPP3"
"Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase","adhE",19,"GEGEGB_16030","COG:COG1012, COG:I, RefSeq:WP_001286412.1, SO:0001217, UniParc:UPI000005A461, UniRef:UniRef100_A0A3X8ZEG7, UniRef:UniRef50_A0A447LCD5, UniRef:UniRef90_A0A379UV14"
"Integral membrane protein YbhL, putative Ca2+ regulator, Bax inhibitor (BI-1)/TMBIM family","ybhL",19,"GEGEGB_10975","COG:COG0670, COG:P, SO:0001217, UniParc:UPI0001912D67, UniRef:UniRef100_A0A655BNG7, UniRef:UniRef50_P0AAC5, UniRef:UniRef90_G9Z590"
"RocR-type transcriptional regulator, contains PAS, AAA-type ATPase, and DNA-binding Fis domains","rocR",19,"GEGEGB_02725","COG:COG3829, COG:KT, RefSeq:WP_000168932.1, SO:0001217, UniParc:UPI0000059B3B, UniRef:UniRef100_A0A3Y6Q6S9, UniRef:UniRef50_A0A0U0X9R1, UniRef:UniRef90_A0A0U0X9R1"
"Transporter",NA,19,"GEGEGB_01130","SO:0001217, UniRef:UniRef50_A0A379WEF6, UniRef:UniRef90_A0A379WEF6"
"3-keto-L-gulonate-6-phosphate decarboxylase UlaD","ulaD",18,"GEGEGB_20320","COG:COG0269, COG:G, RefSeq:WP_000089538.1, SO:0001217, UniParc:UPI000005A724, UniRef:UniRef100_A0A725VC19, UniRef:UniRef50_P37678, UniRef:UniRef90_A0A0R9N7T4"
"ABC transporter ATP-binding protein","yheS",18,"GEGEGB_09835","GO:0005524, RefSeq:WP_000053045.1, SO:0001217, UniParc:UPI000005A016, UniRef:UniRef100_A0A725JUG9, UniRef:UniRef50_P43672, UniRef:UniRef90_A0A1B7JDD0"
"ABC-type amino acid transport system, permease component","hisM",18,"GEGEGB_08105","COG:COG0765, COG:E, SO:0001217, UniRef:UniRef50_A0A2I5HGJ5, UniRef:UniRef90_A0A6X8CNR7"
"ABC-type dipeptide/oligopeptide/nickel transport system, permease component","dppB",18,"GEGEGB_06000","COG:COG0601, COG:EP, RefSeq:WP_001520270.1, SO:0001217, UniParc:UPI00000CD029, UniRef:UniRef100_Q8Z6C5, UniRef:UniRef50_A0A383PBH0, UniRef:UniRef90_A0A2I5HIF2"
"ABC-type polar amino acid transport system, ATPase component","glnQ",18,"GEGEGB_08110","COG:COG1126, COG:E, RefSeq:WP_001185897.1, SO:0001217, UniParc:UPI0000059EED, UniRef:UniRef100_A0A726ABL7, UniRef:UniRef50_A0A447U2W1, UniRef:UniRef90_A0A379TZD9"
"ABC-type proline/glycine betaine transport system, permease component","opuBB",18,"GEGEGB_03695","COG:COG1174, COG:E, RefSeq:WP_001278102.1, SO:0001217, UniParc:UPI0000059BED, UniRef:UniRef100_A0A725K1T9, UniRef:UniRef50_P33361, UniRef:UniRef90_A0A3Y9LNP0"
"ABC-type transport system involved in cytochrome c biogenesis, permease component","ccmC",18,"GEGEGB_03295","COG:COG0755, COG:O, SO:0001217, UniParc:UPI000005A6AA, UniRef:UniRef100_Q8Z2M1, UniRef:UniRef50_P45034, UniRef:UniRef90_A0A379WQS2"
"ADP-ribosylglycohydrolase","draG",18,"GEGEGB_03810","COG:COG1397, COG:O, RefSeq:WP_000642789.1, SO:0001217, UniParc:UPI0000059C02, UniRef:UniRef100_A0A3R0QGM3, UniRef:UniRef50_P76418, UniRef:UniRef90_A0A3E1XGS1"
"Aldo/keto reductase, related to diketogulonate reductase","aRA1",18,"GEGEGB_06180","COG:COG0656, COG:Q, SO:0001217, UniRef:UniRef50_P76234, UniRef:UniRef90_A0A0T7RP67"
"Altronate dehydratase","uxaA",18,"GEGEGB_11690","COG:COG2721, COG:G, SO:0001217, UniRef:UniRef50_A0A085HEP3, UniRef:UniRef90_A0A3S4J4J3"
"Arylsulfatase A or related enzyme, AlkP superfamily","aslA",18,"GEGEGB_00200","COG:COG3119, COG:P, RefSeq:WP_000831876.1, SO:0001217, UniParc:UPI0000059985, UniRef:UniRef100_A0A725VGC7, UniRef:UniRef50_A0A237NMI4, UniRef:UniRef90_A0A379V024"
"Beta-galactosidase, beta subunit","ebgC",18,"GEGEGB_20350","COG:COG2731, COG:G, RefSeq:WP_000576062.1, SO:0001217, UniParc:UPI000005A729, UniRef:UniRef100_A0A725G2U4, UniRef:UniRef50_P37673, UniRef:UniRef90_A0A6C8G3I3"
"Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC","ebsC",18,"GEGEGB_06145","COG:COG2606, COG:J, SO:0001217, UniParc:UPI0000059D99, UniRef:UniRef100_A0A725VQP8, UniRef:UniRef50_P64484, UniRef:UniRef90_S5N777"
"D-lactate dehydrogenase","dld",18,"GEGEGB_03680","COG:C, COG:COG0277, EC:1.1.1.28, GO:0006089, GO:0016901, GO:0019516, RefSeq:WP_000095234.1, SO:0001217, UniParc:UPI0000059BEA, UniRef:UniRef100_M7RLU6, UniRef:UniRef50_E1THY7, UniRef:UniRef90_A0A730GS41"
"DNA-binding response regulator","ssrB",18,"GEGEGB_06685","RefSeq:WP_000666335.1, SO:0001217, UniParc:UPI0000033221, UniRef:UniRef100_A0A8E6XHA2, UniRef:UniRef50_A0A1V8ND71, UniRef:UniRef90_A0A2I5HHA0, VFDB:VFC0086, VFDB:VFG000492"
"DNA-binding transcriptional regulator, FadR family","fadR",18,"GEGEGB_07710","COG:COG2186, COG:K, RefSeq:WP_000236521.1, SO:0001217, UniParc:UPI000169E9A4, UniRef:UniRef100_A0A6C6Z1Z1, UniRef:UniRef50_A0A6C6Z1Z1, UniRef:UniRef90_A0A6C6Z1Z1"
"DNA-binding transcriptional regulator, IclR family","iclR",18,"GEGEGB_03065","COG:COG1414, COG:K, RefSeq:WP_000894172.1, SO:0001217, UniParc:UPI0000059B7F, UniRef:UniRef100_A0A3U5QHF0, UniRef:UniRef50_P77732, UniRef:UniRef90_A0A109YYB7"
"DNA-binding transcriptional regulator, MerR family","soxR",18,"GEGEGB_06055","COG:COG0789, COG:K, RefSeq:WP_000190268.1, SO:0001217, UniParc:UPI0000059D89, UniRef:UniRef100_A0A725GCS9, UniRef:UniRef50_Q57Q28, UniRef:UniRef90_Q57Q28"
"DUF1190 domain-containing protein","ygiB",18,"GEGEGB_16340","COG:COG5463, COG:S, GO:0009279, GO:0044010, RefSeq:WP_000831528.1, SO:0001217, UniParc:UPI000005A497, UniRef:UniRef100_B5F680, UniRef:UniRef50_Q32BU3, UniRef:UniRef90_Q32BU3"
"DUF1311 domain-containing protein","yecT",18,"GEGEGB_09515","COG:COG3755, COG:S, RefSeq:WP_000821059.1, SO:0001217, UniParc:UPI0000059FE1, UniRef:UniRef100_A0A5W9FGH3, UniRef:UniRef50_A0A6N3HGW7, UniRef:UniRef90_A0A2C9P1B0"
"DUF218 domain-containing protein","elyC",18,"GEGEGB_00540","SO:0001217, UniRef:UniRef50_B5F780, UniRef:UniRef90_B5F780"
"DUF4156 domain-containing protein",NA,18,"GEGEGB_13245","RefSeq:WP_000722977.1, SO:0001217, UniParc:UPI000005A275, UniRef:UniRef100_A0A726AA22, UniRef:UniRef50_A0A2C9P331, UniRef:UniRef90_A0A2C9P331"
"DUF466 domain-containing protein","ybdD",18,"GEGEGB_11950","COG:COG2879, COG:S, RefSeq:WP_000460619.1, SO:0001217, UniParc:UPI000005A191, UniRef:UniRef100_A0A3U8PJW7, UniRef:UniRef50_P0AAT0, UniRef:UniRef90_E3G5B7"
"DUF606 domain-containing protein","ydcZ",18,"GEGEGB_07930","COG:COG3238, COG:S, RefSeq:WP_001076571.1, SO:0001217, UniParc:UPI0000059ECB, UniRef:UniRef100_A0A5I5V0V4, UniRef:UniRef50_A9MQY9, UniRef:UniRef90_A9MQY9"
"DUF883 domain-containing protein","elaB",18,"GEGEGB_14220","COG:COG4575, COG:J, RefSeq:WP_001519557.1, SO:0001217, UniParc:UPI000005A31D, UniRef:UniRef100_E8XK45, UniRef:UniRef50_A0A1A9FEY0, UniRef:UniRef90_A0A6C7HSZ4"
"EamA family transporter RarD","rarD",18,"GEGEGB_15210","COG:COG2962, COG:R, GO:0005215, GO:0005886, GO:0006810, SO:0001217, UniParc:UPI000005A3D2, UniRef:UniRef100_A0A455S0Y2, UniRef:UniRef50_C0PXH5, UniRef:UniRef90_C0PXH5"
"Ferritin-like metal-binding protein YciE","yciE",18,"GEGEGB_08680","COG:COG3685, COG:P, RefSeq:WP_001022822.1, SO:0001217, UniParc:UPI0000059F4C, UniRef:UniRef100_A0A3Z3HUK5, UniRef:UniRef50_P21362, UniRef:UniRef90_A0A7U6BDR4"
"Glutathione S-transferase","gstA",18,"GEGEGB_10720","COG:COG0625, COG:O, RefSeq:WP_000631908.1, SO:0001217, UniParc:UPI000005A0C0, UniRef:UniRef100_A0A725FYK9, UniRef:UniRef50_A0A1W1S079, UniRef:UniRef90_A0A379SGG2"
"Glutathionylspermidine synthase, CHAP domain","gsp",18,"GEGEGB_16345","COG:COG0754, COG:E, RefSeq:WP_000442833.1, SO:0001217, UniParc:UPI000005A498, UniRef:UniRef100_A0A5H8JLQ2, UniRef:UniRef50_P0ADT7, UniRef:UniRef90_A0A200NXS4"
"Glycerate kinase","glxK",18,"GEGEGB_02005","RefSeq:WP_000706383.1, SO:0001217, UniParc:UPI0000059ABF, UniRef:UniRef100_A0A725VGV3, UniRef:UniRef50_P23524, UniRef:UniRef90_A0A379QWK0"
"HTH-type transcriptional regulator SgrR","sgrR",18,"GEGEGB_00590","COG:COG4533, COG:K, GO:0003677, GO:0045892, GO:0045893, RefSeq:WP_001139028.1, SO:0001217, UniParc:UPI00000599D0, UniRef:UniRef100_Q5PDG5, UniRef:UniRef50_P33595, UniRef:UniRef90_Q8ZRV0"
"Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases","cof",18,"GEGEGB_10695","COG:COG0561, COG:HR, RefSeq:WP_000023559.1, SO:0001217, UniParc:UPI000005A0BB, UniRef:UniRef100_A0A725VMT7, UniRef:UniRef50_P75809, UniRef:UniRef90_A9MIN7"
"L-fucose:H+ symporter permease","fucP",18,"GEGEGB_15145","COG:COG0738, COG:G, GO:0005886, GO:0006004, GO:0015150, GO:0015517, GO:0015518, GO:0015535, GO:0015751, GO:0015756, GO:0015757, GO:0016020, RefSeq:WP_000528619.1, SO:0001217, UniParc:UPI000005A3C7, UniRef:UniRef100_A0A3U8Y0N5, UniRef:UniRef50_P11551, UniRef:UniRef90_P11551"
