"Gene","Non-unique Gene name","Annotation","GCF_000022165.1","GCF_000020925.1","GCF_000020885.1","GCF_000007545.1","GCF_000170215.1","GCF_000020745.1","GCF_000171535.2","GCF_000171415.1","GCF_000171515.1"
"group_2870","","Rhodanese-related sulfurtransferase","AJBGEP_14800","HFCAGB_15030","BEJGEH_13935","","ODDLKH_16110","LNHIMF_14175","ONMMKP_20405","IKCLMC_20350","PKJKAM_12940"
"group_2860","msgA","Virulence protein MsgA","AJBGEP_12065","HFCAGB_12530","","GEGEGB_03330","ODDLKH_13745","LNHIMF_11900","ONMMKP_23030","IKCLMC_08780","PKJKAM_15145"
"group_2842","ccmD","Cytochrome c-type biogenesis protein CcmH/NrfG","AJBGEP_12080","HFCAGB_12545","","GEGEGB_03320","ODDLKH_13760","LNHIMF_11915","ONMMKP_23015","IKCLMC_08765","PKJKAM_15130"
"group_2839","","hypothetical protein;Eukaryotic-type potassium channel;Potassium channel domain-containing protein","AJBGEP_22915","HFCAGB_23050","BEJGEH_22245","GEGEGB_23345","ODDLKH_01215","","ONMMKP_12095","IKCLMC_17195","PKJKAM_05745"
"fimA~~~stiA","fimA;stiA","Pilin (type 1 fimbrial protein);Fimbrial protein StiA","AJBGEP_00940","HFCAGB_00935","BEJGEH_00985","","ODDLKH_03305","LNHIMF_00920","ONMMKP_09980","IKCLMC_15110","PKJKAM_03685"
"group_2833","fimD","fimbrial outer membrane usher protein","AJBGEP_00930","HFCAGB_00925","BEJGEH_00975","","ODDLKH_03295","LNHIMF_00910","ONMMKP_09990","IKCLMC_15120","PKJKAM_03695"
"group_2816",";fimA","fimbrial protein","AJBGEP_00925","HFCAGB_00920","BEJGEH_00970","","ODDLKH_03290","LNHIMF_00905","ONMMKP_09995","IKCLMC_15125","PKJKAM_03700"
"group_2815","","DUF5066 domain-containing protein","AJBGEP_13560","HFCAGB_14085","BEJGEH_12840","GEGEGB_01750","ODDLKH_15225","","ONMMKP_21540","IKCLMC_06220","PKJKAM_13660"
"group_2810","","Cytoplasmic protein","AJBGEP_04820","HFCAGB_05085","","GEGEGB_10365","ODDLKH_07145","LNHIMF_05305","ONMMKP_05885","IKCLMC_07680","PKJKAM_04800"
"gatZ","gatZ;","tagatose-bisphosphate aldolase subunit GatZ;Tagatose-bisphosphate aldolase","","HFCAGB_17440","BEJGEH_16410","GEGEGB_16735;GEGEGB_16730","ODDLKH_18490","LNHIMF_16540","ONMMKP_17920","IKCLMC_17970","PKJKAM_08870"
"group_2805","","Cytoplasmic protein;Integrase","AJBGEP_13555","HFCAGB_14080","BEJGEH_12835","GEGEGB_01755","ODDLKH_15220","","ONMMKP_21545","IKCLMC_06225","PKJKAM_13665"
"rfbA","rfbA","glucose-1-phosphate thymidylyltransferase RfbA","AJBGEP_11295","HFCAGB_11805","BEJGEH_10585","GEGEGB_04125","ODDLKH_12970","LNHIMF_11215","","IKCLMC_09530","PKJKAM_20315"
"allA",";allA","Ureidoglycolate hydrolase;ureidoglycolate lyase","AJBGEP_02690","HFCAGB_02715","BEJGEH_02645","GEGEGB_12345;GEGEGB_12350","ODDLKH_05030","","ONMMKP_08205","IKCLMC_11405","PKJKAM_16130"
"group_2790","","Cytoplasmic protein","AJBGEP_03420","HFCAGB_03770","BEJGEH_03350","GEGEGB_11670","ODDLKH_05765","","ONMMKP_07485","IKCLMC_12410","PKJKAM_01815"
"rfbC","rfbC","dTDP-4-dehydrorhamnose 35-epimerase","AJBGEP_11290","HFCAGB_11800","BEJGEH_10580","GEGEGB_04130","ODDLKH_12965","LNHIMF_11210","","IKCLMC_09535","PKJKAM_20320"
"group_2763","marR","DNA-binding transcriptional regulator MarR family","AJBGEP_08155","","BEJGEH_07690","GEGEGB_07745","ODDLKH_10160","LNHIMF_08015","ONMMKP_02515","IKCLMC_23125","PKJKAM_23220"
"group_2757","","DUF1870 domain-containing protein","AJBGEP_07210","HFCAGB_09620","BEJGEH_08630","","ODDLKH_09210","LNHIMF_07065","ONMMKP_03455","IKCLMC_24075","PKJKAM_04280"
"group_2754","araC","Transcriptional regulator AraC family;AraC-type DNA-binding domain and AraC-containing proteins","AJBGEP_07175","HFCAGB_09655","BEJGEH_08665","","ODDLKH_09175","LNHIMF_07030","ONMMKP_03490","IKCLMC_24110","PKJKAM_04315"
"group_2743","araJ","putative arabinose efflux permease AraJ MFS family","AJBGEP_07205","HFCAGB_09625","BEJGEH_08635","","ODDLKH_09205","LNHIMF_07060","ONMMKP_03460","IKCLMC_24080","PKJKAM_04285"
"ncs1",";ncs1","cytosine permease;putative allantoin permease","AJBGEP_02720","HFCAGB_02745","BEJGEH_02675","GEGEGB_12310;GEGEGB_12315","ODDLKH_05060","","ONMMKP_08175","IKCLMC_11435","PKJKAM_16100"
"group_2735",";nit2","Amidohydrolase;nitrilase-related carbon-nitrogen hydrolase;Omega-amidase YafV/Nit2 hydrolyzes alpha-ketoglutaramate","AJBGEP_16550;AJBGEP_16545","HFCAGB_16820","BEJGEH_15750","","ODDLKH_17850","LNHIMF_15900","ONMMKP_18540","IKCLMC_18615","PKJKAM_09710"
"rfbP","rfbP","undecaprenyl-phosphate galactose phosphotransferase","AJBGEP_11230","HFCAGB_11735","BEJGEH_10520","GEGEGB_04195","ODDLKH_12905","LNHIMF_11130","","IKCLMC_09610","PKJKAM_20395"
"group_2720","","Lipoprotein;Inner membrane protein","AJBGEP_18580","HFCAGB_18850","BEJGEH_17820","","ODDLKH_19890","LNHIMF_17870","ONMMKP_16600","IKCLMC_14315","PKJKAM_19220"
"tra5","tra5","Transposase InsO and inactivated derivatives","AJBGEP_13420","HFCAGB_13935","BEJGEH_12695","","ODDLKH_15090","LNHIMF_13235","ONMMKP_21680","IKCLMC_06355","PKJKAM_13800"
"group_2709","cadC1;","DNA-binding winged helix-turn-helix (wHTH) domain;Putative transcriptional regulator","AJBGEP_00165","HFCAGB_00170","BEJGEH_00170","GEGEGB_00180","ODDLKH_02545","LNHIMF_00165","","IKCLMC_15880","PKJKAM_10375"
"group_2674","","Inner membrane protein","AJBGEP_21840","HFCAGB_22080","","GEGEGB_18295","ODDLKH_00070","LNHIMF_21025","ONMMKP_13170","IKCLMC_01235","PKJKAM_01100"
"pagO",";pagO","PhoPQ-activated integral membrane protein;Protein PagO","AJBGEP_09780","HFCAGB_07080;HFCAGB_07075","","GEGEGB_05405","ODDLKH_11765","LNHIMF_09670;LNHIMF_09665","ONMMKP_00875","IKCLMC_21475","PKJKAM_21560"
"yiaF",";yiaF","hypothetical protein;DUF3053 domain-containing protein;Protein yiaF","AJBGEP_05940","HFCAGB_10570;HFCAGB_10575","BEJGEH_09540","","ODDLKH_07970","LNHIMF_06115","ONMMKP_04760","IKCLMC_04160","8_refound_121"
"group_2634","","IM phage protein;Inner membrane protein","AJBGEP_08585","HFCAGB_08280;HFCAGB_08275","BEJGEH_07215","","ODDLKH_10590","LNHIMF_08455","ONMMKP_02060","IKCLMC_22710","PKJKAM_22790"
"group_2632",";araJ","Transporter major facilitator family protein;MFS transporter","AJBGEP_05660","HFCAGB_05910;HFCAGB_05915","","GEGEGB_09450","ODDLKH_07690","LNHIMF_05835","ONMMKP_05040","IKCLMC_03145","PKJKAM_03060"
"group_2584","","Secreted protein","AJBGEP_00430","","BEJGEH_00425","GEGEGB_00430","ODDLKH_02800","LNHIMF_00420","ONMMKP_10505","IKCLMC_15630","PKJKAM_10120"
"nfsB",";nfsB","nitroreductase family protein;oxygen-insensitive NAD(P)H nitroreductase","AJBGEP_03000","HFCAGB_03325","BEJGEH_02925","GEGEGB_12075","ODDLKH_05335","","ONMMKP_07905;ONMMKP_07910","IKCLMC_11990","PKJKAM_15550"
"acrR~~~ramR","acrR;ramR","DNA-binding protein AcrR family includes nucleoid occlusion protein SlmA;TetR/AcrR family transcriptional regulator RamR","AJBGEP_03010","HFCAGB_03335","BEJGEH_02935","GEGEGB_12065","ODDLKH_05345","","ONMMKP_07895","IKCLMC_12000","PKJKAM_15540"
"dpaL",";dpaL","diaminopropionate ammonia-lyase;pyridoxal-phosphate dependent enzyme","AJBGEP_04980","HFCAGB_05240","BEJGEH_04800","GEGEGB_10195;GEGEGB_10200","ODDLKH_07300","","ONMMKP_05730","IKCLMC_07835","PKJKAM_00665"
"relE","relE","mRNA-degrading endonuclease RelE toxin component of the RelBE toxin-antitoxin system","AJBGEP_23300","HFCAGB_23350","","GEGEGB_23660","ODDLKH_01595","LNHIMF_22645","ONMMKP_11715","IKCLMC_16895","PKJKAM_11285"
"rpiB",";rpiB","4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase;Ribose 5-phosphate isomerase RpiB","AJBGEP_10160","HFCAGB_06420","BEJGEH_05670","","ODDLKH_12140","LNHIMF_10050","ONMMKP_00480","IKCLMC_21085","PKJKAM_21170"
"group_2527","","Membrane protein;Inner membrane protein","AJBGEP_04185","HFCAGB_04455;HFCAGB_04450","BEJGEH_04050","","ODDLKH_06515","LNHIMF_04700","ONMMKP_06530","IKCLMC_07015","PKJKAM_05430"
"group_2514",";putP","Acetylneuraminate ABC transporter;Na+/proline symporter","AJBGEP_05640","HFCAGB_05890","","GEGEGB_09470;GEGEGB_09475","ODDLKH_07670","LNHIMF_05815","ONMMKP_05060","IKCLMC_03125","PKJKAM_03085"
"group_2499","","Inner membrane protein","AJBGEP_16045","HFCAGB_16320","BEJGEH_15250","GEGEGB_15515","ODDLKH_17355","LNHIMF_15405","","IKCLMC_19110","PKJKAM_11665"
"group_2490",";uhpC","Glucarate transporter;MFS transporter;Sugar phosphate permease","AJBGEP_19470","HFCAGB_19745","BEJGEH_18720","GEGEGB_20195;GEGEGB_20200","ODDLKH_20770","","ONMMKP_15705","IKCLMC_13425","PKJKAM_18335"
"group_2489","","STM0539 family protein","AJBGEP_02810","HFCAGB_02835","BEJGEH_02765","","ODDLKH_05150","LNHIMF_02740","ONMMKP_08085","IKCLMC_11525","PKJKAM_16010"
"group_2483","tPR","TPR repeat","AJBGEP_09260","HFCAGB_07595","BEJGEH_06540","GEGEGB_08830","ODDLKH_11255","","ONMMKP_01385","IKCLMC_22040","PKJKAM_22110"
"yopJ~~~avrA","yopJ;avrA","Effector protein YopJ;type III secretion system YopJ family effector AvrA;Type III secretion system YopJ family effector AvrA","AJBGEP_15150","HFCAGB_15385","BEJGEH_14285","","ODDLKH_16460","LNHIMF_14525","ONMMKP_20055","IKCLMC_20010","PKJKAM_12590"
"ompS1~~~ompD","ompS1;ompD","Porin OmpS1;porin OmpD","AJBGEP_08295","HFCAGB_08570","BEJGEH_07535","","ODDLKH_10300","LNHIMF_08175","ONMMKP_02370","IKCLMC_23000","PKJKAM_23080"
"group_2415","","Outer membrane protein","AJBGEP_05655","HFCAGB_05905","","GEGEGB_09455","ODDLKH_07685","LNHIMF_05830","ONMMKP_05045","IKCLMC_03140","PKJKAM_03065"
"group_2409","rbsK","Sugar or nucleoside kinase ribokinase family","AJBGEP_18950","HFCAGB_19225","BEJGEH_18195","","ODDLKH_20255","LNHIMF_18220","ONMMKP_16235","IKCLMC_13945","PKJKAM_18855"
"group_2378","","putative DNA-binding protein XRE-type HTH domain","AJBGEP_20560","HFCAGB_20795","BEJGEH_19790","GEGEGB_17885","ODDLKH_21810","","ONMMKP_14400","IKCLMC_02655","PKJKAM_07890"
"group_2377","","Phage-related protein","AJBGEP_20555","HFCAGB_20790","2_refound_31_pseudo","GEGEGB_17890","4_refound_60_pseudo","","ONMMKP_14405","IKCLMC_02660","PKJKAM_07895"
"hyi","hyi","hydroxypyruvate isomerase","AJBGEP_02705","HFCAGB_02730","BEJGEH_02660","GEGEGB_12330","ODDLKH_05045","","ONMMKP_08190","IKCLMC_11420","PKJKAM_16115"
"pphB","pphB","protein-serine/threonine phosphatase","AJBGEP_15370","HFCAGB_15590","BEJGEH_14505","GEGEGB_14755","ODDLKH_16680","LNHIMF_14730","ONMMKP_19825","","PKJKAM_12370"
"tuf","tuf","elongation factor Tu","AJBGEP_18145","HFCAGB_18420","BEJGEH_17380","GEGEGB_21465","ODDLKH_19465","LNHIMF_17495","ONMMKP_16975","","PKJKAM_19605"
"group_2276","ninG","Recombination protein NinG","AJBGEP_05090","HFCAGB_05355","","GEGEGB_10060","ODDLKH_08365","LNHIMF_10940","ONMMKP_05605","7_refound_94","PKJKAM_01335"
"group_2274","","DUF1367 domain-containing protein","AJBGEP_05080","HFCAGB_05345","","GEGEGB_10070","ODDLKH_08355","LNHIMF_10950","ONMMKP_05615","IKCLMC_00965","PKJKAM_01345"
"hisL","hisL","his operon leader peptide","AJBGEP_11170","HFCAGB_11675","BEJGEH_10460","","ODDLKH_12845","LNHIMF_11070","ONMMKP_23870","IKCLMC_09670","PKJKAM_20455"
"group_2167","","Type I toxin-antitoxin system Ibs family toxin","0_refound_8","","2_refound_28","3_refound_47","ODDLKH_13130","5_refound_71","ONMMKP_23635","IKCLMC_09375","PKJKAM_20060"
"ypfM","ypfM","protein YpfM","AJBGEP_13295","HFCAGB_13790","BEJGEH_12555","","ODDLKH_14965","LNHIMF_13100","ONMMKP_21820","IKCLMC_06490","PKJKAM_13940"
"group_2072","","Inner membrane protein","AJBGEP_09785","HFCAGB_07070","","GEGEGB_05400","ODDLKH_11770","LNHIMF_09675","ONMMKP_00870","IKCLMC_21470","PKJKAM_21555"
"group_2035","","GhoT/OrtT family toxin","AJBGEP_08415","HFCAGB_08450","BEJGEH_07400","","ODDLKH_10420","LNHIMF_08295","ONMMKP_02250","IKCLMC_22880","PKJKAM_22960"
"relB","relB","type II toxin-antitoxin system RelB/DinJ family antitoxin","AJBGEP_23295","HFCAGB_23345","","GEGEGB_23655","ODDLKH_01590","LNHIMF_22640","ONMMKP_11720","IKCLMC_16900","PKJKAM_11290"
"group_1698","","FrmR: Negative transcriptional regulator of formaldehyde detoxification operon","AJBGEP_08575","HFCAGB_08290","BEJGEH_07225","","ODDLKH_10580","LNHIMF_08450","ONMMKP_02070","IKCLMC_22720","PKJKAM_22800"
"rpsS","rpsS","30S ribosomal protein S19","AJBGEP_18100","HFCAGB_18375","BEJGEH_17335","GEGEGB_21510","ODDLKH_19420","LNHIMF_17450","ONMMKP_17020","IKCLMC_00595",""
"gatB","gatB","PTS galactitol transporter subunit IIB","","HFCAGB_17450","BEJGEH_16420","GEGEGB_16745","ODDLKH_18500","LNHIMF_16550","ONMMKP_17910","IKCLMC_17960","PKJKAM_08860"
"yiaG","yiaG","DNA-binding transcriptional regulator YiaG XRE-type HTH domain","AJBGEP_21220","HFCAGB_21440","BEJGEH_20470","","ODDLKH_22470","LNHIMF_20440","ONMMKP_13775","IKCLMC_03390","PKJKAM_07260"
"group_1653","","YdgH/BhsA/McbA-like domain-containing protein","AJBGEP_00440","","BEJGEH_00435","GEGEGB_00440","ODDLKH_02810","LNHIMF_00430","ONMMKP_10495","IKCLMC_15620","PKJKAM_10110"
"fixX","fixX","Ferredoxin-like protein FixX","AJBGEP_07155","HFCAGB_09675","BEJGEH_08685","","ODDLKH_09155","LNHIMF_07010","ONMMKP_03510","IKCLMC_24130","PKJKAM_04335"
"group_1593","","Type II toxin-antitoxin system RelE/ParE family toxin","AJBGEP_21215","HFCAGB_21435","BEJGEH_20465","","ODDLKH_22465","LNHIMF_20435","ONMMKP_13780","IKCLMC_03385","PKJKAM_07265"
"rplV","rplV","50S ribosomal protein L22","AJBGEP_18095","HFCAGB_18370","BEJGEH_17330","GEGEGB_21515","ODDLKH_19415","LNHIMF_17445","ONMMKP_17025","IKCLMC_00600",""
"group_1508","hypA","hydrogenase maturation nickel metallochaperone HypA","AJBGEP_08070","HFCAGB_08735","BEJGEH_07770","","ODDLKH_10075","LNHIMF_07935","ONMMKP_02595","IKCLMC_23205","PKJKAM_23300"
"mmcQ","mmcQ","MmcQ/YjbR family DNA-binding protein","AJBGEP_03005","HFCAGB_03330","BEJGEH_02930","GEGEGB_12070","ODDLKH_05340","","ONMMKP_07900","IKCLMC_11995","PKJKAM_15545"
"ybaN","ybaN","DUF454 domain-containing protein","AJBGEP_02510","HFCAGB_02535","","GEGEGB_12535","ODDLKH_04850","LNHIMF_02535","ONMMKP_08385","IKCLMC_11225","PKJKAM_16310"
"secE","secE","preprotein translocase subunit SecE","AJBGEP_21795","HFCAGB_22035","BEJGEH_21035","GEGEGB_18340","","LNHIMF_20980","ONMMKP_13215","IKCLMC_01280","PKJKAM_00135"
"rplK","rplK","50S ribosomal protein L11","AJBGEP_21805","HFCAGB_22045","BEJGEH_21045","GEGEGB_18330","ODDLKH_00035","LNHIMF_20990","ONMMKP_13205","IKCLMC_01270",""
"hinT","hinT","Purine nucleoside phosphoramidase/Ap4A hydrolase histidine triade (HIT) family","AJBGEP_16720","HFCAGB_16995","","GEGEGB_16225","ODDLKH_18020","LNHIMF_16090","ONMMKP_18365","IKCLMC_18445","PKJKAM_09540"
"group_1246","lrp","DNA-binding transcriptional regulator Lrp family","AJBGEP_04975","HFCAGB_05235","BEJGEH_04795","GEGEGB_10205","ODDLKH_07295","","ONMMKP_05735","IKCLMC_07830","PKJKAM_00660"
"golS","golS","Au(I) sensor transcriptional regulator GolS","AJBGEP_01865","HFCAGB_01865","BEJGEH_01810","","ODDLKH_04205","LNHIMF_01905","ONMMKP_09035","IKCLMC_10570","PKJKAM_16960"
"idnK","idnK","gluconokinase","AJBGEP_23485","HFCAGB_23530","BEJGEH_22805","","ODDLKH_01770","LNHIMF_22820","ONMMKP_11540","IKCLMC_16725","PKJKAM_11110"
"nusG","nusG","transcription termination/antitermination protein NusG","AJBGEP_21800","HFCAGB_22040","BEJGEH_21040","GEGEGB_18335","","LNHIMF_20985","ONMMKP_13210","IKCLMC_01275","PKJKAM_00130"
"group_1053","hybA","Fe-S-cluster-containing dehydrogenase component (DMSO reductase)","","HFCAGB_03515","BEJGEH_03105","GEGEGB_11880","ODDLKH_05515","LNHIMF_03780","ONMMKP_07725","IKCLMC_12170","PKJKAM_15370"
"yeiP","yeiP","elongation factor P-like protein YeiP","AJBGEP_11895","HFCAGB_12410","BEJGEH_11245","GEGEGB_03445","ODDLKH_13575","LNHIMF_11810","ONMMKP_23145","IKCLMC_08895",""
"dsbB","dsbB","Disulfide bond formation protein DsbB","AJBGEP_09790","HFCAGB_07065","","GEGEGB_05395","ODDLKH_11775","LNHIMF_09680","ONMMKP_00865","IKCLMC_21465","PKJKAM_21550"
"group_951","","Inner membrane protein","AJBGEP_11965","HFCAGB_12480","BEJGEH_11315","GEGEGB_03375","ODDLKH_13645","","ONMMKP_23075","IKCLMC_08825","PKJKAM_15195"
"fdnI","fdnI","formate dehydrogenase-N subunit gamma","AJBGEP_08275","HFCAGB_08590","BEJGEH_07555","","ODDLKH_10280","LNHIMF_08155","ONMMKP_02390","IKCLMC_23020","PKJKAM_23100"
"envR","envR","acrEF/envCD operon transcriptional regulator","AJBGEP_17860","HFCAGB_18130","BEJGEH_17095","","ODDLKH_19180","LNHIMF_17210","ONMMKP_17260","IKCLMC_17300","PKJKAM_08190"
"narI","narI","respiratory nitrate reductase subunit gamma","AJBGEP_08335","HFCAGB_08530","BEJGEH_07480","","ODDLKH_10340","LNHIMF_08215","ONMMKP_02330","IKCLMC_22960","PKJKAM_23040"
"nanE1","nanE1","Putative N-acetylmannosamine-6-phosphate 2-epimerase 1","AJBGEP_05645","HFCAGB_05895","","GEGEGB_09465","ODDLKH_07675","LNHIMF_05820","ONMMKP_05055","IKCLMC_03130","PKJKAM_03075"
"group_863","fimC","fimbrial biogenesis chaperone StiB","AJBGEP_00935","HFCAGB_00930","BEJGEH_00980","","ODDLKH_03300","LNHIMF_00915","ONMMKP_09985","IKCLMC_15115","PKJKAM_03690"
"aroD","aroD","3-dehydroquinate dehydratase","AJBGEP_07190","HFCAGB_09640","BEJGEH_08650","","ODDLKH_09190","LNHIMF_07045","ONMMKP_03475","IKCLMC_24095","PKJKAM_04300"
"group_747","","Outer membrane/exported protein","AJBGEP_00180","HFCAGB_00185","BEJGEH_00185","GEGEGB_00195","ODDLKH_02560","LNHIMF_00180","","IKCLMC_15865","PKJKAM_10360"
"idnO","idnO","gluconate 5-dehydrogenase","AJBGEP_23475","HFCAGB_23520","BEJGEH_22795","","ODDLKH_01760","LNHIMF_22810","ONMMKP_11550","IKCLMC_16735","PKJKAM_11120"
"group_744","fixA","electron transfer flavoprotein","AJBGEP_07170","HFCAGB_09660","BEJGEH_08670","","ODDLKH_09170","LNHIMF_07025","ONMMKP_03495","IKCLMC_24115","PKJKAM_04320"
"rfbF","rfbF","glucose-1-phosphate cytidylyltransferase","AJBGEP_11280","HFCAGB_11790","BEJGEH_10570","GEGEGB_04140","ODDLKH_12955","LNHIMF_11200","","IKCLMC_09545","PKJKAM_20330"
"allE","allE","(S)-ureidoglycine aminohydrolase","AJBGEP_02745","HFCAGB_02770","BEJGEH_02700","GEGEGB_12285","ODDLKH_05085","","ONMMKP_08150","IKCLMC_11460","PKJKAM_16075"
"group_696","","DUF2877 domain-containing protein","AJBGEP_02770","HFCAGB_02795","BEJGEH_02725","GEGEGB_12260","ODDLKH_05110","","ONMMKP_08125","IKCLMC_11485","PKJKAM_16050"
"allR","allR","HTH-type transcriptional repressor AllR","AJBGEP_02695","HFCAGB_02720","BEJGEH_02650","GEGEGB_12340","ODDLKH_05035","","ONMMKP_08200","IKCLMC_11410","PKJKAM_16125"
"group_679","","DUF2145 domain-containing protein","AJBGEP_02805","HFCAGB_02830","BEJGEH_02760","","ODDLKH_05145","LNHIMF_02735","ONMMKP_08090","IKCLMC_11520","PKJKAM_16015"
"nfo","nfo","deoxyribonuclease IV","AJBGEP_11855","HFCAGB_12375","BEJGEH_11205","GEGEGB_03480","ODDLKH_13535","LNHIMF_11770","ONMMKP_23185","IKCLMC_08935",""
"ydiB","ydiB","quinate/shikimate dehydrogenase","AJBGEP_07195","HFCAGB_09635","BEJGEH_08645","","ODDLKH_09195","LNHIMF_07050","ONMMKP_03470","IKCLMC_24090","PKJKAM_04295"
"glxR","glxR","2-hydroxy-3-oxopropionate reductase","AJBGEP_02710","HFCAGB_02735","BEJGEH_02665","GEGEGB_12325","ODDLKH_05050","","ONMMKP_08185","IKCLMC_11425","PKJKAM_16110"
"yddG","yddG","aromatic amino acid efflux DMT transporter YddG","AJBGEP_08290","HFCAGB_08575","BEJGEH_07540","","ODDLKH_10295","LNHIMF_08170","ONMMKP_02375","IKCLMC_23005","PKJKAM_23085"
