#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000001.1:190418-190879|+ -            154 1827295at2           -             74   8.1e-25   84.5   0.8   1   1   1.7e-26   3.7e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABEH02000001.1_153 # 190418 # 190879 # 1 # ID=19_153;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABEH02000007.1:115003-116739|- -            579 1827295at2           -             74    0.0028   15.5   0.4   1   2    0.0018      0.39    8.6   0.0    10    30    35    55    18    60 0.83 NZ_ABEH02000007.1_111 # 115003 # 116739 # -1 # ID=13_111;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NZ_ABEH02000007.1:115003-116739|- -            579 1827295at2           -             74    0.0028   15.5   0.4   2   2     0.035       7.7    4.5   0.1     8    29   353   376   336   382 0.78 NZ_ABEH02000007.1_111 # 115003 # 116739 # -1 # ID=13_111;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NZ_ABEH02000001.1:177118-178095|+ -            326 1827295at2           -             74    0.0069   14.2   0.0   1   2    0.0001     0.023   12.5   0.0    31    64   102   136    94   141 0.78 NZ_ABEH02000001.1_144 # 177118 # 178095 # 1 # ID=19_144;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NZ_ABEH02000001.1:177118-178095|+ -            326 1827295at2           -             74    0.0069   14.2   0.0   2   2       9.8   2.2e+03   -3.4   0.0    17    30   162   175   161   181 0.77 NZ_ABEH02000001.1_144 # 177118 # 178095 # 1 # ID=19_144;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NZ_ABEH02000005.1:3254-5014|-     -            587 1827295at2           -             74    0.0084   14.0   2.5   1   2     0.093        21    3.1   0.1    10    32    10    32     3    37 0.84 NZ_ABEH02000005.1_4 # 3254 # 5014 # -1 # ID=15_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABEH02000005.1:3254-5014|-     -            587 1827295at2           -             74    0.0084   14.0   2.5   2   2   0.00057      0.13   10.2   0.4     9    33   327   351   317   355 0.84 NZ_ABEH02000005.1_4 # 3254 # 5014 # -1 # ID=15_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABEH02000009.1:2896-3909|+     -            338 1827295at2           -             74     0.014   13.3   0.1   1   1   0.00013     0.029   12.2   0.1     5    33    23    51    16    58 0.85 NZ_ABEH02000009.1_3 # 2896 # 3909 # 1 # ID=11_3;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.538
NZ_ABEH02000001.1:799822-802962|- -           1047 1827295at2           -             74     0.015   13.2   0.0   1   1   0.00017     0.038   11.9   0.0    10    33    32    55    21    61 0.84 NZ_ABEH02000001.1_712 # 799822 # 802962 # -1 # ID=19_712;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABEH02000006.1:125828-127189|+ -            454 1827295at2           -             74     0.017   13.0   0.1   1   1   0.00018     0.039   11.8   0.1     2    33    91   125    89   130 0.85 NZ_ABEH02000006.1_121 # 125828 # 127189 # 1 # ID=14_121;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABEH02000004.1:361574-362287|+ -            238 1827295at2           -             74      0.02   12.8   0.1   1   1   0.00017     0.037   11.9   0.1     8    29    27    52    16    59 0.79 NZ_ABEH02000004.1_327 # 361574 # 362287 # 1 # ID=16_327;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
NZ_ABEH02000003.1:252298-252987|+ -            230 1827295at2           -             74     0.021   12.6   0.1   1   1   0.00018     0.039   11.8   0.1     8    32    28    53    15    62 0.78 NZ_ABEH02000003.1_237 # 252298 # 252987 # 1 # ID=17_237;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.580
NZ_ABEH02000001.1:833297-834406|- -            370 1827295at2           -             74     0.043   11.7   0.0   1   1   0.00046       0.1   10.5   0.0     9    29    45    65    30    71 0.84 NZ_ABEH02000001.1_743 # 833297 # 834406 # -1 # ID=19_743;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABEH02000011.1:105847-106599|- -            251 1827295at2           -             74     0.048   11.5   0.0   1   2    0.0011      0.24    9.3   0.0     8    27    27    48    13    53 0.82 NZ_ABEH02000011.1_111 # 105847 # 106599 # -1 # ID=9_111;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.548
NZ_ABEH02000011.1:105847-106599|- -            251 1827295at2           -             74     0.048   11.5   0.0   2   2       2.4   5.3e+02   -1.4   0.0    12    33   112   133   104   136 0.83 NZ_ABEH02000011.1_111 # 105847 # 106599 # -1 # ID=9_111;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.548
NZ_ABEH02000008.1:185022-186557|+ -            512 1827295at2           -             74       0.1   10.4   1.7   1   2     0.027         6    4.8   0.2     9    29    38    58    26    61 0.82 NZ_ABEH02000008.1_172 # 185022 # 186557 # 1 # ID=12_172;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.517
NZ_ABEH02000008.1:185022-186557|+ -            512 1827295at2           -             74       0.1   10.4   1.7   2   2     0.045        10    4.1   0.1     9    28   290   309   275   312 0.82 NZ_ABEH02000008.1_172 # 185022 # 186557 # 1 # ID=12_172;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.517
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /output/GCF_000171255.1_ASM17125v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171255.1_ASM17125v1_genomic/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /output/GCF_000171255.1_ASM17125v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:51:56 2026
# [ok]
