#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_016856.1:4612717-4613178|+ -            154 1827295at2           -             74   8.8e-25   84.5   0.8   1   1   1.6e-26     4e-24   82.4   0.8     6    74    17   111    12   111 0.82 NC_016856.1_4299 # 4612717 # 4613178 # 1 # ID=1_4299;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.526
NC_016856.1:4105779-4107284|+ -            502 1827295at2           -             74    0.0027   15.7   0.4   1   2    0.0044       1.1    7.3   0.1     8    28    27    50    17    57 0.80 NC_016856.1_3865 # 4105779 # 4107284 # 1 # ID=1_3865;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NC_016856.1:4105779-4107284|+ -            502 1827295at2           -             74    0.0027   15.7   0.4   2   2     0.012         3    5.9   0.0     9    31   279   301   269   307 0.80 NC_016856.1_3865 # 4105779 # 4107284 # 1 # ID=1_3865;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NC_016856.1:981027-983303|+   -            759 1827295at2           -             74    0.0028   15.6   0.1   1   2     0.021       5.2    5.1   0.0    12    31   211   230   197   237 0.82 NC_016856.1_891 # 981027 # 983303 # 1 # ID=1_891;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NC_016856.1:981027-983303|+   -            759 1827295at2           -             74    0.0028   15.6   0.1   2   2    0.0033       0.8    7.8   0.1    10    33   490   513   473   517 0.85 NC_016856.1_891 # 981027 # 983303 # 1 # ID=1_891;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NC_016856.1:883010-884746|-   -            579 1827295at2           -             74    0.0032   15.4   0.7   1   2    0.0016       0.4    8.7   0.1    10    31    35    56    18    63 0.83 NC_016856.1_799 # 883010 # 884746 # -1 # ID=1_799;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NC_016856.1:883010-884746|-   -            579 1827295at2           -             74    0.0032   15.4   0.7   2   2     0.035       8.5    4.5   0.1     8    29   353   376   336   382 0.78 NC_016856.1_799 # 883010 # 884746 # -1 # ID=1_799;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NC_016856.1:4598926-4599903|+ -            326 1827295at2           -             74    0.0076   14.2   0.0   1   2    0.0001     0.026   12.5   0.0    31    64   102   136    94   141 0.78 NC_016856.1_4289 # 4598926 # 4599903 # 1 # ID=1_4289;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_016856.1:4598926-4599903|+ -            326 1827295at2           -             74    0.0076   14.2   0.0   2   2       9.8   2.4e+03   -3.4   0.0    17    30   162   175   161   181 0.77 NC_016856.1_4289 # 4598926 # 4599903 # 1 # ID=1_4289;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_016856.1:446934-450074|-   -           1047 1827295at2           -             74     0.016   13.2   0.0   1   1   0.00017     0.042   11.9   0.0    10    33    32    55    21    61 0.84 NC_016856.1_392 # 446934 # 450074 # -1 # ID=1_392;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.583
NC_016856.1:504778-506049|+   -            424 1827295at2           -             74     0.019   13.0   0.1   1   1   0.00018     0.043   11.8   0.1     5    33   109   137   102   144 0.85 NC_016856.1_446 # 504778 # 506049 # 1 # ID=1_446;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.528
NC_016856.1:2871119-2872480|- -            454 1827295at2           -             74     0.019   13.0   0.1   1   1   0.00018     0.044   11.8   0.1     2    33    91   125    89   130 0.85 NC_016856.1_2718 # 2871119 # 2872480 # -1 # ID=1_2718;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NC_016856.1:3742352-3743065|- -            238 1827295at2           -             74     0.025   12.6   0.1   1   1   0.00019     0.047   11.7   0.1     8    29    29    52    16    59 0.80 NC_016856.1_3540 # 3742352 # 3743065 # -1 # ID=1_3540;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.599
NC_016856.1:3254832-3255488|+ -            219 1827295at2           -             74     0.034   12.2   0.1   1   1   0.00025     0.061   11.3   0.1     9    30    30    51    14    62 0.79 NC_016856.1_3066 # 3254832 # 3255488 # 1 # ID=1_3066;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.583
NC_016856.1:481716-482825|-   -            370 1827295at2           -             74     0.048   11.7   0.0   1   1   0.00046      0.11   10.5   0.0     9    29    45    65    30    71 0.84 NC_016856.1_425 # 481716 # 482825 # -1 # ID=1_425;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588
NC_016856.1:2052017-2052769|- -            251 1827295at2           -             74     0.056   11.4   0.0   1   2    0.0011      0.26    9.3   0.0     8    27    27    48    13    53 0.82 NC_016856.1_1951 # 2052017 # 2052769 # -1 # ID=1_1951;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.548
NC_016856.1:2052017-2052769|- -            251 1827295at2           -             74     0.056   11.4   0.0   2   2       2.4   5.9e+02   -1.4   0.0    12    33   112   133   104   136 0.83 NC_016856.1_1951 # 2052017 # 2052769 # -1 # ID=1_1951;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.548
NC_016856.1:4297086-4298621|+ -            512 1827295at2           -             74      0.12   10.4   1.7   1   2     0.027       6.6    4.8   0.2     9    29    38    58    26    61 0.82 NC_016856.1_4040 # 4297086 # 4298621 # 1 # ID=1_4040;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
NC_016856.1:4297086-4298621|+ -            512 1827295at2           -             74      0.12   10.4   1.7   2   2     0.045        11    4.1   0.1     9    28   290   309   275   312 0.82 NC_016856.1_4040 # 4297086 # 4298621 # 1 # ID=1_4040;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /output/GCF_000022165.1_ASM2216v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000022165.1_ASM2216v1_genomic/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /output/GCF_000022165.1_ASM2216v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:50:26 2026
# [ok]
