#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:2688526-2690325|- -            600 182107at2            -            492  6.5e-222  735.2   6.4   1   1  1.8e-222  7.4e-220  728.5   6.4     1   491     4   594     4   595 0.89 NC_011149.1_2499 # 2688526 # 2690325 # -1 # ID=1_2499;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NC_011149.1:4279246-4280430|+ -            395 182107at2            -            492   6.1e-13   46.0   0.1   1   1   3.3e-15   1.4e-12   44.8   0.1     3   200    14   249    13   276 0.68 NC_011149.1_3981 # 4279246 # 4280430 # 1 # ID=1_3981;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
NC_011149.1:3788706-3790556|- -            617 182107at2            -            492   2.6e-12   43.9   0.0   1   1     9e-15   3.7e-12   43.4   0.0     8   196     7   209     1   217 0.78 NC_011149.1_3540 # 3788706 # 3790556 # -1 # ID=1_3540;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.571
NC_011149.1:2984436-2985875|- -            480 182107at2            -            492     4e-11   40.0   0.1   1   2      0.17        72   -0.4   0.0     8    24    34    50    29    58 0.80 NC_011149.1_2789 # 2984436 # 2985875 # -1 # ID=1_2789;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
NC_011149.1:2984436-2985875|- -            480 182107at2            -            492     4e-11   40.0   0.1   2   2   5.1e-13   2.1e-10   37.6   0.0    25   122    80   182    63   195 0.81 NC_011149.1_2789 # 2984436 # 2985875 # -1 # ID=1_2789;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
NC_011149.1:2611872-2613344|- -            491 182107at2            -            492   1.2e-09   35.2   0.0   1   2      0.04        17    1.7   0.0    66   152    73   159     5   173 0.68 NC_011149.1_2432 # 2611872 # 2613344 # -1 # ID=1_2432;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011149.1:2611872-2613344|- -            491 182107at2            -            492   1.2e-09   35.2   0.0   2   2   4.1e-11   1.7e-08   31.3   0.1     5   158   206   375   203   388 0.73 NC_011149.1_2432 # 2611872 # 2613344 # -1 # ID=1_2432;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011149.1:2685679-2686584|- -            302 182107at2            -            492   0.00019   18.0   0.1   1   1   6.7e-07   0.00027   17.4   0.1     5   157    12   175     9   185 0.75 NC_011149.1_2496 # 2685679 # 2686584 # -1 # ID=1_2496;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.515
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /output/GCF_000020885.1_ASM2088v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000020885.1_ASM2088v1_genomic/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /output/GCF_000020885.1_ASM2088v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:49:27 2026
# [ok]
