#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:4532549-4533010|+ -            154 1827295at2           -             74   9.9e-25   84.3   0.9   1   1   1.8e-26   4.5e-24   82.2   0.9     6    74    17   111    12   111 0.82 NC_011149.1_4196 # 4532549 # 4533010 # 1 # ID=1_4196;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.526
NC_011149.1:936720-938996|+   -            759 1827295at2           -             74    0.0027   15.6   0.1   2   2    0.0031      0.77    7.8   0.1    10    33   490   513   473   517 0.85 NC_011149.1_856 # 936720 # 938996 # 1 # ID=1_856;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.545
NC_011149.1:845617-847353|-   -            579 1827295at2           -             74    0.0031   15.4   0.7   1   2    0.0015      0.38    8.7   0.1    10    31    35    56    18    63 0.83 NC_011149.1_772 # 845617 # 847353 # -1 # ID=1_772;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NC_011149.1:845617-847353|-   -            579 1827295at2           -             74    0.0031   15.4   0.7   2   2     0.033       8.2    4.5   0.1     8    29   353   376   336   382 0.78 NC_011149.1_772 # 845617 # 847353 # -1 # ID=1_772;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NC_011149.1:4518877-4519854|+ -            326 1827295at2           -             74    0.0074   14.2   0.0   1   2   9.9e-05     0.025   12.5   0.0    31    64   102   136    94   141 0.78 NC_011149.1_4186 # 4518877 # 4519854 # 1 # ID=1_4186;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NC_011149.1:4518877-4519854|+ -            326 1827295at2           -             74    0.0074   14.2   0.0   2   2       9.3   2.3e+03   -3.4   0.0    17    30   162   175   161   181 0.77 NC_011149.1_4186 # 4518877 # 4519854 # 1 # ID=1_4186;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NC_011149.1:2041456-2043216|- -            587 1827295at2           -             74     0.014   13.3   2.6   1   2     0.088        22    3.1   0.1    10    32    10    32     3    37 0.84 NC_011149.1_1923 # 2041456 # 2043216 # -1 # ID=1_1923;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.580
NC_011149.1:2041456-2043216|- -            587 1827295at2           -             74     0.014   13.3   2.6   2   2   0.00081       0.2    9.6   0.4     9    33   327   351   317   354 0.84 NC_011149.1_1923 # 2041456 # 2043216 # -1 # ID=1_1923;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.580
NC_011149.1:429075-432215|-   -           1047 1827295at2           -             74     0.016   13.2   0.0   1   1   0.00016      0.04   11.9   0.0    10    33    32    55    21    61 0.84 NC_011149.1_381 # 429075 # 432215 # -1 # ID=1_381;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.582
NC_011149.1:485629-486900|+   -            424 1827295at2           -             74     0.018   13.0   0.1   1   1   0.00017     0.042   11.8   0.1     5    33   109   137   102   144 0.85 NC_011149.1_433 # 485629 # 486900 # 1 # ID=1_433;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.527
NC_011149.1:2759953-2761314|- -            454 1827295at2           -             74     0.018   13.0   0.1   1   1   0.00017     0.042   11.8   0.1     2    33    91   125    89   130 0.85 NC_011149.1_2568 # 2759953 # 2761314 # -1 # ID=1_2568;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NC_011149.1:3645992-3646705|- -            238 1827295at2           -             74     0.024   12.6   0.1   1   1   0.00018     0.046   11.7   0.1     8    29    29    52    16    59 0.80 NC_011149.1_3418 # 3645992 # 3646705 # -1 # ID=1_3418;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.598
NC_011149.1:3152586-3153242|+ -            219 1827295at2           -             74     0.034   12.1   0.0   1   1   0.00024      0.06   11.3   0.0     9    30    30    51    14    62 0.79 NC_011149.1_2936 # 3152586 # 3153242 # 1 # ID=1_2936;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.589
NC_011149.1:462558-463667|-   -            370 1827295at2           -             74     0.047   11.7   0.0   1   1   0.00044      0.11   10.5   0.0     9    29    45    65    30    71 0.84 NC_011149.1_412 # 462558 # 463667 # -1 # ID=1_412;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.586
NC_011149.1:4209888-4211423|+ -            512 1827295at2           -             74      0.11   10.4   1.7   1   2     0.026       6.4    4.8   0.2     9    29    38    58    26    61 0.82 NC_011149.1_3925 # 4209888 # 4211423 # 1 # ID=1_3925;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
NC_011149.1:4209888-4211423|+ -            512 1827295at2           -             74      0.11   10.4   1.7   2   2     0.043        11    4.1   0.1     9    28   290   309   275   312 0.82 NC_011149.1_3925 # 4209888 # 4211423 # 1 # ID=1_3925;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /output/GCF_000020885.1_ASM2088v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000020885.1_ASM2088v1_genomic/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /output/GCF_000020885.1_ASM2088v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:49:27 2026
# [ok]
