#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEL01000020.1:9239-9700|-     -            154 1827295at2           -             74   8.5e-25   84.5   0.8   1   1   1.7e-26   3.9e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABEL01000020.1_10 # 9239 # 9700 # -1 # ID=29_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.532
NZ_ABEL01000001.1:626633-628369|- -            579 1827295at2           -             74    0.0031   15.4   0.7   2   2     0.035       8.1    4.5   0.1     8    29   353   376   336   382 0.78 NZ_ABEL01000001.1_607 # 626633 # 628369 # -1 # ID=48_607;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NZ_ABEL01000020.1:22139-23116|-   -            326 1827295at2           -             74    0.0073   14.2   0.0   1   2    0.0001     0.024   12.5   0.0    31    64   102   136    94   141 0.78 NZ_ABEL01000020.1_20 # 22139 # 23116 # -1 # ID=29_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABEL01000020.1:22139-23116|-   -            326 1827295at2           -             74    0.0073   14.2   0.0   2   2       9.8   2.3e+03   -3.4   0.0    17    30   162   175   161   181 0.77 NZ_ABEL01000020.1_20 # 22139 # 23116 # -1 # ID=29_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABEL01000001.1:191021-194161|- -           1047 1827295at2           -             74     0.016   13.2   0.0   1   1   0.00017      0.04   11.9   0.0    10    33    32    55    21    61 0.84 NZ_ABEL01000001.1_199 # 191021 # 194161 # -1 # ID=48_199;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABEL01000001.1:248852-250021|+ -            390 1827295at2           -             74     0.017   13.1   0.1   1   1   0.00016     0.037   12.0   0.1     5    33   109   137   102   144 0.85 NZ_ABEL01000001.1_253 # 248852 # 250021 # 1 # ID=48_253;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.528
NZ_ABEL01000017.1:15277-16638|-   -            454 1827295at2           -             74     0.018   13.0   0.1   1   1   0.00018     0.041   11.8   0.1     2    33    91   125    89   130 0.85 NZ_ABEL01000017.1_16 # 15277 # 16638 # -1 # ID=32_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABEL01000003.1:125145-125858|- -            238 1827295at2           -             74     0.024   12.6   0.1   1   1   0.00019     0.045   11.7   0.1     8    29    29    52    16    59 0.80 NZ_ABEL01000003.1_111 # 125145 # 125858 # -1 # ID=46_111;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABEL01000005.1:271420-272076|+ -            219 1827295at2           -             74     0.024   12.6   0.1   1   1   0.00019     0.044   11.7   0.1     9    32    30    53    14    62 0.78 NZ_ABEL01000005.1_260 # 271420 # 272076 # 1 # ID=44_260;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.586
NZ_ABEL01000001.1:225803-226912|- -            370 1827295at2           -             74     0.047   11.6   0.0   1   1   0.00046      0.11   10.5   0.0     9    29    45    65    30    71 0.84 NZ_ABEL01000001.1_232 # 225803 # 226912 # -1 # ID=48_232;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABEL01000019.1:4847-5599|-     -            251 1827295at2           -             74      0.05   11.5   0.0   1   2    0.0011      0.25    9.3   0.0     8    27    27    48    13    53 0.82 NZ_ABEL01000019.1_6 # 4847 # 5599 # -1 # ID=30_6;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.552
NZ_ABEL01000019.1:4847-5599|-     -            251 1827295at2           -             74      0.05   11.5   0.0   2   2       2.4   5.6e+02   -1.4   0.0    12    33   112   133   104   136 0.83 NZ_ABEL01000019.1_6 # 4847 # 5599 # -1 # ID=30_6;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.552
NZ_ABEL01000012.1:58247-59782|-   -            512 1827295at2           -             74      0.11   10.4   1.7   1   2     0.027       6.3    4.8   0.2     9    29    38    58    26    61 0.82 NZ_ABEL01000012.1_52 # 58247 # 59782 # -1 # ID=37_52;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
NZ_ABEL01000012.1:58247-59782|-   -            512 1827295at2           -             74      0.11   10.4   1.7   2   2     0.045        11    4.1   0.1     9    28   290   309   275   312 0.82 NZ_ABEL01000012.1_52 # 58247 # 59782 # -1 # ID=37_52;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /output/GCF_000171315.1_ASM17131v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171315.1_ASM17131v1_genomic/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /output/GCF_000171315.1_ASM17131v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:52:56 2026
# [ok]
