#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEL01000007.1:190449-190949|- -            167 984717at2            -            224   2.6e-33  113.4   2.2   1   1   1.8e-34   5.6e-32  109.0   2.2   110   221    27   156     8   162 0.84 NZ_ABEL01000007.1_158 # 190449 # 190949 # -1 # ID=42_158;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.517
NZ_ABEL01000006.1:173579-176257|- -            893 984717at2            -            224   3.7e-05   21.3   0.1   3   3   1.2e-07   3.7e-05   21.3   0.1     2   105   396   506   395   526 0.79 NZ_ABEL01000006.1_164 # 173579 # 176257 # -1 # ID=43_164;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABEL01000012.1:129454-130086|+ -            211 984717at2            -            224   7.8e-05   20.3   0.0   1   2   1.5e-06   0.00048   17.7   0.0     2    66    29    92    28   101 0.72 NZ_ABEL01000012.1_124 # 129454 # 130086 # 1 # ID=37_124;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.520
NZ_ABEL01000012.1:129454-130086|+ -            211 984717at2            -            224   7.8e-05   20.3   0.0   2   2      0.29        90    0.4   0.1    61    94   125   159   107   186 0.69 NZ_ABEL01000012.1_124 # 129454 # 130086 # 1 # ID=37_124;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.520
NZ_ABEL01000002.1:468379-469470|+ -            364 984717at2            -            224    0.0006   17.4   0.1   1   1   3.5e-06    0.0011   16.5   0.1     3    22     6    25     4    31 0.87 NZ_ABEL01000002.1_448 # 468379 # 469470 # 1 # ID=47_448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.531
NZ_ABEL01000007.1:45094-45573|-   -            160 984717at2            -            224    0.0083   13.6   0.1   1   1   0.00028      0.09   10.2   0.1     2    83     4    75     3   118 0.62 NZ_ABEL01000007.1_50 # 45094 # 45573 # -1 # ID=42_50;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.515
NZ_ABEL01000010.1:84115-86022|+   -            636 984717at2            -            224     0.029   11.9   0.2   1   2    0.0028      0.88    7.0   0.0     2    19    32    49    31    53 0.88 NZ_ABEL01000010.1_88 # 84115 # 86022 # 1 # ID=39_88;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NZ_ABEL01000010.1:84115-86022|+   -            636 984717at2            -            224     0.029   11.9   0.2   2   2     0.061        19    2.6   0.0     2    22   348   368   347   380 0.92 NZ_ABEL01000010.1_88 # 84115 # 86022 # 1 # ID=39_88;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NZ_ABEL01000020.1:14432-15484|+   -            351 984717at2            -            224     0.042   11.3   0.2   1   2      0.66   2.1e+02   -0.8   0.0    89   105   151   167   116   194 0.75 NZ_ABEL01000020.1_15 # 14432 # 15484 # 1 # ID=29_15;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.536
NZ_ABEL01000020.1:14432-15484|+   -            351 984717at2            -            224     0.042   11.3   0.2   2   2   0.00052      0.16    9.4   0.0     5    29   213   237   209   272 0.87 NZ_ABEL01000020.1_15 # 14432 # 15484 # 1 # ID=29_15;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.536
NZ_ABEL01000015.1:10615-14271|+   -           1219 984717at2            -            224     0.067   10.7   1.5   1   2     0.073        23    2.4   0.1     2    17   370   385   369   389 0.88 NZ_ABEL01000015.1_10 # 10615 # 14271 # 1 # ID=34_10;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.591
NZ_ABEL01000015.1:10615-14271|+   -           1219 984717at2            -            224     0.067   10.7   1.5   2   2    0.0031         1    6.8   0.2     1    20   996  1015   996  1017 0.88 NZ_ABEL01000015.1_10 # 10615 # 14271 # 1 # ID=34_10;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.591
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm
# Target file:     /output/GCF_000171315.1_ASM17131v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171315.1_ASM17131v1_genomic/run_bacteria_odb10/hmmer_output/984717at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm /output/GCF_000171315.1_ASM17131v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:53:02 2026
# [ok]
