#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_45	140991	141131	+	PKJKAM_10470	5.3	10.7		RefSeq:WP_186791146.1, SO:0001217, UniParc:UPI0003E4F726, UniRef:UniRef100_A0A2X5CBS9, UniRef:UniRef50_A0A2X5CBS9, UniRef:UniRef90_A0A2X5CBS9
contig_45	169503	169610	-	PKJKAM_10610	4.2	5.4		SO:0001217, UniParc:UPI0003E45E31, UniRef:UniRef100_A0A8D4XY29, UniRef:UniRef50_A0A2X4TXI3, UniRef:UniRef90_A0A2X5BPJ9
contig_45	261363	261470	+	PKJKAM_11060	4.1	9.7		SO:0001217, UniParc:UPI0005D84673, UniRef:UniRef100_A0A455RY24, UniRef:UniRef50_A0A376VJM4, UniRef:UniRef90_A0A379QRN7
contig_45	264683	264874	+	PKJKAM_11080	6.8	4.5		RefSeq:WP_162785927.1, SO:0001217, UniParc:UPI0013B05AA8, UniRef:UniRef100_A0A753UDS4, UniRef:UniRef50_A0A753Z6F5, UniRef:UniRef90_A0A753Z6F5
contig_45	338168	338362	+	PKJKAM_11430	7.2	8.1		RefSeq:WP_000667714.1, SO:0001217, UniParc:UPI00016C1462, UniRef:UniRef100_A0A5I0XP35, UniRef:UniRef50_A0A376DD51, UniRef:UniRef90_A0A3V8QZQ3
contig_45	341087	341401	+	PKJKAM_11445	12.1	8.7		SO:0001217, UniParc:UPI00016A2162, UniRef:UniRef100_A0A3T3EQM6, UniRef:UniRef50_A0A3U8EHJ2, UniRef:UniRef90_A0A3U8EHJ2
contig_46	10783	10974	+	PKJKAM_11595	6.6	4.1		SO:0001217, UniParc:UPI00016A14ED, UniRef:UniRef100_A0A3T3ENM6, UniRef:UniRef50_A0A3S4JYK6, UniRef:UniRef90_A0A418ZC25
contig_47	64959	65135	-	PKJKAM_13645	6.4	10.6		SO:0001217, UniRef:UniRef50_A0A379WNS0, UniRef:UniRef90_A0A379WNS0
contig_47	112172	112438	-	PKJKAM_13810	10.2	10.6		
contig_47	173094	173792	+	PKJKAM_14085	26.0	4.8		RefSeq:WP_001172085.1, SO:0001217, UniParc:UPI00016C1344, UniRef:UniRef100_A0A5X0DKG2, UniRef:UniRef50_A0A5X0DKG2, UniRef:UniRef90_A0A5X0DKG2
contig_47	228164	228259	-	PKJKAM_14385	3.7	6.0		SO:0001217, UniParc:UPI00024F1C1E, UniRef:UniRef100_A0A455S3T8, UniRef:UniRef50_A0A3S4H9S7, UniRef:UniRef90_A0A3S4H9S7
contig_48	104741	105052	-	PKJKAM_15810	11.9	5.6		RefSeq:WP_000344576.1, SO:0001217, UniParc:UPI00016C1D2F, UniRef:UniRef100_A0A5Z5LYF5, UniRef:UniRef50_A0A0T9V0J2, UniRef:UniRef90_A0A5Z5LYF5
contig_48	111777	111884	+	PKJKAM_15875	4.1	4.1		
contig_48	114983	115237	+	PKJKAM_15905	9.3	5.1		RefSeq:WP_000072144.1, SO:0001217, UniParc:UPI00016C1D3E, UniRef:UniRef100_A0A627IGP0, UniRef:UniRef50_V0A5S9, UniRef:UniRef90_V0A5S9
contig_48	163229	163333	-	PKJKAM_16165	3.8	6.7		SO:0001217, UniParc:UPI0001604710, UniRef:UniRef100_A0A455S8Y3, UniRef:UniRef50_A0A379SBK8, UniRef:UniRef90_A0A379SBK8
contig_48	396664	396966	+	PKJKAM_17295	11.4	9.7		
contig_48	397167	397673	-	PKJKAM_17300	19.5	4.5		RefSeq:WP_000472591.1, SO:0001217, UniParc:UPI00016C1A89, UniRef:UniRef100_A0A3V2W8Q6, UniRef:UniRef50_A0A3V2W8Q6, UniRef:UniRef90_A0A3V2W8Q6
contig_49	152403	152522	+	PKJKAM_18280	4.7	8.0		SO:0001217, UniParc:UPI000352BA5C, UniRef:UniRef100_A0A656IEB7, UniRef:UniRef50_A0A656IEB7, UniRef:UniRef90_A0A656IEB7
contig_49	455245	455742	-	PKJKAM_19645	18.7	10.1		
contig_50	491	757	+	PKJKAM_19650	9.3	10.3		
contig_50	781	1110	+	PKJKAM_19655	12.5	6.0		
contig_50	97293	97442	+	PKJKAM_20110	5.6	7.9		RefSeq:WP_001065558.1, SO:0001217, UniParc:UPI00016BF054, UniRef:UniRef100_A0A2S1PLI6, UniRef:UniRef50_A0A2S1PLI6, UniRef:UniRef90_A0A2S1PLI6
contig_50	97693	97938	+	PKJKAM_20115	9.3	5.6		RefSeq:WP_001243650.1, SO:0001217, UniParc:UPI00016BF055, UniRef:UniRef100_A0A075MCE2, UniRef:UniRef50_A0A075MCE2, UniRef:UniRef90_A0A075MCE2
contig_50	240332	240547	+	PKJKAM_20815	8.1	10.2		
contig_50	356220	356348	+	PKJKAM_21485	4.9	5.9		SO:0001217, UniParc:UPI0001BD0D86, UniRef:UniRef100_A0A1X8WD76, UniRef:UniRef90_A0A1X8WD76
contig_50	364150	364272	+	PKJKAM_21545	4.6	6.7		SO:0001217, UniParc:UPI00016C138F, UniRef:UniRef100_A0A5U7IQZ6, UniRef:UniRef50_A0A3S4FSA5, UniRef:UniRef90_A0A3S4FSA5
contig_50	368352	368462	+	PKJKAM_21575	4.2	9.7		SO:0001217, UniParc:UPI0005E35060, UniRef:UniRef100_A0A0U0WK19, UniRef:UniRef50_A0A0U0WK19, UniRef:UniRef90_A0A0U0WK19
contig_50	394135	394242	+	PKJKAM_21700	4.2	9.6		SO:0001217, UniParc:UPI0001604483, UniRef:UniRef100_A0A455RYX3, UniRef:UniRef50_A0A455RYX3, UniRef:UniRef90_A0A455RYX3
contig_50	523070	523222	-	PKJKAM_22340	5.7	9.4		SO:0001217, UniRef:UniRef50_A0A447U2B1, UniRef:UniRef50_A0A5Z7IP03, UniRef:UniRef90_A0A5Z7IP03
contig_50	604377	604472	+	PKJKAM_22750	3.4	5.9		SO:0001217, UniParc:UPI000169FA75, UniRef:UniRef100_A0A379UR63, UniRef:UniRef50_A0A379W8A9, UniRef:UniRef90_A0A379W8A9
contig_50	703231	703473	+	PKJKAM_23190	9.5	10.9		SO:0001217, UniParc:UPI00102E8CEE, UniRef:UniRef100_A0A5Y0LFH2, UniRef:UniRef50_A0A5Y0LFH2, UniRef:UniRef90_A0A5Y0LFH2
