"Product","Gene_Name","Count","Example_Tag","DbXrefs"
"type 1 fimbrial protein subunit FimI","fimI",10,"GEGEGB_12205","BlastRules:WP_000619606, COG:COG3539, COG:N, GO:0009289, GO:0043709, RefSeq:WP_000619617.1, SO:0001217, UniParc:UPI000005A1BD, UniRef:UniRef100_Q08456, UniRef:UniRef50_Q08456, UniRef:UniRef90_Q08456"
"2,3-diketo-L-gulonate TRAP transporter large permease YiaN","yiaN",9,"GEGEGB_20335","COG:COG1593, COG:G, GO:0031317, RefSeq:WP_000301825.1, SO:0001217, UniParc:UPI000005A726, UniRef:UniRef100_A0A725VH93, UniRef:UniRef50_P37675, UniRef:UniRef90_A0A377E1J4"
"2,3-diketo-L-gulonate TRAP transporter small permease YiaM","yiaM",9,"GEGEGB_20340","COG:COG3090, COG:G, GO:0031317, RefSeq:WP_000832313.1, SO:0001217, UniParc:UPI000005A727, UniRef:UniRef100_A0A3U8PJC3, UniRef:UniRef50_A0A8I0NJ90, UniRef:UniRef90_C0Q1D2"
"2-aminoethylphosphonate ABC transporter permease subunit","phnU",9,"GEGEGB_12840","COG:COG0555, COG:P, GO:0005886, GO:0033223, GO:0033225, GO:0055052, GO:0055085, RefSeq:WP_000052708.1, SO:0001217, UniParc:UPI000005A22E, UniRef:UniRef100_Q8Z8W9, UniRef:UniRef50_P96064, UniRef:UniRef90_P96064"
"2-aminoethylphosphonate ABC transporter substrate-binding protein","phnS",9,"GEGEGB_12830","COG:COG1840, COG:P, GO:0009897, GO:0015888, GO:0030288, GO:0030975, GO:0030976, GO:0033223, GO:0033225, GO:0033226, GO:0055052, RefSeq:WP_000778002.1, SO:0001217, UniParc:UPI000005A22C, UniRef:UniRef100_Q8Z8W7, UniRef:UniRef50_P96062, UniRef:UniRef90_P96062"
"2-keto-3-deoxygluconate permease 1","kdgT1",9,"GEGEGB_00885","BlastRules:WP_001022089, GO:0005886, GO:0015649, RefSeq:WP_001022089.1, SO:0001217, UniParc:UPI0000059A05, UniRef:UniRef100_P65208, UniRef:UniRef50_P65208, UniRef:UniRef90_P65208"
"2-keto-3-deoxygluconate permease 2","kdgT2",9,"GEGEGB_11685","BlastRules:WP_000694473, GO:0005886, GO:0015649, RefSeq:WP_000694473.1, SO:0001217, UniParc:UPI000005A161, UniRef:UniRef100_Q8Z8H3, UniRef:UniRef50_Q8ZQZ4, UniRef:UniRef90_Q8ZQZ4"
"2-methylcitrate synthase","prpC",9,"GEGEGB_13155","COG:C, COG:COG0372, EC:2.3.3.16, EC:2.3.3.5, GO:0004108, GO:0005737, GO:0005975, GO:0006099, GO:0019679, GO:0036440, GO:0050440, RefSeq:WP_000132750.1, SO:0001217, UniParc:UPI000005A266, UniRef:UniRef100_A0A726ABH3, UniRef:UniRef50_Q56063, UniRef:UniRef90_Q56063"
"3-deoxy-D-manno-oct-2-ulosonate III transferase WaaZ","waaZ",9,"GEGEGB_20105","EC:2.4.99.15, GO:0009244, RefSeq:WP_000536021.1, SO:0001217, UniParc:UPI000005A6FD, UniRef:UniRef100_A0A725G2N7, UniRef:UniRef50_P27241, UniRef:UniRef90_P26473"
"3-phenylpropionate MFS transporter",NA,9,"GEGEGB_01635","KEGG:K05820, RefSeq:WP_001173729.1, SO:0001217, UniParc:UPI0000059A85, UniRef:UniRef100_A0A8E6XFZ1, UniRef:UniRef50_Q47142, UniRef:UniRef90_A8AD44"
"4-hydroxyphenylacetate permease",NA,9,"GEGEGB_09585","RefSeq:WP_001285789.1, SO:0001217, UniParc:UPI0000059FEF, UniRef:UniRef100_A0A725VIN1, UniRef:UniRef90_A0A181XZU8"
"7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter","yhhQ",9,"GEGEGB_20845","COG:COG1738, COG:J, GO:1990397, RefSeq:WP_000187489.1, SO:0001217, UniParc:UPI000005A77B, UniRef:UniRef100_A0A6C8G2B6, UniRef:UniRef50_P37619, UniRef:UniRef90_A0A447QWW6"
"ABC transporter substrate-binding protein ArtJ","artJ",9,"GEGEGB_10595","BlastRules:WP_001295339, COG:COG0834, COG:ET, RefSeq:WP_000737538.1, SO:0001217, UniParc:UPI000005A0A7, UniRef:UniRef100_A0A8E7D5L9, UniRef:UniRef50_P30860, UniRef:UniRef90_A0A087FSS8"
"ABC-type Fe3+-siderophore transport system, permease component","fepD",9,"GEGEGB_11165","COG:COG0609, COG:P, RefSeq:WP_000128344.1, SO:0001217, UniParc:UPI000005A10C, UniRef:UniRef100_A0A725FY88, UniRef:UniRef50_I0QNI2, UniRef:UniRef90_C0PWH7"
"ABC-type metal ion transport system, periplasmic component/surface antigen","nlpA",9,"GEGEGB_12375","COG:COG1464, COG:P, RefSeq:WP_000524312.1, SO:0001217, UniParc:UPI000005A1DA, UniRef:UniRef100_A0A725K4L8, UniRef:UniRef50_A0A919S2P1, UniRef:UniRef90_A0A0J1LKL3"
"ABC-type methionine transport system, permease component","metP",9,"GEGEGB_12365","COG:COG2011, COG:E, RefSeq:WP_000342247.1, SO:0001217, UniParc:UPI000005A1D8, UniRef:UniRef100_A0A5H6JF62, UniRef:UniRef50_A0A0D6FL50, UniRef:UniRef90_A0A0J1LKW6"
"ABC-type microcin C transport system, permease component YejE","yejE",9,"GEGEGB_03410","COG:COG4239, COG:Q, RefSeq:WP_001137761.1, SO:0001217, UniParc:UPI0000059BBB, UniRef:UniRef100_A0A8E6XG40, UniRef:UniRef50_Q5LMM8, UniRef:UniRef90_A9MK33"
"ABC-type uncharacterized transport system, permease component","ypjD",9,"GEGEGB_13860","COG:COG4137, COG:R, RefSeq:WP_001537507.1, SO:0001217, UniParc:UPI000005A2DF, UniRef:UniRef100_A0A3V6R977, UniRef:UniRef50_P64434, UniRef:UniRef90_A0A0V9JT68"
"ADP-heptose--LPS heptosyltransferase RfaF","rfaF",9,"GEGEGB_20125","COG:COG0859, COG:M, EC:2.-.-.-, GO:0005829, GO:0008713, GO:0009103, GO:0009244, GO:0016757, RefSeq:WP_000699210.1, SO:0001217, UniParc:UPI000005A701, UniRef:UniRef100_A0A3U2R5U3, UniRef:UniRef50_P37692, UniRef:UniRef90_P37421"
"AI-2E family transporter YdiK","ydiK",9,"GEGEGB_06535","COG:COG0628, COG:R, RefSeq:WP_000248612.1, SO:0001217, UniParc:UPI0000059DD8, UniRef:UniRef100_A0A725G8G7, UniRef:UniRef50_P0AFS7, UniRef:UniRef90_A8AH90"
"ATP-dependent Clp protease adapter ClpS","clpS",9,"GEGEGB_10490","COG:COG2127, COG:O, GO:0006508, GO:0030163, RefSeq:WP_000520789.1, SO:0001217, UniParc:UPI000005A093, UniRef:UniRef100_B5F127, UniRef:UniRef50_Q7N6F7, UniRef:UniRef90_A7ZJU9"
"ATP-dependent protease ATP-binding subunit ClpX","clpX",9,"GEGEGB_12715","COG:COG1219, COG:O, EC:3.4.21.92, GO:0004252, GO:0005524, GO:0006508, GO:0008270, GO:0009368, GO:0009376, GO:0016887, GO:0046983, GO:0051082, GO:0051301, GO:0051603, GO:0140662, RefSeq:WP_000130316.1, SO:0001217, UniParc:UPI000005A215, UniRef:UniRef100_Q8Z8V1, UniRef:UniRef50_Q88KI9, UniRef:UniRef90_A4W7A9"
"ATP/GTP-binding protein",NA,9,"GEGEGB_07660","RefSeq:WP_001189412.1, SO:0001217, UniParc:UPI0000059EA0, UniRef:UniRef100_A0A725VHI8, UniRef:UniRef50_A9MRR0, UniRef:UniRef90_A0A725VHI8"
"Bacterial microcompartment shell protein EutS","eutS",9,"GEGEGB_02130","COG:COG4810, COG:E, GO:0031469, GO:0046336, KEGG:K04031, RefSeq:WP_001031445.1, SO:0001217, UniParc:UPI0000059AD5, UniRef:UniRef100_Q9ZFV7, UniRef:UniRef50_Q9ZFV7, UniRef:UniRef90_Q9ZFV7"
"Bcr/CflA family multidrug efflux MFS transporter","bcr",9,"GEGEGB_03395","COG:COG2814, COG:G, GO:0005886, GO:0015031, GO:0015385, GO:0016020, GO:0033228, GO:0033229, GO:0035442, GO:0042908, GO:0042910, GO:0046677, GO:0071916, GO:1990961, KEGG:K07552, RefSeq:WP_000213351.1, SO:0001217, UniParc:UPI0000059BB7, UniRef:UniRef100_A0A725G6W9, UniRef:UniRef50_P28246, UniRef:UniRef90_P28246"
"C4-dicarboxylate transporter DctC","dctC",9,"GEGEGB_20630","BlastRules:WP_000858214, BlastRules:WP_003082442, COG:C, COG:COG1301, GO:0005886, GO:0015138, GO:0015141, GO:0015366, GO:0070778, RefSeq:WP_000858232.1, SO:0001217, UniParc:UPI000005A756, UniRef:UniRef100_Q8Z287, UniRef:UniRef50_P20672, UniRef:UniRef90_A7MKP4"
"C4-dicarboxylic acid transporter DauA","dauA",9,"GEGEGB_05830","COG:COG0659, COG:P, RefSeq:WP_001662444.1, SO:0001217, UniParc:UPI00019126B5, UniRef:UniRef100_A0A726AB64, UniRef:UniRef50_P0AFR3, UniRef:UniRef90_Q8ZP31"
"CDF family cation-efflux transporter FieF","fieF",9,"GEGEGB_18755","BlastRules:WP_001076748, BlastRules:WP_003093118, COG:COG0053, COG:P, GO:0005381, GO:0005385, GO:0005886, GO:0006812, GO:0008324, GO:0015086, GO:0015297, GO:0016020, GO:0046872, GO:0055085, NCBIProtein:BAE77395.1, RefSeq:WP_001077323.1, SO:0001217, UniParc:UPI000005A628, UniRef:UniRef100_Q8Z2W4, UniRef:UniRef50_Q6CZ45, UniRef:UniRef90_Q8Z2W4"
"CDF family zinc transporter ZitB","zitB",9,"GEGEGB_11180","COG:COG1230, COG:P, GO:0005385, GO:0005886, GO:0006829, GO:0016020, GO:0055085, GO:0071577, RefSeq:WP_000951257.1, SO:0001217, UniParc:UPI000005A10F, UniRef:UniRef100_Q8Z8B6, UniRef:UniRef50_P75757, UniRef:UniRef90_Q8ZQT3"
"Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2)","ftsI",9,"GEGEGB_05540","COG:COG0768, COG:DM, RefSeq:WP_000730322.1, SO:0001217, UniParc:UPI0000059D2A, UniRef:UniRef100_A0A5J2KER1, UniRef:UniRef50_P0AD69, UniRef:UniRef90_A0A0K0HBL7"
"ClpXP protease specificity-enhancing factor","sspB",9,"GEGEGB_17165","COG:COG2969, COG:O, RefSeq:WP_000366112.1, SO:0001217, UniParc:UPI000005A525, UniRef:UniRef100_A0A8E6Y3M4, UniRef:UniRef50_Q83Q08, UniRef:UniRef90_A0A3Z5WPE7"
"Cyanate permease","cynX",9,"GEGEGB_06125","COG:COG2807, COG:P, KEGG:K25494, RefSeq:WP_000205360.1, SO:0001217, UniParc:UPI0000059D96, UniRef:UniRef100_A0A726ACV7, UniRef:UniRef50_P76242, UniRef:UniRef90_S5MNX9"
"D-methionine transport system permease protein MetI","metI",9,"GEGEGB_01340","COG:COG2011, COG:E, GO:0005886, GO:0048473, GO:0055085, RefSeq:WP_001287483.1, SO:0001217, UniParc:UPI000012EF9B, UniRef:UniRef100_Q8Z991, UniRef:UniRef50_P31547, UniRef:UniRef90_P31547"
"D-serine transporter DsdX","dsdX",9,"GEGEGB_19615","COG:COG2610, COG:G, GO:0015128, GO:0016020, GO:0035429, RefSeq:WP_000543313.1, SO:0001217, UniParc:UPI000005A6B3, UniRef:UniRef100_A0A725K428, UniRef:UniRef50_A0A0H2VAP9, UniRef:UniRef90_A8ACI6"
"D-serine/D-alanine/glycine transporter","cycA",9,"GEGEGB_23470","COG:COG1113, COG:E, GO:0001761, GO:0001762, GO:0005886, GO:0006865, GO:0015180, GO:0015187, GO:0015293, GO:0015808, GO:0015816, GO:0016020, GO:0042941, GO:0042942, GO:0042944, GO:0042945, GO:0055085, RefSeq:WP_000228328.1, SO:0001217, UniParc:UPI000005A94F, UniRef:UniRef100_A0A725VKS1, UniRef:UniRef50_A0A0H2VDI7, UniRef:UniRef90_A0A0H2VDI7"
"DNA replication terminus site-binding protein","tus",9,"GEGEGB_07080","GO:0003677, GO:0005737, GO:0006274, KEGG:K10748, RefSeq:WP_000092483.1, SO:0001217, UniParc:UPI0000059E38, UniRef:UniRef100_Q8Z6R7, UniRef:UniRef50_Q9L6X9, UniRef:UniRef90_Q8Z6R7"
"DNA uptake porin HofQ","hofQ",9,"GEGEGB_21235","COG:COG4796, COG:U, GO:0009306, GO:0019867, SO:0001217, UniRef:UniRef50_A8AQU6, UniRef:UniRef90_A0A3Y4M8C9"
