# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_4	cds	10649	11917	+	ONMMKP_00155	umuC	Protein UmuC	COG:COG0389, COG:L, GO:0003684, GO:0003887, GO:0009432, GO:0042276, RefSeq:WP_000457663.1, SO:0001217, UniParc:UPI0001603ED9, UniRef:UniRef100_A0A5Z8AJU4, UniRef:UniRef50_P04152, UniRef:UniRef90_P22494
contig_4	ncRNA-region	12226	12623	+			cspA thermoregulator	RFAM:RF01766, SO:0002168
contig_4	cds	12372	12584	+	ONMMKP_00160	cspJ	Cold shock-like protein CspJ	COG:COG1278, COG:K, GO:0003676, GO:0003677, GO:0005829, GO:0010468, RefSeq:WP_000208509.1, SO:0001217, UniParc:UPI000012858E, UniRef:UniRef100_E1WGN1, UniRef:UniRef50_E1WGN1, UniRef:UniRef90_E1WGN1
contig_4	ncRNA	12741	12820	+	ONMMKP_00165	STnc220	Salmonella enterica sRNA STnc220	RFAM:RF02077, SO:0000655
contig_4	cds	13044	14222	-	ONMMKP_00170	ompS1	porin OmpS1	BlastRules:WP_001080666, BlastRules:WP_001080680, GO:0009279, GO:0015288, GO:0034220, GO:0046930, RefSeq:WP_001080668.1, SO:0001217, UniParc:UPI0001603EDD, UniRef:UniRef100_A0A630KWR9, UniRef:UniRef50_P02932, UniRef:UniRef90_Q56110
contig_4	ncRNA	14522	14616	-	ONMMKP_00175	rseX	rseX Hfq binding RNA	RFAM:RF01401, SO:0000655
contig_4	cds	14872	15183	+	ONMMKP_00180	drpB	cell division protein DrpB	RefSeq:WP_000107435.1, SO:0001217, UniParc:UPI0000059C9B, UniRef:UniRef100_A0A8E6Y8J9, UniRef:UniRef50_P76334, UniRef:UniRef90_A0A3U2ZMX2
contig_4	cds	15263	15958	+	ONMMKP_00185	rnaY	phosphohydrolase	COG:COG1418, COG:JR, RefSeq:WP_000377039.1, SO:0001217, UniParc:UPI00016C126B, UniRef:UniRef100_A0A608SEU3, UniRef:UniRef50_H3RDL0, UniRef:UniRef90_A0A0K0HC07
contig_4	cds	16032	17462	+	ONMMKP_00190	dcm	DNA-cytosine methylase	COG:COG0270, COG:L, RefSeq:WP_001157307.1, SO:0001217, UniParc:UPI00016C126C, UniRef:UniRef100_A0A5Y7Y4C0, UniRef:UniRef50_P05101, UniRef:UniRef90_A0A379USG1
contig_4	cds	17443	17913	+	ONMMKP_00195	vsr	G:T-mismatch repair DNA endonuclease Vsr, very short patch repair protein	COG:COG3727, COG:L, RefSeq:WP_000785981.1, SO:0001217, UniParc:UPI0000059C9E, UniRef:UniRef100_A0A5W5D518, UniRef:UniRef50_P09184, UniRef:UniRef90_A0A2I5HFU4
contig_4	cds	17902	18822	-	ONMMKP_00200	yedA	drug/metabolite exporter YedA	COG:COG0697, COG:GER, GO:0016020, RefSeq:WP_001212263.1, SO:0001217, UniParc:UPI000169FCA3, UniRef:UniRef100_A0A603BMZ4, UniRef:UniRef50_A0A7U3Z0B7, UniRef:UniRef90_C0Q267
contig_4	cds	18998	19909	+	ONMMKP_00205	mutK	Membrane protein MutK/YedI, may be involved in DNA repair	COG:COG2354, COG:L, RefSeq:WP_000929127.1, SO:0001217, UniParc:UPI0001603F96, UniRef:UniRef100_A0A1S0ZG02, UniRef:UniRef50_A0A098FRY4, UniRef:UniRef90_A9MMJ1
contig_4	cds	19986	20171	+	ONMMKP_00210	yodC	DUF2158 domain-containing protein	COG:COG5475, COG:S, RefSeq:WP_000232161.1, SO:0001217, UniParc:UPI000169FCA5, UniRef:UniRef100_A0A3U7XS46, UniRef:UniRef50_A8AF70, UniRef:UniRef90_B5R7E5
contig_4	cds	20336	22048	+	ONMMKP_00215	dgcQ	cellulose biosynthesis regulator diguanylate cyclase DgcQ	COG:COG2199, COG:T, EC:2.7.7.65, GO:0005525, GO:0005886, GO:0030244, GO:0043709, GO:0046872, GO:0052621, GO:1902201, RefSeq:WP_001119828.1, SO:0001217, UniParc:UPI00016A1948, UniRef:UniRef100_A0A3U7XS49, UniRef:UniRef50_P76330, UniRef:UniRef90_Q8ZNT5
contig_4	cds	22027	22842	-	ONMMKP_00220	yedP	mannosyl-3-phosphoglycerate phosphatase-related protein	COG:COG3769, COG:G, EC:3.1.3.70, GO:0000287, GO:0005829, GO:0016791, GO:0050531, GO:0051479, RefSeq:WP_000948794.1, SO:0001217, UniParc:UPI0000059CA2, UniRef:UniRef100_Q57N15, UniRef:UniRef50_Q8XB99, UniRef:UniRef90_Q57N15
contig_4	ncRNA	23055	23138	+	ONMMKP_00225	dsrA	DsrA RNA	RFAM:RF00014, SO:0000655
contig_4	cds	23152	23379	-	ONMMKP_00230	yodD	YodD family peroxide/acid resistance protein	BlastRules:WP_000844800, RefSeq:WP_000844798.1, SO:0001217, UniParc:UPI0000059CA3, UniRef:UniRef100_C0Q271, UniRef:UniRef50_P64520, UniRef:UniRef90_A0A0V9J6Z2
contig_4	cds	23508	23702	+	ONMMKP_00235	dsrB	protein DsrB	RefSeq:WP_000867218.1, SO:0001217, UniParc:UPI0000231CF1, UniRef:UniRef100_Q57N17, UniRef:UniRef50_Q57N17, UniRef:UniRef90_Q57N17
contig_4	cds	23741	24364	-	ONMMKP_00240	rcsA	transcriptional regulator RcsA	COG:COG2771, COG:K, GO:0003677, GO:0006355, GO:0050896, RefSeq:WP_000103971.1, SO:0001217, UniParc:UPI000048EBA2, UniRef:UniRef100_A0A3U7XS80, UniRef:UniRef50_P0DMD0, UniRef:UniRef90_P54698
contig_4	cds	24646	25440	-	ONMMKP_00245	fliR	flagellar biosynthetic protein FliR	COG:COG1684, COG:N, GO:0005886, GO:0006605, GO:0009425, GO:0016020, GO:0044780, RefSeq:WP_000616949.1, SO:0001217, UniParc:UPI00016BF818, UniRef:UniRef100_A0A3Z3G651, UniRef:UniRef50_P54702, UniRef:UniRef90_P54702
contig_4	cds	25449	25718	-	ONMMKP_00250	fliQ	flagellar biosynthesis protein FliQ	GO:0001539, GO:0005886, GO:0006935, GO:0009288, GO:0030254, GO:0030257, GO:0044780, GO:0071973, GO:0120102, RefSeq:WP_000187355.1, SO:0001217, UniParc:UPI0000059CA7, UniRef:UniRef100_P0A1L6, UniRef:UniRef50_P34201, UniRef:UniRef90_P0A1L6
contig_4	cds	25728	26465	-	ONMMKP_00255	fliP	flagellar type III secretion system pore protein FliP	BlastRules:WP_001253410, COG:COG1338, COG:N, GO:0001539, GO:0005886, GO:0009306, GO:0009425, GO:0044781, RefSeq:WP_001253411.1, SO:0001217, UniParc:UPI0000059CA8, UniRef:UniRef100_A0A5I5V6M5, UniRef:UniRef50_P54700, UniRef:UniRef90_P54700
contig_4	cds	26465	26842	-	ONMMKP_00260	fliO	flagellar biosynthetic protein FliO	COG:COG3190, COG:N, GO:0005886, GO:0006935, GO:0009425, GO:0044781, GO:0097588, RefSeq:WP_000978276.1, SO:0001217, UniParc:UPI0000059CA9, UniRef:UniRef100_P0A1L2, UniRef:UniRef50_P0A1L2, UniRef:UniRef90_P0A1L2
contig_4	cds	26842	27255	-	ONMMKP_00265	fliN	Flagellar motor switch/type III secretory pathway protein FliN	COG:COG1886, COG:NU, RefSeq:WP_001282111.1, SO:0001217, UniParc:UPI000048EBA4, UniRef:UniRef100_A0A5I4K3W3, UniRef:UniRef50_P15070, UniRef:UniRef90_A0A2X4QTF9
contig_4	cds	27252	28256	-	ONMMKP_00270	fliM	flagellar motor switch protein FliM	COG:COG1868, COG:N, GO:0001539, GO:0003774, GO:0005886, GO:0009288, GO:0009425, GO:0050918, GO:0071978, RefSeq:WP_000502811.1, SO:0001217, UniParc:UPI0000061B5C, UniRef:UniRef100_P26418, UniRef:UniRef50_P06974, UniRef:UniRef90_P06974
contig_4	cds	28261	28728	-	ONMMKP_00275	fliL	flagellar basal body-associated protein FliL	COG:COG1580, COG:N, GO:0005886, GO:0006935, GO:0009425, GO:0071973, GO:0071978, RefSeq:WP_000132169.1, SO:0001217, UniParc:UPI0000061B5B, UniRef:UniRef100_P26417, UniRef:UniRef50_P26417, UniRef:UniRef90_P26417
contig_4	cds	28833	30056	-	ONMMKP_00280	fliK	flagellar hook length control protein FliK	COG:COG3144, COG:N, GO:0009424, GO:0044780, RefSeq:WP_000631673.1, SO:0001217, UniParc:UPI00016C1396, UniRef:UniRef100_A0A3U8TIS4, UniRef:UniRef50_P26416, UniRef:UniRef90_P26416
contig_4	cds	30053	30496	-	ONMMKP_00285	fliJ	flagellar export protein FliJ	COG:COG2882, COG:N, GO:0003774, GO:0005886, GO:0006935, GO:0009288, GO:0015031, GO:0016020, GO:0044781, GO:0071973, RefSeq:WP_000046981.1, SO:0001217, UniParc:UPI0000059CAE, UniRef:UniRef100_P0A1K2, UniRef:UniRef50_P0A1K2, UniRef:UniRef90_P0A1K2
contig_4	cds	30518	31888	-	ONMMKP_00290	fliI	flagellar protein export ATPase FliI	EC:7.1.2.2, GO:0001539, GO:0005524, GO:0005737, GO:0009288, GO:0016887, GO:0030254, GO:0030257, GO:0042802, GO:0044780, GO:0045261, GO:0046933, GO:0046961, GO:0071973, RefSeq:WP_000213257.1, SO:0001217, UniParc:UPI000012A9C0, UniRef:UniRef100_P26465, UniRef:UniRef50_P26465, UniRef:UniRef90_P26465
contig_4	cds	31888	32595	-	ONMMKP_00295	fliH	flagellar assembly protein FliH	COG:COG1317, COG:NU, GO:0003774, GO:0005829, GO:0009288, GO:0015031, GO:0044781, GO:0071973, KEGG:K02411, RefSeq:WP_000064160.1, SO:0001217, UniParc:UPI00016C1397, UniRef:UniRef100_A0A3T5SP05, UniRef:UniRef50_P31068, UniRef:UniRef90_P15934
contig_4	cds	32588	33583	-	ONMMKP_00300	fliG	flagellar motor switch protein FliG	COG:COG1536, COG:N, GO:0001539, GO:0003774, GO:0005198, GO:0005886, GO:0006935, GO:0009425, GO:0009433, GO:0071973, RefSeq:WP_000067735.1, SO:0001217, UniParc:UPI0000059CB1, UniRef:UniRef100_P0A1K0, UniRef:UniRef50_P0A1K0, UniRef:UniRef90_P0A1K0
contig_4	cds	33576	35258	-	ONMMKP_00305	fliF	flagellar basal-body MS-ring/collar protein FliF	COG:COG1766, COG:NU, GO:0001539, GO:0003774, GO:0005198, GO:0005886, GO:0009431, GO:0071973, RefSeq:WP_001276833.1, SO:0001217, UniParc:UPI000169F4EC, UniRef:UniRef100_A0A6C8EVB4, UniRef:UniRef50_P15928, UniRef:UniRef90_P15928
contig_4	cds	35475	35789	+	ONMMKP_00310	fliE	flagellar hook-basal body complex protein FliE	COG:COG1677, COG:N, GO:0001539, GO:0003774, GO:0005198, GO:0009425, GO:0071973, RefSeq:WP_000719036.1, SO:0001217, UniParc:UPI0000162279, UniRef:UniRef100_B4T8S2, UniRef:UniRef50_Q8Z5S1, UniRef:UniRef90_Q8Z5S1
contig_4	cds	36561	36794	-	ONMMKP_00315	yedF	sulfurtransferase-like selenium metabolism protein YedF	GO:0006974, RefSeq:WP_000790504.1, SO:0001217, UniParc:UPI0000059CB5, UniRef:UniRef100_P0AA33, UniRef:UniRef50_P0AA33, UniRef:UniRef90_P0AA33
contig_4	cds	36791	37996	-	ONMMKP_00320	yedE	selenium metabolism membrane protein YedE/FdhT	COG:COG2391, COG:R, GO:0005886, RefSeq:WP_001537117.1, SO:0001217, UniParc:UPI00016C14E4, UniRef:UniRef100_A0A3Y7H8Q0, UniRef:UniRef50_Q06400, UniRef:UniRef90_Q06400
contig_4	cds	38182	38595	+	ONMMKP_00325	yedD	lipoprotein YedD	GO:0005886, RefSeq:WP_000754694.1, SO:0001217, UniParc:UPI0000059CB7, UniRef:UniRef100_Q06399, UniRef:UniRef50_P31063, UniRef:UniRef90_Q06399
contig_4	cds	38635	40119	-	ONMMKP_00330	amyA	alpha-amylase	COG:COG0366, COG:G, EC:3.2.1.1, GO:0004553, GO:0004556, GO:0005509, GO:0005737, GO:0005975, RefSeq:WP_000795486.1, SO:0001217, UniParc:UPI00016C14E5, UniRef:UniRef100_A0A3Z6ZGL2, UniRef:UniRef50_P26612, UniRef:UniRef90_P26613
contig_4	cds	40191	40559	-	ONMMKP_00335	fliT	flagella biosynthesis regulatory protein FliT	GO:0005829, GO:0006457, GO:0006605, GO:0044780, GO:0044781, GO:1902209, RefSeq:WP_000204899.1, SO:0001217, UniParc:UPI0000059CB9, UniRef:UniRef100_B5F2S6, UniRef:UniRef50_B5F2S6, UniRef:UniRef90_B5F2S6
contig_4	cds	40559	40966	-	ONMMKP_00340	fliS	flagellar export chaperone FliS	COG:COG1516, COG:NU, GO:0001539, GO:0005829, GO:0009288, GO:0044780, GO:0071973, RefSeq:WP_000287764.1, SO:0001217, UniParc:UPI000012A9F3, UniRef:UniRef100_P26609, UniRef:UniRef50_P26609, UniRef:UniRef90_P26609
contig_4	cds	40981	42384	-	ONMMKP_00345	fliD	flagellar filament capping protein FliD	COG:COG1345, COG:N, GO:0005576, GO:0007155, GO:0009288, GO:0009421, GO:0009424, GO:0071973, RefSeq:WP_000146802.1, SO:0001217, UniParc:UPI0000162277, UniRef:UniRef100_P16328, UniRef:UniRef50_P16328, UniRef:UniRef90_P16328
contig_4	cds	42641	44122	+	ONMMKP_00350	fliC	Flagellin	GO:0005198, GO:0005576, GO:0009288, RefSeq:WP_000079808.1, SO:0001217, UniParc:UPI000035D826, UniRef:UniRef100_A0A3R0YSS7, UniRef:UniRef50_P06179, UniRef:UniRef90_P06175
contig_4	cds	44201	45406	+	ONMMKP_00355	fliB	flagellin lysine-N-methylase	BlastRules:WP_000659236, BlastRules:WP_011816588, EC:2.1.1.-, GO:0008168, GO:0032259, RefSeq:WP_000659252.1, SO:0001217, UniParc:UPI00016C14E6, UniRef:UniRef100_A0A3Y4UEE7, UniRef:UniRef50_Q56106, UniRef:UniRef90_Q56106
contig_4	cds	45603	46322	+	ONMMKP_00360	fliA	RNA polymerase sigma factor FliA	COG:COG1191, COG:K, GO:0003677, GO:0003899, GO:0005737, GO:0006352, GO:0006355, GO:0016987, RefSeq:WP_001087453.1, SO:0001217, UniParc:UPI0000059CBD, UniRef:UniRef100_P0A2E9, UniRef:UniRef50_P0AEM8, UniRef:UniRef90_P0AEM8
contig_4	cds	46381	46932	+	ONMMKP_00365	fliZ	flagella biosynthesis regulatory protein FliZ	GO:0003677, GO:0015074, RefSeq:WP_000218080.1, SO:0001217, UniParc:UPI0000059CBE, UniRef:UniRef100_P0A211, UniRef:UniRef50_P52627, UniRef:UniRef90_P0A211
contig_4	cds	47079	47879	+	ONMMKP_00370	tcyJ	cystine ABC transporter substrate-binding protein	COG:COG0834, COG:ET, GO:0015276, GO:0016020, RefSeq:WP_000761634.1, SO:0001217, UniParc:UPI000169F4E8, UniRef:UniRef100_A0A655DNZ7, UniRef:UniRef50_P0AEN0, UniRef:UniRef90_A0A2X4TST3
contig_4	cds	48033	49019	+	ONMMKP_00375	dcyD	D-cysteine desulfhydrase	COG:COG2515, COG:E, EC:4.4.1.15, GO:0019148, GO:0046416, RefSeq:WP_001128188.1, SO:0001217, UniParc:UPI000169F4E7, UniRef:UniRef100_B5F2T4, UniRef:UniRef50_Q8XBC7, UniRef:UniRef90_Q8Z5S9
contig_4	cds	49040	49708	+	ONMMKP_00380	tcyL	cystine ABC transporter permease	COG:COG0765, COG:E, EC:7.4.2.-, RefSeq:WP_001158235.1, SO:0001217, UniParc:UPI00016C14E7, UniRef:UniRef100_A0A5Y7Y536, UniRef:UniRef50_P0AFT3, UniRef:UniRef90_A0A0W8ARL6
contig_4	cds	49705	50457	+	ONMMKP_00385	tcyN	L-cystine ABC transporter ATP-binding protein TcyN	COG:COG1126, COG:E, EC:7.4.2.-, EC:7.4.2.12, GO:0003333, GO:0005524, GO:0005886, GO:0015184, GO:0015424, GO:0015811, GO:0016887, GO:0055052, GO:1903712, RefSeq:WP_001273041.1, SO:0001217, UniParc:UPI00016C14E8, UniRef:UniRef100_A0A3Z1MLE5, UniRef:UniRef50_P37774, UniRef:UniRef90_P37774
contig_4	cds	50690	51412	+	ONMMKP_00390	sdiA	transcriptional regulator SdiA	COG:COG2771, COG:K, GO:0003677, GO:0006355, RefSeq:WP_001157169.1, SO:0001217, UniParc:UPI00016C14E9, UniRef:UniRef100_A0A5I8MQP4, UniRef:UniRef50_P07026, UniRef:UniRef90_A9MMM9
contig_4	cds	51479	51703	-	ONMMKP_00395		DUF2594 domain-containing protein	RefSeq:WP_000106483.1, SO:0001217, UniParc:UPI0000059CC4, UniRef:UniRef100_A0A5I5S468, UniRef:UniRef50_A0A1C4GES6, UniRef:UniRef90_L0M1E0
contig_4	sorf	52027	52104	+	ONMMKP_00400		Bactoprenol glucosyl transferase	SO:0001217, UniParc:UPI0001B96EE8, UniRef:UniRef100_A0A6C7IBD0, UniRef:UniRef50_A0A6C7IBD0, UniRef:UniRef90_A0A6C7IBD0
contig_4	cds	52167	52823	+	ONMMKP_00405	uvrY	UvrY/SirA/GacA family response regulator transcription factor	COG:COG2197, COG:TK, GO:0000160, GO:0003677, GO:0005737, GO:0006355, RefSeq:WP_000611323.1, SO:0001217, UniParc:UPI0000059CC6, UniRef:UniRef100_A0A5I0S850, UniRef:UniRef50_P0AED5, UniRef:UniRef90_P0AED5
contig_4	cds	52820	54652	+	ONMMKP_00410	uvrC	excinuclease ABC subunit UvrC	COG:COG0322, COG:L, GO:0003677, GO:0005737, GO:0006289, GO:0009380, GO:0009381, GO:0009432, KEGG:K03703, RefSeq:WP_001289470.1, SO:0001217, UniParc:UPI0001811847, UniRef:UniRef100_A0A3U8B8V0, UniRef:UniRef50_O66041, UniRef:UniRef90_O66041
contig_4	cds	54709	55257	+	ONMMKP_00415	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	COG:COG0558, COG:I, EC:2.7.8.5, GO:0005886, GO:0006655, GO:0008444, RefSeq:WP_001160192.1, SO:0001217, UniParc:UPI0000059CC8, UniRef:UniRef100_Q5PI18, UniRef:UniRef50_P0ABG0, UniRef:UniRef90_P0ABG0
contig_4	tRNA	55409	55484	+	ONMMKP_00420	trnG	tRNA-Gly(gcc)	SO:0000260
contig_4	tRNA	55538	55611	+	ONMMKP_00425	trnC	tRNA-Cys(gca)	SO:0000258
contig_4	tRNA	55623	55709	+	ONMMKP_00430	trnL	tRNA-Leu(taa)	SO:0000264
contig_4	cds	56007	56291	+	ONMMKP_00435		Inner membrane protein	SO:0001217, UniParc:UPI0001811849, UniRef:UniRef100_A0A6C8EZR9, UniRef:UniRef50_A9MMN6, UniRef:UniRef90_A0A3U6YKU4
contig_4	cds	56511	57944	+	ONMMKP_00440	nlpC	Cell wall-associated hydrolase, NlpC_P60 family	COG:COG0791, COG:M, SO:0001217, UniParc:UPI00016C1016, UniRef:UniRef100_A0A3U9Q8P4, UniRef:UniRef50_A9MMN8, UniRef:UniRef90_A0A315FWR9
contig_4	cds	58157	58483	+	ONMMKP_00445		Glucose-6-phosphate dehydrogenase	RefSeq:WP_000240832.1, SO:0001217, UniParc:UPI000169ED10, UniRef:UniRef100_A0A5I9DFZ6, UniRef:UniRef50_A0A0H3NMH7, UniRef:UniRef90_A0A0H3NMH7
contig_4	ncRNA	58492	58669	-	ONMMKP_00450	STnc210	Salmonella enterica sRNA STnc210	RFAM:RF02078, SO:0000655
contig_4	cds	58722	59387	+	ONMMKP_00455	yecA	UPF0149 protein	COG:COG3318, COG:S, RefSeq:WP_000781526.1, SO:0001217, UniParc:UPI000169ED11, UniRef:UniRef100_A0A3R0HPT9, UniRef:UniRef50_P0AD05, UniRef:UniRef90_G5SAH2
contig_4	cds	59462	60730	-	ONMMKP_00460	tyrP	tyrosine transporter TyrP	COG:COG0814, COG:E, GO:0005886, GO:0015173, GO:0015801, SO:0001217, UniParc:UPI0001811719, UniRef:UniRef100_A0A6C8ESV0, UniRef:UniRef50_P0AAD4, UniRef:UniRef90_A0A0K0HBT3
contig_4	cds	60900	61139	+	ONMMKP_00465		Metal-binding protein	RefSeq:WP_000377238.1, SO:0001217, UniParc:UPI0000059CD0, UniRef:UniRef100_A0A3V7PAZ4, UniRef:UniRef50_A6TB58, UniRef:UniRef90_A0A6C8G5Z1
