#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:245380-245841|+   -            154 1827295at2           -             74   8.3e-25   84.5   0.8   1   1   1.8e-26   3.9e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABAM02000001.1_210 # 245380 # 245841 # 1 # ID=2_210;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABAM02000001.1:3609429-3610085|+ -            219 1827295at2           -             74     0.032   12.2   0.1   1   1   0.00026     0.057   11.3   0.1     9    30    30    51    14    62 0.79 NZ_ABAM02000001.1_3325 # 3609429 # 3610085 # 1 # ID=2_3325;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.583
NZ_ABAM02000001.1:381389-386470|+   -           1694 1827295at2           -             74      0.04   11.8   0.2   1   1   0.00052      0.11   10.4   0.2    11    33  1350  1372  1340  1377 0.79 NZ_ABAM02000001.1_340 # 381389 # 386470 # 1 # ID=2_340;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.487
NZ_ABAM02000001.1:979968-981077|-   -            370 1827295at2           -             74     0.045   11.7   0.0   1   1   0.00048      0.11   10.5   0.0     9    29    45    65    30    71 0.84 NZ_ABAM02000001.1_866 # 979968 # 981077 # -1 # ID=2_866;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABAM02000001.1:2500425-2501177|- -            251 1827295at2           -             74     0.049   11.5   0.0   1   2    0.0011      0.25    9.3   0.0     8    27    27    48    13    53 0.82 NZ_ABAM02000001.1_2328 # 2500425 # 2501177 # -1 # ID=2_2328;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.554
NZ_ABAM02000001.1:2500425-2501177|- -            251 1827295at2           -             74     0.049   11.5   0.0   2   2       2.5   5.5e+02   -1.4   0.0    12    33   112   133   104   136 0.83 NZ_ABAM02000001.1_2328 # 2500425 # 2501177 # -1 # ID=2_2328;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.554
NZ_ABAM02000001.1:4651275-4652810|+ -            512 1827295at2           -             74      0.11   10.4   1.7   1   2     0.029       6.2    4.8   0.2     9    29    38    58    26    61 0.82 NZ_ABAM02000001.1_4291 # 4651275 # 4652810 # 1 # ID=2_4291;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
NZ_ABAM02000001.1:4651275-4652810|+ -            512 1827295at2           -             74      0.11   10.4   1.7   2   2     0.048        10    4.1   0.1     9    28   290   309   275   312 0.82 NZ_ABAM02000001.1_4291 # 4651275 # 4652810 # 1 # ID=2_4291;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /output/GCF_000170215.1_ASM17021v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000170215.1_ASM17021v1_genomic/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /output/GCF_000170215.1_ASM17021v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:50:57 2026
# [ok]
