#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:3184563-3186362|- -            600 182107at2            -            492  6.2e-222  735.2   6.4   1   1  1.6e-222  7.1e-220  728.5   6.4     1   491     4   594     4   595 0.89 NZ_ABAM02000001.1_2942 # 3184563 # 3186362 # -1 # ID=2_2942;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABAM02000001.1:3971602-3972786|- -            395 182107at2            -            492   5.9e-13   46.0   0.1   1   1     3e-15   1.3e-12   44.8   0.1     3   200    14   249    13   276 0.68 NZ_ABAM02000001.1_3688 # 3971602 # 3972786 # -1 # ID=2_3688;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.540
NZ_ABAM02000001.1:4243525-4245375|- -            617 182107at2            -            492   3.1e-12   43.6   0.0   1   1     1e-14   4.5e-12   43.1   0.0     8   196     7   209     1   217 0.77 NZ_ABAM02000001.1_3921 # 4243525 # 4245375 # -1 # ID=2_3921;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.570
NZ_ABAM02000001.1:3448421-3449860|- -            480 182107at2            -            492   3.8e-11   40.0   0.1   1   2      0.16        69   -0.4   0.0     8    24    34    50    29    58 0.80 NZ_ABAM02000001.1_3185 # 3448421 # 3449860 # -1 # ID=2_3185;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABAM02000001.1:3448421-3449860|- -            480 182107at2            -            492   3.8e-11   40.0   0.1   2   2   4.6e-13     2e-10   37.6   0.0    25   122    80   182    63   195 0.81 NZ_ABAM02000001.1_3185 # 3448421 # 3449860 # -1 # ID=2_3185;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABAM02000001.1:3109216-3110688|- -            491 182107at2            -            492   1.1e-09   35.2   0.0   1   2     0.037        16    1.7   0.0    66   152    73   159     5   173 0.68 NZ_ABAM02000001.1_2877 # 3109216 # 3110688 # -1 # ID=2_2877;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABAM02000001.1:3109216-3110688|- -            491 182107at2            -            492   1.1e-09   35.2   0.0   2   2   3.7e-11   1.6e-08   31.3   0.1     5   158   206   375   203   388 0.73 NZ_ABAM02000001.1_2877 # 3109216 # 3110688 # -1 # ID=2_2877;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABAM02000001.1:3181716-3182621|- -            302 182107at2            -            492    0.0002   17.8   0.1   1   1   6.8e-07    0.0003   17.3   0.1     5   157    12   175     9   185 0.76 NZ_ABAM02000001.1_2939 # 3181716 # 3182621 # -1 # ID=2_2939;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /output/GCF_000170215.1_ASM17021v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000170215.1_ASM17021v1_genomic/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /output/GCF_000170215.1_ASM17021v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:50:57 2026
# [ok]
