#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000008.1:29557-31356|+   -            600 182107at2            -            492  6.8e-222  735.2   6.4   1   1  1.5e-222  7.7e-220  728.5   6.4     1   491     4   594     4   595 0.89 NZ_ABEW01000008.1_29 # 29557 # 31356 # 1 # ID=56_29;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NZ_ABEW01000004.1:217123-218973|+ -            617 182107at2            -            492     3e-12   43.8   0.0   1   1   8.3e-15   4.3e-12   43.2   0.0     8   196     7   209     1   217 0.77 NZ_ABEW01000004.1_199 # 217123 # 218973 # 1 # ID=60_199;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.572
NZ_ABEW01000002.1:488203-489642|+ -            480 182107at2            -            492   4.1e-11   40.0   0.1   1   2      0.14        75   -0.4   0.0     8    24    34    50    29    58 0.80 NZ_ABEW01000002.1_454 # 488203 # 489642 # 1 # ID=62_454;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABEW01000002.1:488203-489642|+ -            480 182107at2            -            492   4.1e-11   40.0   0.1   2   2   4.2e-13   2.2e-10   37.6   0.0    25   122    80   182    63   195 0.81 NZ_ABEW01000002.1_454 # 488203 # 489642 # 1 # ID=62_454;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABEW01000008.1:104973-106445|+ -            491 182107at2            -            492   1.2e-09   35.2   0.0   1   2     0.033        17    1.7   0.0    66   152    73   159     5   173 0.68 NZ_ABEW01000008.1_94 # 104973 # 106445 # 1 # ID=56_94;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABEW01000008.1:104973-106445|+ -            491 182107at2            -            492   1.2e-09   35.2   0.0   2   2   3.4e-11   1.8e-08   31.3   0.1     5   158   206   375   203   388 0.73 NZ_ABEW01000008.1_94 # 104973 # 106445 # 1 # ID=56_94;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABEW01000008.1:33298-34203|+   -            302 182107at2            -            492    0.0002   18.0   0.1   1   1   5.4e-07   0.00029   17.4   0.1     5   157    12   175     9   185 0.75 NZ_ABEW01000008.1_32 # 33298 # 34203 # 1 # ID=56_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /output/GCF_000171415.1_ASM17141v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171415.1_ASM17141v1_genomic/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /output/GCF_000171415.1_ASM17141v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:53:26 2026
# [ok]
