#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000003.1:532319-532780|- -            154 1827295at2           -             74     9e-25   84.5   0.8   1   1   1.8e-26   4.2e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABEW01000003.1_486 # 532319 # 532780 # -1 # ID=61_486;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.532
NZ_ABEW01000004.1:6180-7685|-     -            502 1827295at2           -             74    0.0027   15.7   0.4   1   2    0.0046       1.1    7.3   0.1     8    28    27    50    17    57 0.80 NZ_ABEW01000004.1_7 # 6180 # 7685 # -1 # ID=60_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.536
NZ_ABEW01000004.1:6180-7685|-     -            502 1827295at2           -             74    0.0027   15.7   0.4   2   2     0.013       3.1    5.9   0.0     9    31   279   301   269   307 0.80 NZ_ABEW01000004.1_7 # 6180 # 7685 # -1 # ID=60_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.536
NZ_ABEW01000007.1:155611-157887|+ -            759 1827295at2           -             74    0.0028   15.6   0.1   1   2     0.022       5.3    5.1   0.0    12    31   211   230   197   237 0.82 NZ_ABEW01000007.1_149 # 155611 # 157887 # 1 # ID=57_149;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.540
NZ_ABEW01000007.1:155611-157887|+ -            759 1827295at2           -             74    0.0028   15.6   0.1   2   2    0.0034      0.81    7.8   0.1    10    33   490   513   473   517 0.85 NZ_ABEW01000007.1_149 # 155611 # 157887 # 1 # ID=57_149;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.540
NZ_ABEW01000007.1:49575-51311|-   -            579 1827295at2           -             74    0.0033   15.4   0.7   1   2    0.0017       0.4    8.7   0.1    10    31    35    56    18    63 0.83 NZ_ABEW01000007.1_49 # 49575 # 51311 # -1 # ID=57_49;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.561
NZ_ABEW01000007.1:49575-51311|-   -            579 1827295at2           -             74    0.0033   15.4   0.7   2   2     0.036       8.6    4.5   0.1     8    29   353   376   336   382 0.78 NZ_ABEW01000007.1_49 # 49575 # 51311 # -1 # ID=57_49;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.561
NZ_ABEW01000006.1:437181-438941|+ -            587 1827295at2           -             74    0.0035   15.3   1.0   1   2     0.098        23    3.1   0.1    10    32    10    32     3    37 0.84 NZ_ABEW01000006.1_404 # 437181 # 438941 # 1 # ID=58_404;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABEW01000006.1:437181-438941|+ -            587 1827295at2           -             74    0.0035   15.3   1.0   2   2   0.00055      0.13   10.3   0.1     9    33   327   351   317   367 0.85 NZ_ABEW01000006.1_404 # 437181 # 438941 # 1 # ID=58_404;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABEW01000009.1:187301-188278|+ -            326 1827295at2           -             74    0.0077   14.2   0.0   1   1   0.00011     0.026   12.5   0.0    31    64   102   136    94   141 0.78 NZ_ABEW01000009.1_161 # 187301 # 188278 # 1 # ID=55_161;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABEW01000005.1:158215-161355|- -           1047 1827295at2           -             74     0.017   13.2   0.0   1   1   0.00018     0.042   11.9   0.0    10    33    32    55    21    61 0.84 NZ_ABEW01000005.1_149 # 158215 # 161355 # -1 # ID=59_149;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABEW01000005.1:216050-217321|+ -            424 1827295at2           -             74     0.019   13.0   0.1   1   1   0.00019     0.044   11.8   0.1     5    33   109   137   102   144 0.85 NZ_ABEW01000005.1_203 # 216050 # 217321 # 1 # ID=59_203;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.528
NZ_ABEW01000002.1:686118-687479|+ -            454 1827295at2           -             74     0.019   13.0   0.1   1   1   0.00019     0.044   11.8   0.1     2    33    91   125    89   130 0.85 NZ_ABEW01000002.1_643 # 686118 # 687479 # 1 # ID=62_643;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.552
NZ_ABEW01000004.1:361023-361736|+ -            238 1827295at2           -             74     0.026   12.6   0.1   1   1    0.0002     0.048   11.7   0.1     8    29    29    52    16    59 0.80 NZ_ABEW01000004.1_321 # 361023 # 361736 # 1 # ID=60_321;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.595
NZ_ABEW01000002.1:328424-329080|- -            219 1827295at2           -             74     0.035   12.1   0.0   1   1   0.00027     0.063   11.3   0.0     9    30    30    51    14    62 0.79 NZ_ABEW01000002.1_312 # 328424 # 329080 # -1 # ID=62_312;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.591
NZ_ABEW01000005.1:193000-194109|- -            370 1827295at2           -             74     0.049   11.7   0.0   1   1   0.00048      0.11   10.5   0.0     9    29    45    65    30    71 0.84 NZ_ABEW01000005.1_182 # 193000 # 194109 # -1 # ID=59_182;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABEW01000001.1:42167-42919|+   -            251 1827295at2           -             74     0.053   11.6   0.0   1   2    0.0011      0.27    9.3   0.0     8    27    27    48    13    53 0.82 NZ_ABEW01000001.1_47 # 42167 # 42919 # 1 # ID=63_47;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.554
NZ_ABEW01000001.1:42167-42919|+   -            251 1827295at2           -             74     0.053   11.6   0.0   2   2       2.5   5.9e+02   -1.4   0.0    12    33   112   133   104   136 0.83 NZ_ABEW01000001.1_47 # 42167 # 42919 # 1 # ID=63_47;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.554
NZ_ABEW01000011.1:83449-84984|+   -            512 1827295at2           -             74      0.12   10.4   1.7   1   2     0.029       6.7    4.8   0.2     9    29    38    58    26    61 0.82 NZ_ABEW01000011.1_84 # 83449 # 84984 # 1 # ID=53_84;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
NZ_ABEW01000011.1:83449-84984|+   -            512 1827295at2           -             74      0.12   10.4   1.7   2   2     0.048        11    4.1   0.1     9    28   290   309   275   312 0.82 NZ_ABEW01000011.1_84 # 83449 # 84984 # 1 # ID=53_84;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.516
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /output/GCF_000171415.1_ASM17141v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171415.1_ASM17141v1_genomic/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /output/GCF_000171415.1_ASM17141v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:53:26 2026
# [ok]
