Gene,Non-unique Gene name,Annotation,GCF_000022165.1,GCF_000020925.1,GCF_000020885.1,GCF_000007545.1,GCF_000170215.1,GCF_000020745.1,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1
group_2996,;ybhL,Integral membrane protein;Integral membrane protein YbhL putative Ca2+ regulator Bax inhibitor (BI-1)/TMBIM family,AJBGEP_04175,HFCAGB_04440,BEJGEH_04040,GEGEGB_10970,ODDLKH_06505,LNHIMF_04695,ONMMKP_06540,IKCLMC_07005,PKJKAM_05440
group_2995,,Cytoplasmic protein,AJBGEP_23600,HFCAGB_23685,BEJGEH_23090,GEGEGB_24050,ODDLKH_01895,LNHIMF_22890,ONMMKP_11360,IKCLMC_16550,PKJKAM_11025
group_2993,;rpnC,Transposase (putative) YhgA-like domain-containing protein;Recombination-promoting DNA endonuclease RpnC/YadD,AJBGEP_23675,HFCAGB_23765;HFCAGB_23760,BEJGEH_23165,GEGEGB_24125,ODDLKH_01970,LNHIMF_22965,ONMMKP_11285,IKCLMC_16475,PKJKAM_10950
cbiN,cbiN,energy-coupling factor ABC transporter substrate-binding protein,AJBGEP_10910,HFCAGB_11415,BEJGEH_10200,GEGEGB_04535,ODDLKH_12585,LNHIMF_10515,ONMMKP_24140,IKCLMC_09940,PKJKAM_20715
ysdA,ysdA,DUF1294 domain-containing protein,AJBGEP_08595,HFCAGB_08265,BEJGEH_07205,GEGEGB_08095,ODDLKH_10600,LNHIMF_08465,ONMMKP_02050,IKCLMC_22700,PKJKAM_22780
pagD,pagD,Virulence protein PagD;virulence protein PagD,AJBGEP_06600,HFCAGB_10270,BEJGEH_09235,GEGEGB_05935,ODDLKH_08600,LNHIMF_06460,ONMMKP_04460,IKCLMC_04815,PKJKAM_02510
group_2988,;yhjY,Outer membrane esterase;Uncharacterized conserved protein YhjY contains autotransporter beta-barrel domain,AJBGEP_02960,HFCAGB_03320;HFCAGB_03315,BEJGEH_02920,GEGEGB_12080,ODDLKH_05295,LNHIMF_03610,ONMMKP_07915,IKCLMC_11985,PKJKAM_15590
group_2987,sptP,chaparone for SptP,AJBGEP_15225,HFCAGB_15460,BEJGEH_14360,GEGEGB_14625,ODDLKH_16535,LNHIMF_14600,ONMMKP_19970,IKCLMC_19935,PKJKAM_12515
safB~~~fimC,safB;fimC,pili assembly chaperone SafB;P pilus assembly protein chaperone PapD,AJBGEP_01595,HFCAGB_01590,BEJGEH_01535,GEGEGB_13480,ODDLKH_03950,LNHIMF_01585,ONMMKP_09350,IKCLMC_10315,PKJKAM_17235
group_2986,,CaiF/GrlA family transcriptional regulator,AJBGEP_15990,HFCAGB_16260,BEJGEH_15190,GEGEGB_15455,ODDLKH_17305,LNHIMF_15355,ONMMKP_19175,IKCLMC_19170,PKJKAM_11710
cyaY,cyaY,iron donor protein CyaY,AJBGEP_20740,HFCAGB_20960,BEJGEH_19985,GEGEGB_17685,ODDLKH_21990,LNHIMF_19975,ONMMKP_14235,IKCLMC_02490,PKJKAM_07720
group_2985,,DUF2531 domain-containing protein,AJBGEP_18375,HFCAGB_18640,BEJGEH_17615,GEGEGB_21230,ODDLKH_19685,LNHIMF_17715,ONMMKP_16755,IKCLMC_14515,PKJKAM_19385
group_2984,,Membrane protein;Inner membrane protein,AJBGEP_01825,HFCAGB_01825,BEJGEH_01770,GEGEGB_13260,ODDLKH_04165,LNHIMF_01865,ONMMKP_09080;ONMMKP_09085,IKCLMC_10530,PKJKAM_17000
fimW,fimW,helix-turn-helix transcriptional regulator,AJBGEP_02875,HFCAGB_02900,BEJGEH_02830,GEGEGB_12165,ODDLKH_05210,LNHIMF_02800,ONMMKP_08025,IKCLMC_11590,PKJKAM_15945
speF,;speF,Ornithine decarboxylase;hypothetical protein;Ornithine decarboxylase inducible;ornithine decarboxylase SpeF,AJBGEP_03630,HFCAGB_03985,BEJGEH_03570,GEGEGB_11460;GEGEGB_11465;GEGEGB_11470,ODDLKH_05975,LNHIMF_04210,ONMMKP_07285,IKCLMC_02150,PKJKAM_01995
aroM,aroM,AroM family protein;AroM protein,AJBGEP_02045,HFCAGB_02060,BEJGEH_01995,GEGEGB_13050;GEGEGB_13045,ODDLKH_04385,LNHIMF_02085,ONMMKP_08855,IKCLMC_10755,PKJKAM_16780
group_2981,fimA,fimbrial protein,AJBGEP_24050,HFCAGB_24160,BEJGEH_23480,GEGEGB_24465,ODDLKH_02345,LNHIMF_23290,ONMMKP_10950,IKCLMC_16080,PKJKAM_10580
sopE2~~~sopE,sopE2;sopE,SPI-1 type III secretion system guanine nucleotide exchange factor SopE2;G-nucleotide exchange factor SopE,AJBGEP_09745,HFCAGB_07110,BEJGEH_06055,GEGEGB_05440,ODDLKH_11735,LNHIMF_09630,ONMMKP_00905,IKCLMC_21550,PKJKAM_21630
ycxB,ycxB,YcxB family protein,AJBGEP_09755,HFCAGB_07100,BEJGEH_06045,GEGEGB_05430,ODDLKH_11745,LNHIMF_09640,ONMMKP_00895,IKCLMC_21540,PKJKAM_21620
group_2979,;bisC,molybdopterin dinucleotide binding domain-containing protein;Anaerobic dimethyl sulfoxide reductase subunit A;Anaerobic selenocysteine-containing dehydrogenase,AJBGEP_22590,HFCAGB_22740,BEJGEH_21870,GEGEGB_22245;GEGEGB_22250;GEGEGB_22255,ODDLKH_00830,LNHIMF_21975,ONMMKP_12415;ONMMKP_12425;ONMMKP_12420,IKCLMC_05565,PKJKAM_06065
fimI,fimI,type 1 fimbrial protein subunit FimI,AJBGEP_02835,HFCAGB_02860;HFCAGB_02865,BEJGEH_02790,GEGEGB_12205,ODDLKH_05175,LNHIMF_02765,ONMMKP_08060,IKCLMC_11550,PKJKAM_15985
ssaO,ssaO,SPI-2 type III secretion system apparatus protein SsaO,AJBGEP_07485,HFCAGB_09340,BEJGEH_08355,GEGEGB_06810,ODDLKH_09490,LNHIMF_07340,ONMMKP_03175,IKCLMC_23800,PKJKAM_04000
ycaQ,;ycaQ,Uncharacterized protein conserved in bacteria;winged helix-turn-helix domain-containing protein;DNA glycosylase YcaQ repair of DNA interstrand crosslinks,AJBGEP_04895,HFCAGB_05160,BEJGEH_04720,GEGEGB_10280;GEGEGB_10285,ODDLKH_07220,LNHIMF_05380,ONMMKP_05810,IKCLMC_07755,PKJKAM_04725
group_2978,,MFS transporter;Sugar porter family MFS transporter,AJBGEP_21580,HFCAGB_21800,BEJGEH_20845,GEGEGB_18540,ODDLKH_22830,LNHIMF_20795,ONMMKP_13405,IKCLMC_03750,PKJKAM_06900
group_2977,cheW,Chemotaxis signal transduction protein CheW,AJBGEP_12425,HFCAGB_12890,BEJGEH_11700,GEGEGB_02955,ODDLKH_14105,LNHIMF_12270,ONMMKP_22670,IKCLMC_08420,PKJKAM_14785
group_2976,,Inner membrane protein,AJBGEP_11525,HFCAGB_12040,BEJGEH_10870,GEGEGB_03830,ODDLKH_13205,LNHIMF_11440,ONMMKP_23525,IKCLMC_09260,PKJKAM_19980
group_2973,,Inner membrane protein,AJBGEP_18380,HFCAGB_18645,BEJGEH_17620,GEGEGB_21225,ODDLKH_19690,LNHIMF_17720,ONMMKP_16750,IKCLMC_14510,PKJKAM_19380
bcsC,;bcsC,cellulose synthase subunit BcsC-related outer membrane protein;cellulose synthase complex outer membrane protein BcsC;tetratricopeptide repeat protein,AJBGEP_19035,HFCAGB_19310,BEJGEH_18280,GEGEGB_20615;GEGEGB_20620;GEGEGB_20610,ODDLKH_20340,LNHIMF_18305,ONMMKP_16150,IKCLMC_13860,PKJKAM_18770
group_2970,melB,Na+/melibiose symporter or related transporter,AJBGEP_21390,HFCAGB_21610,BEJGEH_20655,GEGEGB_18735;GEGEGB_18730,ODDLKH_22640,LNHIMF_20610,ONMMKP_13605,IKCLMC_03560,PKJKAM_07090
adeP,adeP,Adenine permease AdeP;adenine permease AdeP,AJBGEP_20280,HFCAGB_20515,BEJGEH_19510,GEGEGB_19390,ODDLKH_21540,LNHIMF_19515,ONMMKP_14675,IKCLMC_12680,PKJKAM_17575
group_2969,,DUF1266 domain-containing protein,AJBGEP_11495,HFCAGB_12015,BEJGEH_10785,GEGEGB_03910,ODDLKH_13175,LNHIMF_11415,ONMMKP_23585,IKCLMC_09325,PKJKAM_20010
gabT,gabT;,4-aminobutyrate--2-oxoglutarate transaminase;Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase,AJBGEP_14765,HFCAGB_14990;HFCAGB_14995,BEJGEH_13900,GEGEGB_14155,ODDLKH_16075,LNHIMF_14140,ONMMKP_20440,IKCLMC_20385,PKJKAM_12975
ugtL,ugtL,UgtL,AJBGEP_08435,HFCAGB_08430,BEJGEH_07380,GEGEGB_07970,ODDLKH_10440,LNHIMF_08315,ONMMKP_02230,IKCLMC_22860,PKJKAM_22940
csiD~~~glaH,csiD;glaH,CsiD domain protein;glutarate dioxygenase GlaH,AJBGEP_14750,HFCAGB_14970;HFCAGB_14975,BEJGEH_13885,GEGEGB_14140,ODDLKH_16060,LNHIMF_14120,ONMMKP_20455,IKCLMC_20400,PKJKAM_12990
rihC,rihC,ribonucleoside hydrolase RihC,AJBGEP_00265,HFCAGB_00275,BEJGEH_00270,GEGEGB_00280,ODDLKH_02645,LNHIMF_00265,ONMMKP_10655,IKCLMC_15780,PKJKAM_10275
ccmF~~~nrfEF,ccmF;nrfEF;,Cytochrome c biogenesis protein CcmF;heme lyase NrfEFG subunit NrfEF;Heme lyase CcmF/NrfE family subunit,AJBGEP_22460,HFCAGB_22610,BEJGEH_21720,GEGEGB_22115,ODDLKH_00700,LNHIMF_21845,ONMMKP_12555,IKCLMC_05435,PKJKAM_06195
group_2965,citB,DNA-binding response regulator NarL/FixJ family contains REC and HTH domains,AJBGEP_16500,HFCAGB_16775,BEJGEH_15705,GEGEGB_16000,ODDLKH_17805,LNHIMF_15855,ONMMKP_18585,IKCLMC_18660,PKJKAM_09755
group_2961,,Glycoside-pentoside-hexuronide family transporter;glycoside-pentoside-hexuronide family transporter,AJBGEP_19735,HFCAGB_20010;HFCAGB_20015,BEJGEH_18985,GEGEGB_19930,ODDLKH_21035,LNHIMF_19015,ONMMKP_15445,IKCLMC_13165,PKJKAM_18070
group_2957,ccmE,cytochrome c maturation protein CcmE,AJBGEP_20080,HFCAGB_20350,BEJGEH_19360,GEGEGB_19550,ODDLKH_21375,LNHIMF_19355,ONMMKP_23000,IKCLMC_12865,PKJKAM_17740
ccmE,ccmE,cytochrome c maturation protein CcmE,AJBGEP_12095,HFCAGB_12560,BEJGEH_11370,GEGEGB_03305,ODDLKH_13775,LNHIMF_11930,ONMMKP_15120,IKCLMC_08750,PKJKAM_15115
group_2946,gtrB,bactoprenol glucosyl transferase;Bactoprenol glucosyl transferase,AJBGEP_02905,HFCAGB_03255,BEJGEH_02855,GEGEGB_12140,ODDLKH_05240,LNHIMF_03545,ONMMKP_07975,IKCLMC_11930,PKJKAM_15645
group_2945,oadA,sodium-extruding oxaloacetate decarboxylase subunit alpha,AJBGEP_17670,HFCAGB_17940,BEJGEH_16910,GEGEGB_17220,ODDLKH_18985,LNHIMF_17025,ONMMKP_17445,IKCLMC_17485,PKJKAM_08380
mdtQ,mdtQ,multidrug resistance outer membrane protein MdtQ,AJBGEP_11695,HFCAGB_12210,BEJGEH_11040,GEGEGB_03655,ODDLKH_13375,LNHIMF_11610,ONMMKP_23350,IKCLMC_09090,PKJKAM_19810
bigA,;bigA,Porin;autotransporter adhesin BigA;Surface-exposed virulence protein;Cell surface protein;Autotransporter domain-containing protein;Putative surface-exposed virulence protein,AJBGEP_18310,HFCAGB_18585,BEJGEH_17560,GEGEGB_21290;GEGEGB_21285,ODDLKH_19630,LNHIMF_17660,ONMMKP_16810,IKCLMC_14570,PKJKAM_19440
dcp,;dcp,Peptidyl-dipeptidase dcp domain protein;peptidyl-dipeptidase Dcp,AJBGEP_07965,HFCAGB_08845,BEJGEH_07875,GEGEGB_07555,ODDLKH_09965,LNHIMF_07830,ONMMKP_02700,IKCLMC_23310,PKJKAM_23405
pphA,pphA,protein-serine/threonine phosphatase,AJBGEP_09730,HFCAGB_07125,BEJGEH_06065,GEGEGB_05455,ODDLKH_11720,LNHIMF_09620,ONMMKP_00920,IKCLMC_21565,PKJKAM_21645
tmcA,;tmcA,Putative ATP-dependent acetyltransferase;tRNA cytosine(34) acetyltransferase TmcA,AJBGEP_13315,HFCAGB_13810,BEJGEH_12580;BEJGEH_12575,GEGEGB_02040,ODDLKH_14985,LNHIMF_13120,ONMMKP_21800,IKCLMC_06470,PKJKAM_13920
ompS1,ompS1;,porin OmpS1;Porin;Porin OmpS1,AJBGEP_10480,HFCAGB_06105;HFCAGB_06110,BEJGEH_05360,GEGEGB_04740,ODDLKH_12450,LNHIMF_10360,ONMMKP_00170,IKCLMC_20780,PKJKAM_20855
group_2933,ybcI,DUF457 domain-containing protein,AJBGEP_02815,HFCAGB_02840,BEJGEH_02770,GEGEGB_12225,ODDLKH_05155,LNHIMF_02745,ONMMKP_08080,IKCLMC_11530,PKJKAM_16005
sifB,sifB,SPI-2 type III secretion system effector SifB,AJBGEP_08445,HFCAGB_08420,BEJGEH_07375,GEGEGB_07980,ODDLKH_10450,LNHIMF_08320,ONMMKP_02220,IKCLMC_22850,PKJKAM_22930
dusA,dusA,tRNA dihydrouridine(20/20a) synthase DusA,AJBGEP_22275,HFCAGB_22425,BEJGEH_21535,GEGEGB_21925,ODDLKH_00515,LNHIMF_21655,ONMMKP_12740,IKCLMC_05250,PKJKAM_06380
yjbF,yjbF,YjbF family lipoprotein,AJBGEP_22175,HFCAGB_22325,BEJGEH_21435,GEGEGB_21825,ODDLKH_00415,LNHIMF_21255,ONMMKP_12835,IKCLMC_05150,PKJKAM_06480
yciW,yciW,Alkylhydroperoxidase family enzyme contains CxxC motif,AJBGEP_14830,HFCAGB_15060,BEJGEH_13965,GEGEGB_14235,ODDLKH_16140,LNHIMF_14205,ONMMKP_20375,IKCLMC_20320,PKJKAM_12910
group_2924,pyrC,dihydroorotase,AJBGEP_05820,HFCAGB_10695,BEJGEH_09660,GEGEGB_09290,ODDLKH_07850,LNHIMF_05995,ONMMKP_04880,IKCLMC_04040,PKJKAM_02895
group_2923,,Nitric oxide reductase,AJBGEP_06745,HFCAGB_10120,BEJGEH_09090,GEGEGB_06085,ODDLKH_08745,LNHIMF_06605,ONMMKP_04315,IKCLMC_24535,PKJKAM_02365
group_2921,araJ;,putative arabinose efflux permease AraJ MFS family;Permease,AJBGEP_12250,HFCAGB_12715,BEJGEH_11525,GEGEGB_03130,ODDLKH_13930,LNHIMF_12095;LNHIMF_12090,ONMMKP_22845,IKCLMC_08595,PKJKAM_14960
group_2919,;araJ,Major facilitator superfamily (MFS) profile domain-containing protein;putative arabinose efflux permease AraJ MFS family,AJBGEP_02005,HFCAGB_02020;HFCAGB_02015,BEJGEH_01955,GEGEGB_13090,ODDLKH_04345,LNHIMF_02045,ONMMKP_08895,IKCLMC_10715,PKJKAM_16820
ilvG,ilvG,acetolactate synthase 2 catalytic subunit,AJBGEP_20530,HFCAGB_20765,BEJGEH_19765,GEGEGB_17915,ODDLKH_21785,LNHIMF_19760,ONMMKP_14430,IKCLMC_02685,PKJKAM_07920
napF,napF,ferredoxin-type protein NapF,AJBGEP_12150,HFCAGB_12615,BEJGEH_11425,GEGEGB_03250,ODDLKH_13830,LNHIMF_11985,ONMMKP_22945,IKCLMC_08695,PKJKAM_15060
truB,truB,tRNA pseudouridine(55) synthase TruB,AJBGEP_17310,HFCAGB_17585,BEJGEH_16555,GEGEGB_16870,ODDLKH_18635,LNHIMF_16675,ONMMKP_17785,IKCLMC_17835,PKJKAM_08735
group_2917,rcnA;,ABC-type nickel/cobalt efflux system permease component RcnA;nickel/cobalt efflux transporter;Nickel/cobalt efflux system,AJBGEP_15980,HFCAGB_16250,BEJGEH_15180,GEGEGB_15440;GEGEGB_15445,ODDLKH_17295,LNHIMF_15345,ONMMKP_19185,IKCLMC_19180,PKJKAM_11720
pduM,pduM,microcompartment protein PduM;propanediol utilization microcompartment protein PduM,AJBGEP_11045,HFCAGB_11550,BEJGEH_10335,GEGEGB_04390,ODDLKH_12720,LNHIMF_10650,ONMMKP_24000,IKCLMC_09805,PKJKAM_20580
group_2913,,HTH araC/xylS-type domain-containing protein,AJBGEP_05405,HFCAGB_05655,BEJGEH_04935,GEGEGB_09715,ODDLKH_07435,LNHIMF_05580,ONMMKP_05295,IKCLMC_02890,PKJKAM_03325
group_2912,fixX,ferredoxin-like protein FixX,AJBGEP_00405,HFCAGB_00400,BEJGEH_00400,GEGEGB_00405,ODDLKH_02775,LNHIMF_00395,ONMMKP_10530,IKCLMC_15655,PKJKAM_10145
group_2911,cadC1;,DNA-binding winged helix-turn-helix (wHTH) domain;Transcriptional regulator;Membrane protein,AJBGEP_00155,HFCAGB_00160,BEJGEH_00160,GEGEGB_00170,ODDLKH_02535,LNHIMF_00155,ONMMKP_10760,IKCLMC_15890,PKJKAM_10385
