Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_000022165.1,GCF_000020925.1,GCF_000020885.1,GCF_000007545.1,GCF_000170215.1,GCF_000020745.1,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1
group_2988,;yhjY,Outer membrane esterase;Uncharacterized conserved protein YhjY contains autotransporter beta-barrel domain,9,10,1.1111111111111112,1,6410,,,,435,1971,1756.2,AJBGEP_02960,HFCAGB_03320;HFCAGB_03315,BEJGEH_02920,GEGEGB_12080,ODDLKH_05295,LNHIMF_03610,ONMMKP_07915,IKCLMC_11985,PKJKAM_15590
group_2987,sptP,chaparone for SptP,9,9,1.0,1,6409,,,,393,393,393.0,AJBGEP_15225,HFCAGB_15460,BEJGEH_14360,GEGEGB_14625,ODDLKH_16535,LNHIMF_14600,ONMMKP_19970,IKCLMC_19935,PKJKAM_12515
safB~~~fimC,safB;fimC,pili assembly chaperone SafB;P pilus assembly protein chaperone PapD,9,9,1.0,1,6408,,,,513,741,661.3333333333334,AJBGEP_01595,HFCAGB_01590,BEJGEH_01535,GEGEGB_13480,ODDLKH_03950,LNHIMF_01585,ONMMKP_09350,IKCLMC_10315,PKJKAM_17235
group_2986,,CaiF/GrlA family transcriptional regulator,9,9,1.0,1,6406,,,,507,513,509.0,AJBGEP_15990,HFCAGB_16260,BEJGEH_15190,GEGEGB_15455,ODDLKH_17305,LNHIMF_15355,ONMMKP_19175,IKCLMC_19170,PKJKAM_11710
cyaY,cyaY,iron donor protein CyaY,9,9,1.0,1,6405,,,,321,321,321.0,AJBGEP_20740,HFCAGB_20960,BEJGEH_19985,GEGEGB_17685,ODDLKH_21990,LNHIMF_19975,ONMMKP_14235,IKCLMC_02490,PKJKAM_07720
group_2985,,DUF2531 domain-containing protein,9,9,1.0,1,6404,,,,402,402,402.0,AJBGEP_18375,HFCAGB_18640,BEJGEH_17615,GEGEGB_21230,ODDLKH_19685,LNHIMF_17715,ONMMKP_16755,IKCLMC_14515,PKJKAM_19385
group_2984,,Membrane protein;Inner membrane protein,9,10,1.1111111111111112,1,6403,,,,213,549,442.8,AJBGEP_01825,HFCAGB_01825,BEJGEH_01770,GEGEGB_13260,ODDLKH_04165,LNHIMF_01865,ONMMKP_09080;ONMMKP_09085,IKCLMC_10530,PKJKAM_17000
fimW,fimW,helix-turn-helix transcriptional regulator,9,9,1.0,1,6400,,,,597,597,597.0,AJBGEP_02875,HFCAGB_02900,BEJGEH_02830,GEGEGB_12165,ODDLKH_05210,LNHIMF_02800,ONMMKP_08025,IKCLMC_11590,PKJKAM_15945
speF,;speF,Ornithine decarboxylase;hypothetical protein;Ornithine decarboxylase inducible;ornithine decarboxylase SpeF,9,11,1.2222222222222223,1,6399,,,,279,2199,1772.4545454545455,AJBGEP_03630,HFCAGB_03985,BEJGEH_03570,GEGEGB_11460;GEGEGB_11465;GEGEGB_11470,ODDLKH_05975,LNHIMF_04210,ONMMKP_07285,IKCLMC_02150,PKJKAM_01995
aroM,aroM,AroM family protein;AroM protein,9,10,1.1111111111111112,1,6398,,,,111,678,607.8,AJBGEP_02045,HFCAGB_02060,BEJGEH_01995,GEGEGB_13050;GEGEGB_13045,ODDLKH_04385,LNHIMF_02085,ONMMKP_08855,IKCLMC_10755,PKJKAM_16780
group_2981,fimA,fimbrial protein,9,9,1.0,1,6397,,,,558,558,558.0,AJBGEP_24050,HFCAGB_24160,BEJGEH_23480,GEGEGB_24465,ODDLKH_02345,LNHIMF_23290,ONMMKP_10950,IKCLMC_16080,PKJKAM_10580
sopE2~~~sopE,sopE2;sopE,SPI-1 type III secretion system guanine nucleotide exchange factor SopE2;G-nucleotide exchange factor SopE,9,9,1.0,1,6396,,,,465,723,665.6666666666666,AJBGEP_09745,HFCAGB_07110,BEJGEH_06055,GEGEGB_05440,ODDLKH_11735,LNHIMF_09630,ONMMKP_00905,IKCLMC_21550,PKJKAM_21630
ycxB,ycxB,YcxB family protein,9,9,1.0,1,6395,,,,477,477,477.0,AJBGEP_09755,HFCAGB_07100,BEJGEH_06045,GEGEGB_05430,ODDLKH_11745,LNHIMF_09640,ONMMKP_00895,IKCLMC_21540,PKJKAM_21620
group_2979,;bisC,molybdopterin dinucleotide binding domain-containing protein;Anaerobic dimethyl sulfoxide reductase subunit A;Anaerobic selenocysteine-containing dehydrogenase,9,13,1.4444444444444444,1,6392,,,,132,2430,1656.0,AJBGEP_22590,HFCAGB_22740,BEJGEH_21870,GEGEGB_22245;GEGEGB_22250;GEGEGB_22255,ODDLKH_00830,LNHIMF_21975,ONMMKP_12415;ONMMKP_12425;ONMMKP_12420,IKCLMC_05565,PKJKAM_06065
fimI,fimI,type 1 fimbrial protein subunit FimI,9,10,1.1111111111111112,1,6391,,,,141,534,479.1,AJBGEP_02835,HFCAGB_02860;HFCAGB_02865,BEJGEH_02790,GEGEGB_12205,ODDLKH_05175,LNHIMF_02765,ONMMKP_08060,IKCLMC_11550,PKJKAM_15985
ssaO,ssaO,SPI-2 type III secretion system apparatus protein SsaO,9,9,1.0,1,6390,,,,378,432,414.0,AJBGEP_07485,HFCAGB_09340,BEJGEH_08355,GEGEGB_06810,ODDLKH_09490,LNHIMF_07340,ONMMKP_03175,IKCLMC_23800,PKJKAM_04000
ycaQ,;ycaQ,Uncharacterized protein conserved in bacteria;winged helix-turn-helix domain-containing protein;DNA glycosylase YcaQ repair of DNA interstrand crosslinks,9,10,1.1111111111111112,1,6389,,,,450,1233,1103.7,AJBGEP_04895,HFCAGB_05160,BEJGEH_04720,GEGEGB_10280;GEGEGB_10285,ODDLKH_07220,LNHIMF_05380,ONMMKP_05810,IKCLMC_07755,PKJKAM_04725
group_2978,,MFS transporter;Sugar porter family MFS transporter,9,9,1.0,1,6388,,,,255,999,833.6666666666666,AJBGEP_21580,HFCAGB_21800,BEJGEH_20845,GEGEGB_18540,ODDLKH_22830,LNHIMF_20795,ONMMKP_13405,IKCLMC_03750,PKJKAM_06900
group_2977,cheW,Chemotaxis signal transduction protein CheW,9,9,1.0,1,6387,,,,1002,1005,1003.3333333333334,AJBGEP_12425,HFCAGB_12890,BEJGEH_11700,GEGEGB_02955,ODDLKH_14105,LNHIMF_12270,ONMMKP_22670,IKCLMC_08420,PKJKAM_14785
group_2976,,Inner membrane protein,9,9,1.0,1,6386,,,,336,336,336.0,AJBGEP_11525,HFCAGB_12040,BEJGEH_10870,GEGEGB_03830,ODDLKH_13205,LNHIMF_11440,ONMMKP_23525,IKCLMC_09260,PKJKAM_19980
group_2973,,Inner membrane protein,9,9,1.0,1,6382,,,,474,474,474.0,AJBGEP_18380,HFCAGB_18645,BEJGEH_17620,GEGEGB_21225,ODDLKH_19690,LNHIMF_17720,ONMMKP_16750,IKCLMC_14510,PKJKAM_19380
bcsC,;bcsC,cellulose synthase subunit BcsC-related outer membrane protein;cellulose synthase complex outer membrane protein BcsC;tetratricopeptide repeat protein,9,11,1.2222222222222223,1,6379,,,,168,3543,2854.3636363636365,AJBGEP_19035,HFCAGB_19310,BEJGEH_18280,GEGEGB_20615;GEGEGB_20620;GEGEGB_20610,ODDLKH_20340,LNHIMF_18305,ONMMKP_16150,IKCLMC_13860,PKJKAM_18770
group_2970,melB,Na+/melibiose symporter or related transporter,9,10,1.1111111111111112,1,6378,,,,333,1335,1201.5,AJBGEP_21390,HFCAGB_21610,BEJGEH_20655,GEGEGB_18735;GEGEGB_18730,ODDLKH_22640,LNHIMF_20610,ONMMKP_13605,IKCLMC_03560,PKJKAM_07090
adeP,adeP,Adenine permease AdeP;adenine permease AdeP,9,9,1.0,1,6377,,,,1170,1338,1319.3333333333333,AJBGEP_20280,HFCAGB_20515,BEJGEH_19510,GEGEGB_19390,ODDLKH_21540,LNHIMF_19515,ONMMKP_14675,IKCLMC_12680,PKJKAM_17575
group_2969,,DUF1266 domain-containing protein,9,9,1.0,1,6376,,,,696,717,714.6666666666666,AJBGEP_11495,HFCAGB_12015,BEJGEH_10785,GEGEGB_03910,ODDLKH_13175,LNHIMF_11415,ONMMKP_23585,IKCLMC_09325,PKJKAM_20010
gabT,gabT;,4-aminobutyrate--2-oxoglutarate transaminase;Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase,9,10,1.1111111111111112,1,6374,,,,279,1284,1155.0,AJBGEP_14765,HFCAGB_14990;HFCAGB_14995,BEJGEH_13900,GEGEGB_14155,ODDLKH_16075,LNHIMF_14140,ONMMKP_20440,IKCLMC_20385,PKJKAM_12975
ugtL,ugtL,UgtL,9,9,1.0,1,6373,,,,399,399,399.0,AJBGEP_08435,HFCAGB_08430,BEJGEH_07380,GEGEGB_07970,ODDLKH_10440,LNHIMF_08315,ONMMKP_02230,IKCLMC_22860,PKJKAM_22940
csiD~~~glaH,csiD;glaH,CsiD domain protein;glutarate dioxygenase GlaH,9,10,1.1111111111111112,1,6371,,,,390,978,880.5,AJBGEP_14750,HFCAGB_14970;HFCAGB_14975,BEJGEH_13885,GEGEGB_14140,ODDLKH_16060,LNHIMF_14120,ONMMKP_20455,IKCLMC_20400,PKJKAM_12990
rihC,rihC,ribonucleoside hydrolase RihC,9,9,1.0,1,6369,,,,921,921,921.0,AJBGEP_00265,HFCAGB_00275,BEJGEH_00270,GEGEGB_00280,ODDLKH_02645,LNHIMF_00265,ONMMKP_10655,IKCLMC_15780,PKJKAM_10275
ccmF~~~nrfEF,ccmF;nrfEF;,Cytochrome c biogenesis protein CcmF;heme lyase NrfEFG subunit NrfEF;Heme lyase CcmF/NrfE family subunit,9,9,1.0,1,6368,,,,1737,2223,2007.0,AJBGEP_22460,HFCAGB_22610,BEJGEH_21720,GEGEGB_22115,ODDLKH_00700,LNHIMF_21845,ONMMKP_12555,IKCLMC_05435,PKJKAM_06195
group_2965,citB,DNA-binding response regulator NarL/FixJ family contains REC and HTH domains,9,9,1.0,1,6367,,,,684,684,684.0,AJBGEP_16500,HFCAGB_16775,BEJGEH_15705,GEGEGB_16000,ODDLKH_17805,LNHIMF_15855,ONMMKP_18585,IKCLMC_18660,PKJKAM_09755
group_2961,,Glycoside-pentoside-hexuronide family transporter;glycoside-pentoside-hexuronide family transporter,9,10,1.1111111111111112,1,6362,,,,408,1383,1237.8,AJBGEP_19735,HFCAGB_20010;HFCAGB_20015,BEJGEH_18985,GEGEGB_19930,ODDLKH_21035,LNHIMF_19015,ONMMKP_15445,IKCLMC_13165,PKJKAM_18070
group_2957,ccmE,cytochrome c maturation protein CcmE,9,9,1.0,1,6357,,,,480,501,482.3333333333333,AJBGEP_20080,HFCAGB_20350,BEJGEH_19360,GEGEGB_19550,ODDLKH_21375,LNHIMF_19355,ONMMKP_23000,IKCLMC_12865,PKJKAM_17740
ccmE,ccmE,cytochrome c maturation protein CcmE,9,9,1.0,1,6356,,,,480,501,482.3333333333333,AJBGEP_12095,HFCAGB_12560,BEJGEH_11370,GEGEGB_03305,ODDLKH_13775,LNHIMF_11930,ONMMKP_15120,IKCLMC_08750,PKJKAM_15115
group_2946,gtrB,bactoprenol glucosyl transferase;Bactoprenol glucosyl transferase,9,9,1.0,1,6343,,,,921,927,925.6666666666666,AJBGEP_02905,HFCAGB_03255,BEJGEH_02855,GEGEGB_12140,ODDLKH_05240,LNHIMF_03545,ONMMKP_07975,IKCLMC_11930,PKJKAM_15645
group_2945,oadA,sodium-extruding oxaloacetate decarboxylase subunit alpha,9,9,1.0,1,6342,,,,1770,1776,1775.3333333333333,AJBGEP_17670,HFCAGB_17940,BEJGEH_16910,GEGEGB_17220,ODDLKH_18985,LNHIMF_17025,ONMMKP_17445,IKCLMC_17485,PKJKAM_08380
mdtQ,mdtQ,multidrug resistance outer membrane protein MdtQ,9,9,1.0,1,6341,,,,1206,1437,1411.3333333333333,AJBGEP_11695,HFCAGB_12210,BEJGEH_11040,GEGEGB_03655,ODDLKH_13375,LNHIMF_11610,ONMMKP_23350,IKCLMC_09090,PKJKAM_19810
bigA,;bigA,Porin;autotransporter adhesin BigA;Surface-exposed virulence protein;Cell surface protein;Autotransporter domain-containing protein;Putative surface-exposed virulence protein,9,10,1.1111111111111112,1,6334,,,,2220,5952,5256.9,AJBGEP_18310,HFCAGB_18585,BEJGEH_17560,GEGEGB_21290;GEGEGB_21285,ODDLKH_19630,LNHIMF_17660,ONMMKP_16810,IKCLMC_14570,PKJKAM_19440
dcp,;dcp,Peptidyl-dipeptidase dcp domain protein;peptidyl-dipeptidase Dcp,9,9,1.0,1,6331,,,,1083,2043,1936.3333333333333,AJBGEP_07965,HFCAGB_08845,BEJGEH_07875,GEGEGB_07555,ODDLKH_09965,LNHIMF_07830,ONMMKP_02700,IKCLMC_23310,PKJKAM_23405
