"gene","contig","start","stop","strand","family","nb_copy_in_genome","partition","persistent_neighbors","shell_neighbors","cloud_neighbors","RGP","Spot","Module","Source_File"
"GEGEGB_00075","contig_1",15020,15967,"+","AJBGEP_00075",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00080","contig_1",16094,16438,"+","AJBGEP_00080",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00085","contig_1",16499,17032,"-","AJBGEP_00085",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00090","contig_1",17049,17492,"-","HFCAGB_00095",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00095","contig_1",17873,19972,"+","AJBGEP_00095",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00100","contig_1",20064,21155,"+","AJBGEP_00100",2,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00105","contig_1",21198,23060,"+","AJBGEP_00100",2,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00110","contig_1",23341,24045,"+","AJBGEP_00105",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00115","contig_1",24473,25015,"+","AJBGEP_00110",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00120","contig_1",25116,25802,"+","AJBGEP_00115",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00125","contig_1",25807,26727,"+","AJBGEP_00120",3,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00130","contig_1",26728,27759,"+","AJBGEP_00120",3,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00135","contig_1",27874,28428,"+","AJBGEP_00120",3,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00140","contig_1",28429,29436,"+","AJBGEP_00125",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00145","contig_1",29437,29982,"+","AJBGEP_00130",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00150","contig_1",29998,30516,"+","AJBGEP_00135",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00155","contig_1",30482,31213,"+","AJBGEP_00140",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00160","contig_1",31278,32123,"+","AJBGEP_00145",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00165","contig_1",32162,32449,"+","AJBGEP_00150",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00170","contig_1",32549,32998,"-","AJBGEP_00155",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00200","contig_1",40128,41621,"+","AJBGEP_00185",1,"persistent",2,0,2,"","","","GCF_000007545.1.tsv"
"GEGEGB_00215","contig_1",44308,46023,"+","AJBGEP_00200",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00220","contig_1",46186,47352,"+","AJBGEP_00205",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00225","contig_1",47420,48313,"+","HFCAGB_00215",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00230","contig_1",48368,50407,"-","AJBGEP_00215",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00235","contig_1",50447,51820,"-","BEJGEH_00225",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00245","contig_1",52869,53807,"+","AJBGEP_00230",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00250","contig_1",53852,56686,"+","AJBGEP_00235",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00255","contig_1",56686,57186,"+","AJBGEP_00240",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00260","contig_1",57341,57790,"+","AJBGEP_00245",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00265","contig_1",57793,58743,"+","AJBGEP_00250",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00275","contig_1",58943,60145,"+","AJBGEP_00260",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00280","contig_1",60161,61081,"+","AJBGEP_00265",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00285","contig_1",61103,61789,"-","AJBGEP_00270",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00290","contig_1",61791,63449,"-","HFCAGB_00285",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00295","contig_1",63545,64846,"-","AJBGEP_00280",2,"persistent",4,0,0,"","","module_0","GCF_000007545.1.tsv"
"GEGEGB_00300","contig_1",64859,66634,"-","AJBGEP_00285",2,"persistent",2,0,1,"","","module_0","GCF_000007545.1.tsv"
"GEGEGB_00305","contig_1",66650,66889,"-","HFCAGB_17945",2,"persistent",4,0,1,"","","module_0","GCF_000007545.1.tsv"
"GEGEGB_00310","contig_1",67048,68388,"-","AJBGEP_00295",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00315","contig_1",68633,69676,"+","GEGEGB_00315",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00320","contig_1",69706,69999,"+","AJBGEP_00305",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00325","contig_1",69996,70865,"+","HFCAGB_00320",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00330","contig_1",70876,72396,"+","AJBGEP_00315",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00335","contig_1",72396,72947,"+","AJBGEP_00320",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00340","contig_1",72925,73833,"+","AJBGEP_00325",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00345","contig_1",74013,74834,"+","AJBGEP_00330",1,"persistent",2,0,2,"","","","GCF_000007545.1.tsv"
"GEGEGB_00350","contig_1",75687,76835,"+","AJBGEP_00340",1,"persistent",2,0,2,"","","","GCF_000007545.1.tsv"
"GEGEGB_00355","contig_1",76851,80078,"+","AJBGEP_00345",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00360","contig_1",80352,80747,"+","AJBGEP_00360",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00365","contig_1",80825,81421,"-","AJBGEP_00365",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00370","contig_1",81533,82318,"-","AJBGEP_00370",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00375","contig_1",82372,83925,"-","AJBGEP_00375",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00380","contig_1",83988,85205,"-","AJBGEP_00380",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00385","contig_1",85317,86459,"-","AJBGEP_00385",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00390","contig_1",86494,88011,"-","HFCAGB_00385",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00395","contig_1",88492,89262,"+","AJBGEP_00395",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00400","contig_1",89278,90219,"+","AJBGEP_00400",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00405","contig_1",90269,91555,"+","AJBGEP_00405",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00410","contig_1",91552,91839,"+","AJBGEP_00410",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00420","contig_1",91987,93327,"+","AJBGEP_00420",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00425","contig_1",93416,93646,"+","AJBGEP_00425",1,"persistent",3,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00460","contig_1",98060,98590,"+","AJBGEP_00450",1,"persistent",3,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00465","contig_1",98583,100445,"+","AJBGEP_00455",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00470","contig_1",100644,101123,"+","AJBGEP_00460",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00475","contig_1",101219,102067,"-","AJBGEP_00465",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00480","contig_1",102078,102455,"-","AJBGEP_00470",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00485","contig_1",102458,103279,"-","AJBGEP_00475",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00490","contig_1",103276,104265,"-","AJBGEP_00480",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00495","contig_1",104265,105551,"-","AJBGEP_00485",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00500","contig_1",105605,107959,"-","LNHIMF_00480",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00505","contig_1",108213,109025,"+","AJBGEP_00495",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00510","contig_1",109120,109779,"-","AJBGEP_00500",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00515","contig_1",109791,112697,"-","HFCAGB_00480",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00520","contig_1",112871,115222,"-","AJBGEP_00510",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00540","contig_1",117300,117704,"-","AJBGEP_00515",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00545","contig_1",118222,118641,"+","AJBGEP_00520",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00550","contig_1",118647,119342,"-","AJBGEP_00525",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00555","contig_1",119483,120985,"-","AJBGEP_00530",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00560","contig_1",120996,122705,"-","AJBGEP_00535",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00565","contig_1",123046,123891,"+","AJBGEP_00540",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00570","contig_1",124010,124777,"+","HFCAGB_00525",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00575","contig_1",124816,125523,"-","AJBGEP_00550",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00580","contig_1",125507,127117,"-","AJBGEP_00555",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00585","contig_1",127093,128076,"-","AJBGEP_00560",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00590","contig_1",128254,129912,"-","AJBGEP_00565",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00600","contig_1",130005,130127,"+","AJBGEP_00575",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00605","contig_1",130462,131067,"-","AJBGEP_00580",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00610","contig_1",131078,132478,"-","AJBGEP_00585",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00615","contig_1",132481,133572,"-","AJBGEP_00590",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00620","contig_1",133572,135143,"-","AJBGEP_00595",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00625","contig_1",135231,135317,"-","AJBGEP_00600",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00630","contig_1",135975,136919,"+","AJBGEP_00605",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00635","contig_1",137247,138965,"+","AJBGEP_00610",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00640","contig_1",138965,139459,"+","AJBGEP_00615",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00645","contig_1",139743,140747,"+","AJBGEP_00620",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00650","contig_1",141353,141811,"+","AJBGEP_00625",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00655","contig_1",141813,142754,"+","AJBGEP_00630",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00660","contig_1",142751,143116,"+","AJBGEP_00635",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00665","contig_1",143132,144898,"+","AJBGEP_00640",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00670","contig_1",144885,146372,"+","HFCAGB_00630",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00675","contig_1",146369,147727,"+","AJBGEP_00650",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00680","contig_1",147721,148803,"+","AJBGEP_00655",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00685","contig_1",148806,150122,"+","AJBGEP_00660",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00690","contig_1",150122,151366,"+","AJBGEP_00665",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00695","contig_1",151363,152430,"+","AJBGEP_00670",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00700","contig_1",152549,154024,"+","AJBGEP_00675",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00705","contig_1",154017,154937,"+","HFCAGB_00665",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00710","contig_1",154939,155769,"+","AJBGEP_00685",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00715","contig_1",155766,157028,"+","AJBGEP_00690",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00725","contig_1",157089,158240,"+","AJBGEP_00700",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00730","contig_1",158341,159258,"+","AJBGEP_00705",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00735","contig_1",159539,160036,"+","AJBGEP_00710",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00740","contig_1",160098,162803,"+","AJBGEP_00715",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00750","contig_1",162959,163354,"+","AJBGEP_00725",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00765","contig_1",165401,165592,"-","AJBGEP_00730",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00770","contig_1",165602,166345,"-","AJBGEP_00735",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00775","contig_1",166345,166965,"-","AJBGEP_00740",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00780","contig_1",167191,168234,"+","AJBGEP_00745",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00785","contig_1",168265,169467,"-","AJBGEP_00750",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00790","contig_1",169457,170842,"-","AJBGEP_00755",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00795","contig_1",170852,171289,"-","AJBGEP_00760",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00800","contig_1",171511,172404,"-","AJBGEP_00765",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00805","contig_1",172492,173055,"+","AJBGEP_00770",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00810","contig_1",173052,173906,"+","AJBGEP_00775",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00815","contig_1",173998,174948,"-","AJBGEP_00780",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00820","contig_1",174948,176354,"-","AJBGEP_00785",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00825","contig_1",176518,177888,"-","AJBGEP_00790",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00830","contig_1",178454,179218,"+","AJBGEP_00795",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00840","contig_1",179378,182041,"+","AJBGEP_00805",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00845","contig_1",182056,183945,"+","PKJKAM_03820",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00850","contig_1",184147,185571,"+","AJBGEP_00815",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00860","contig_1",185860,186144,"+","AJBGEP_00825",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00865","contig_1",186182,186973,"-","AJBGEP_00830",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00870","contig_1",186986,188608,"-","ODDLKH_03205",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00875","contig_1",188997,191594,"+","AJBGEP_00845",1,"persistent",2,0,3,"","","","GCF_000007545.1.tsv"
"GEGEGB_00880","contig_1",191782,192144,"+","AJBGEP_00855",1,"persistent",2,0,2,"","","","GCF_000007545.1.tsv"
"GEGEGB_00885","contig_1",192379,193332,"+","AJBGEP_00860",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00890","contig_1",193329,194600,"+","AJBGEP_00865",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00895","contig_1",194590,195573,"+","AJBGEP_00870",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00900","contig_1",195583,196350,"+","AJBGEP_00875",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00905","contig_1",196380,197174,"-","AJBGEP_00880",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00910","contig_1",197195,198055,"-","AJBGEP_00885",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00915","contig_1",198162,198548,"-","AJBGEP_00890",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00920","contig_1",198711,200321,"+","AJBGEP_00895",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00925","contig_1",200399,202789,"-","HFCAGB_00895",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00930","contig_1",202995,203531,"+","AJBGEP_00905",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00935","contig_1",203589,204251,"-","AJBGEP_00910",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00940","contig_1",204360,205286,"+","AJBGEP_00915",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00945","contig_1",205283,206053,"+","HFCAGB_00915",1,"persistent",3,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00950","contig_1",206158,206598,"+","AJBGEP_00945",1,"persistent",3,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00955","contig_1",206660,207889,"+","AJBGEP_00950",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00960","contig_1",207896,208276,"-","AJBGEP_00955",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_00965","contig_1",208371,209225,"-","AJBGEP_00960",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00970","contig_1",209351,210145,"-","AJBGEP_00965",1,"persistent",2,0,2,"","","","GCF_000007545.1.tsv"
"GEGEGB_01010","contig_1",217797,218276,"-","AJBGEP_00970",1,"persistent",2,0,2,"","","","GCF_000007545.1.tsv"
"GEGEGB_01015","contig_1",218273,219691,"-","AJBGEP_00975",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01020","contig_1",219832,220773,"-","AJBGEP_00980",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01025","contig_1",220797,221252,"-","AJBGEP_00985",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01030","contig_1",221429,222133,"-","AJBGEP_00990",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01035","contig_1",222150,222680,"-","AJBGEP_00995",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01040","contig_1",222708,225182,"+","AJBGEP_01000",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01045","contig_1",225323,227845,"+","AJBGEP_01005",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_01060","contig_1",230378,231175,"+","AJBGEP_01015",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_01065","contig_1",231175,232065,"+","AJBGEP_01020",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01070","contig_1",232062,234119,"+","HFCAGB_01020",1,"persistent",2,2,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_01075","contig_1",234210,235490,"-","HFCAGB_01065",1,"persistent",2,1,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_01080","contig_1",235660,237081,"+","HFCAGB_01070",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01085","contig_1",237163,237507,"+","AJBGEP_01080",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_01090","contig_1",237608,238231,"-","AJBGEP_01085",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_01095","contig_1",238268,239068,"-","AJBGEP_01090",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01100","contig_1",239061,239759,"-","AJBGEP_01095",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01105","contig_1",239844,241361,"+","HFCAGB_01095",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01110","contig_1",241491,242918,"+","AJBGEP_01105",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01115","contig_1",243071,244228,"+","AJBGEP_01110",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_01120","contig_1",244317,244703,"-","AJBGEP_01115",1,"persistent",2,0,2,"","","","GCF_000007545.1.tsv"
"GEGEGB_01130","contig_1",245227,246252,"+","BEJGEH_01170",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
"GEGEGB_01135","contig_1",246289,247113,"-","AJBGEP_01125",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01140","contig_1",247143,249815,"-","AJBGEP_01130",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01145","contig_1",249928,250722,"-","AJBGEP_01135",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01155","contig_1",251172,251897,"+","AJBGEP_01145",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01165","contig_1",252083,253006,"+","AJBGEP_01155",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01170","contig_1",253151,253876,"+","AJBGEP_01160",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01175","contig_1",254023,254580,"+","AJBGEP_01165",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01180","contig_1",254722,255918,"+","AJBGEP_01170",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01185","contig_1",256300,256989,"+","AJBGEP_01175",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01190","contig_1",257002,257859,"+","AJBGEP_01180",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01195","contig_1",257871,259223,"+","AJBGEP_01185",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01200","contig_1",259255,261666,"+","AJBGEP_01190",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01205","contig_1",261789,262274,"+","AJBGEP_01195",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01210","contig_1",262278,263303,"+","AJBGEP_01200",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01215","contig_1",263409,263864,"+","AJBGEP_01205",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01220","contig_1",263868,264656,"+","AJBGEP_01210",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_01225","contig_1",264656,265804,"+","AJBGEP_01215",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
