"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000022165.1","GCF_000020925.1","GCF_000020885.1","GCF_000007545.1","GCF_000170215.1","GCF_000020745.1","GCF_000171535.2","GCF_000171415.1","GCF_000171515.1"
"AJBGEP_01675","persistent","peptide chain release factor H","9","9","1.0","NA","NA","","","","614","614","614.0","AJBGEP_01675","HFCAGB_01665","BEJGEH_01620","GEGEGB_13365","ODDLKH_04020","LNHIMF_01705","ONMMKP_09240","IKCLMC_10385","PKJKAM_17165"
"AJBGEP_01680","persistent","cytosol nonspecific dipeptidase","9","9","1.0","NA","NA","","","","1457","1457","1457.0","AJBGEP_01680","HFCAGB_01670","BEJGEH_01625","GEGEGB_13360","ODDLKH_04025","LNHIMF_01710","ONMMKP_09235","IKCLMC_10390","PKJKAM_17160"
"AJBGEP_01685","persistent","xanthine phosphoribosyltransferase","9","9","1.0","NA","NA","","","","458","458","458.0","AJBGEP_01685","HFCAGB_01675","BEJGEH_01630","GEGEGB_13355","ODDLKH_04030","LNHIMF_01715","ONMMKP_09230","IKCLMC_10395","PKJKAM_17155"
"AJBGEP_01690","persistent","esterase FrsA","9","9","1.0","NA","NA","","","","1244","1244","1244.0","AJBGEP_01690","HFCAGB_01680","BEJGEH_01635","GEGEGB_13350","ODDLKH_04035","LNHIMF_01720","ONMMKP_09225","IKCLMC_10400","PKJKAM_17150"
"AJBGEP_01695","persistent","sigma factor-binding protein Crl","9","9","1.0","NA","NA","","","","401","401","401.0","AJBGEP_01695","HFCAGB_01685","BEJGEH_01640","GEGEGB_13345","ODDLKH_04040","LNHIMF_01725","ONMMKP_09220","IKCLMC_10405","PKJKAM_17145"
"AJBGEP_01705","persistent","Glutamate 5-kinase","9","9","1.0","NA","NA","","","","1103","1103","1103.0","AJBGEP_01705","HFCAGB_01695","BEJGEH_01650","GEGEGB_13335","ODDLKH_04050","LNHIMF_01735","ONMMKP_09210","IKCLMC_10415","PKJKAM_17135"
"AJBGEP_01730","shell","Diol dehydratase reactivase ATPase-like domain-containing protein","6","6","1.0","NA","NA","","","","128","416","272.0","AJBGEP_01730","HFCAGB_01730","","","ODDLKH_04075","","ONMMKP_09180","IKCLMC_10435","PKJKAM_17100"
"AJBGEP_01735","shell","DUF1889 domain-containing protein","7","7","1.0","NA","NA","","","","299","299","299.0","AJBGEP_01735","HFCAGB_01735","BEJGEH_01680","","ODDLKH_04080","","ONMMKP_09175","IKCLMC_10440","PKJKAM_17095"
"AJBGEP_01740","shell","putative arabinose efflux permease AraJ, MFS family","7","8","1.14","NA","NA","","","","614","1232","1079.38","AJBGEP_01740","HFCAGB_01740","BEJGEH_01685","","ODDLKH_04085","","ONMMKP_09170","IKCLMC_10445","PKJKAM_17090" "PKJKAM_17085"
"AJBGEP_01745","shell","3-isopropylmalate dehydratase large subunit 2","7","7","1.0","NA","NA","","","","1421","1421","1421.0","AJBGEP_01745","HFCAGB_01745","BEJGEH_01690","","ODDLKH_04090","","ONMMKP_09165","IKCLMC_10450","PKJKAM_17080"
"AJBGEP_01750","shell","3-isopropylmalate dehydratase small subunit 2","7","7","1.0","NA","NA","","","","626","626","626.0","AJBGEP_01750","HFCAGB_01750","BEJGEH_01695","","ODDLKH_04095","","ONMMKP_09160","IKCLMC_10455","PKJKAM_17075"
"AJBGEP_01755","shell","2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)","7","7","1.0","NA","NA","","","","878","878","878.0","AJBGEP_01755","HFCAGB_01755","BEJGEH_01700","","ODDLKH_04100","","ONMMKP_09155","IKCLMC_10460","PKJKAM_17070"
"AJBGEP_01760","shell","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxy late synthase MenH and related esterases, alpha/beta hydrolase fold","7","7","1.0","NA","NA","","","","914","914","914.0","AJBGEP_01760","HFCAGB_01760","BEJGEH_01705","","ODDLKH_04105","","ONMMKP_09150","IKCLMC_10465","PKJKAM_17065"
"AJBGEP_01765","shell","DNA-binding transcriptional regulator, LysR family","7","7","1.0","NA","NA","","","","965","965","965.0","AJBGEP_01765","HFCAGB_01765","BEJGEH_01710","","ODDLKH_04110","","ONMMKP_09145","IKCLMC_10470","PKJKAM_17060"
"AJBGEP_01770","shell","Cytoplasmic protein","7","7","1.0","NA","NA","","","","272","272","272.0","AJBGEP_01770","HFCAGB_01770","BEJGEH_01715","","ODDLKH_04115","","ONMMKP_09140","IKCLMC_10475","PKJKAM_17055"
"AJBGEP_01785","persistent","fimbrial usher protein StbD","9","12","1.33","NA","NA","","","","524","1325","1135.75","AJBGEP_01785","HFCAGB_01785","BEJGEH_01730","GEGEGB_13310","ODDLKH_04125","LNHIMF_09660" "LNHIMF_01825","ONMMKP_09125","IKCLMC_10490" "IKCLMC_21480","PKJKAM_21565" "PKJKAM_17040"
"AJBGEP_01795","persistent","fimbrial biogenesis chaperone StbB","9","9","1.0","NA","NA","","","","761","761","761.0","AJBGEP_01795","HFCAGB_01795","BEJGEH_01740","GEGEGB_13295","ODDLKH_04135","LNHIMF_01835","ONMMKP_09115","IKCLMC_10500","PKJKAM_17030"
"AJBGEP_01800","persistent","Pilin (type 1 fimbrial protein)","9","9","1.0","NA","NA","","","","536","536","536.0","AJBGEP_01800","HFCAGB_01800","BEJGEH_01745","GEGEGB_13290","ODDLKH_04140","LNHIMF_01840","ONMMKP_09110","IKCLMC_10505","PKJKAM_17025"
"AJBGEP_01805","persistent","DNA-binding winged helix-turn-helix (wHTH) domain","9","9","1.0","NA","NA","","","","734","734","734.0","AJBGEP_01805","HFCAGB_01805","BEJGEH_01750","GEGEGB_13285","ODDLKH_04145","LNHIMF_01845","ONMMKP_09105","IKCLMC_10510","PKJKAM_17020"
"AJBGEP_01810","persistent","Periplasmic protein","9","10","1.11","NA","NA","","","","266","500","454.4","AJBGEP_01810","HFCAGB_01810","BEJGEH_01755","GEGEGB_13280" "GEGEGB_13275","ODDLKH_04150","LNHIMF_01850","ONMMKP_09100","IKCLMC_10515","PKJKAM_17015"
"AJBGEP_01815","persistent","Redox-sensing c-di-GMP phosphodiesterase, contains CSS-motif and EAL domains","9","9","1.0","NA","NA","","","","1574","1574","1574.0","AJBGEP_01815","HFCAGB_01815","BEJGEH_01760","GEGEGB_13270","ODDLKH_04155","LNHIMF_01855","ONMMKP_09095","IKCLMC_10520","PKJKAM_17010"
"AJBGEP_01820","persistent","DNA-binding winged helix-turn-helix (wHTH) domain","9","9","1.0","NA","NA","","","","743","743","743.0","AJBGEP_01820","HFCAGB_01820","BEJGEH_01765","GEGEGB_13265","ODDLKH_04160","LNHIMF_01860","ONMMKP_09090","IKCLMC_10525","PKJKAM_17005"
"AJBGEP_01825","persistent","Inner membrane protein","9","10","1.11","NA","NA","","","","212","548","441.8","AJBGEP_01825","HFCAGB_01825","BEJGEH_01770","GEGEGB_13260","ODDLKH_04165","LNHIMF_01865","ONMMKP_09085" "ONMMKP_09080","IKCLMC_10530","PKJKAM_17000"
"AJBGEP_01830","persistent","Opacity protein LomR and related surface antigens","9","9","1.0","NA","NA","","","","524","524","524.0","AJBGEP_01830","HFCAGB_01830","BEJGEH_01775","GEGEGB_13255","ODDLKH_04170","LNHIMF_01870","ONMMKP_09075","IKCLMC_10535","PKJKAM_16995"
"AJBGEP_01835","persistent","DNA-binding transcriptional regulator, CsgD family","9","9","1.0","NA","NA","","","","209","527","491.67","AJBGEP_01835","HFCAGB_01835","BEJGEH_01780","GEGEGB_13250","ODDLKH_04175","LNHIMF_01875","ONMMKP_09065","IKCLMC_10540","PKJKAM_16990"
"AJBGEP_01840","persistent","DUF4156 domain-containing protein","9","9","1.0","NA","NA","","","","359","359","359.0","AJBGEP_01840","HFCAGB_01840","BEJGEH_01785","GEGEGB_13245","ODDLKH_04180","LNHIMF_01880","ONMMKP_09060","IKCLMC_10545","PKJKAM_16985"
"AJBGEP_01845","persistent","multidrug efflux transporter outer membrane subunit MdsC","9","9","1.0","NA","NA","","","","386","1457","1330.33","AJBGEP_01845","HFCAGB_01845","BEJGEH_01790","GEGEGB_13240","ODDLKH_04185","LNHIMF_01885","ONMMKP_09055","IKCLMC_10550","PKJKAM_16980"
"AJBGEP_01850","persistent","multidrug efflux RND transporter permease subunit MdsB","8","8","1.0","NA","NA","","","","3167","3167","3167.0","AJBGEP_01850","HFCAGB_01850","BEJGEH_01795","","ODDLKH_04190","LNHIMF_01890","ONMMKP_09050","IKCLMC_10555","PKJKAM_16975"
"AJBGEP_01855","persistent","multidrug efflux RND transporter periplasmic adaptor subunit MdsA","8","8","1.0","NA","NA","","","","1226","1226","1226.0","AJBGEP_01855","HFCAGB_01855","BEJGEH_01800","","ODDLKH_04195","LNHIMF_01895","ONMMKP_09045","IKCLMC_10560","PKJKAM_16970"
"AJBGEP_01865","persistent","Au(I) sensor transcriptional regulator GolS","8","8","1.0","NA","NA","","","","464","464","464.0","AJBGEP_01865","HFCAGB_01865","BEJGEH_01810","","ODDLKH_04205","LNHIMF_01905","ONMMKP_09035","IKCLMC_10570","PKJKAM_16960"
"AJBGEP_01870","persistent","gold resistance metallochaperone GolB","9","9","1.0","NA","NA","","","","194","194","194.0","AJBGEP_01870","HFCAGB_01870","BEJGEH_01815","GEGEGB_13235","ODDLKH_04210","LNHIMF_01910","ONMMKP_09030","IKCLMC_10575","PKJKAM_16955"
"AJBGEP_01875","persistent","putative arabinose efflux permease AraJ, MFS family","9","9","1.0","NA","NA","","","","1253","1253","1253.0","AJBGEP_01875","HFCAGB_01880","BEJGEH_01825","GEGEGB_13225","ODDLKH_04215","LNHIMF_01915","ONMMKP_09025","IKCLMC_10580","PKJKAM_16950"
"AJBGEP_01880","persistent","Type III restriction-modification enzyme StyLTI Mod subunit","9","9","1.0","NA","NA","","","","1958","1958","1958.0","AJBGEP_01880","HFCAGB_01885","BEJGEH_01830","GEGEGB_13220","ODDLKH_04220","LNHIMF_01920","ONMMKP_09020","IKCLMC_10585","PKJKAM_16945"
"AJBGEP_01885","persistent","type III restriction-modification system endonuclease","9","10","1.11","NA","NA","","","","542","2972","2672.0","AJBGEP_01885","HFCAGB_01890","BEJGEH_01835","GEGEGB_13215" "GEGEGB_13210","ODDLKH_04225","LNHIMF_01925","ONMMKP_09015","IKCLMC_10590","PKJKAM_16940"
"AJBGEP_01890","persistent","Cytoplasmic protein","9","9","1.0","NA","NA","","","","101","101","101.0","AJBGEP_01890","HFCAGB_01895","BEJGEH_01840","GEGEGB_13205","ODDLKH_04230","LNHIMF_01930","ONMMKP_09010","IKCLMC_10595","PKJKAM_16935"
"AJBGEP_01895","persistent","Cytochrome bd-type quinol oxidase, subunit 1","9","9","1.0","NA","NA","","","","1403","1403","1403.0","AJBGEP_01895","HFCAGB_01900","BEJGEH_01845","GEGEGB_13200","ODDLKH_04235","LNHIMF_01935","ONMMKP_09005","IKCLMC_10600","PKJKAM_16930"
"AJBGEP_01905","persistent","DUF2474 domain-containing protein","9","9","1.0","NA","NA","","","","131","131","131.0","AJBGEP_01905","HFCAGB_01910","BEJGEH_01855","GEGEGB_13190","ODDLKH_04245","LNHIMF_01945","ONMMKP_08995","IKCLMC_10610","PKJKAM_16920"
"AJBGEP_01910","persistent","AraC-type DNA-binding domain and AraC-containing proteins","9","9","1.0","NA","NA","","","","1004","1004","1004.0","AJBGEP_01910","HFCAGB_01915","BEJGEH_01860","GEGEGB_13185","ODDLKH_04250","LNHIMF_01950","ONMMKP_08990","IKCLMC_10615","PKJKAM_16915"
"AJBGEP_01920","persistent","Threonine/homoserine/homoserine lactone efflux protein","9","9","1.0","NA","NA","","","","632","632","632.0","AJBGEP_01920","HFCAGB_01925","BEJGEH_01870","GEGEGB_13175","ODDLKH_04260","LNHIMF_01960","ONMMKP_08980","IKCLMC_10625","PKJKAM_16905"
"AJBGEP_01925","persistent","DUF1471 domain-containing protein","9","9","1.0","NA","NA","","","","275","275","275.0","AJBGEP_01925","HFCAGB_01930","BEJGEH_01875","GEGEGB_13170","ODDLKH_04265","LNHIMF_01965","ONMMKP_08975","IKCLMC_10630","PKJKAM_16900"
"AJBGEP_01940","persistent","2-methylcitrate synthase","9","9","1.0","NA","NA","","","","1169","1169","1169.0","AJBGEP_01940","HFCAGB_01950","BEJGEH_01890","GEGEGB_13155","ODDLKH_04280","LNHIMF_01980","ONMMKP_08960","IKCLMC_10645","PKJKAM_16885"
"AJBGEP_01945","persistent","bifunctional 2-methylcitrate dehydratase/aconitate hydratase","9","9","1.0","NA","NA","","","","1451","1451","1451.0","AJBGEP_01945","HFCAGB_01955","BEJGEH_01895","GEGEGB_13150","ODDLKH_04285","LNHIMF_01985","ONMMKP_08955","IKCLMC_10650","PKJKAM_16880"
"AJBGEP_01950","persistent","propionate--CoA ligase","9","9","1.0","NA","NA","","","","1886","1886","1886.0","AJBGEP_01950","HFCAGB_01960","BEJGEH_01900","GEGEGB_13145","ODDLKH_04290","LNHIMF_01990","ONMMKP_08950","IKCLMC_10655","PKJKAM_16875"
"AJBGEP_01955","persistent","porphobilinogen synthase","9","9","1.0","NA","NA","","","","974","974","974.0","AJBGEP_01955","HFCAGB_01965","BEJGEH_01905","GEGEGB_13140","ODDLKH_04295","LNHIMF_01995","ONMMKP_08945","IKCLMC_10660","PKJKAM_16870"
"AJBGEP_01960","shell","Uncharacterized protein YaiT","6","7","1.17","NA","NA","","","","1328","2972","2515.57","AJBGEP_01960","","BEJGEH_01910","","ODDLKH_04300","","ONMMKP_08940","IKCLMC_10670" "IKCLMC_10665","PKJKAM_16865"
"AJBGEP_01965","persistent","hydrogen peroxide resistance inhibitor IprA","9","9","1.0","NA","NA","","","","623","623","623.0","AJBGEP_01965","HFCAGB_01975","BEJGEH_01915","GEGEGB_13130","ODDLKH_04305","LNHIMF_02005","ONMMKP_08935","IKCLMC_10675","PKJKAM_16860"
"AJBGEP_01970","persistent","D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH","9","9","1.0","NA","NA","","","","1157","1157","1157.0","AJBGEP_01970","HFCAGB_01980","BEJGEH_01920","GEGEGB_13125","ODDLKH_04310","LNHIMF_02010","ONMMKP_08930","IKCLMC_10680","PKJKAM_16855"
"AJBGEP_01975","persistent","peptide antibiotic transporter SbmA","9","9","1.0","NA","NA","","","","1220","1220","1220.0","AJBGEP_01975","HFCAGB_01985","BEJGEH_01925","GEGEGB_13120","ODDLKH_04315","LNHIMF_02015","ONMMKP_08925","IKCLMC_10685","PKJKAM_16850"
"AJBGEP_01980","persistent","surface-exposed outer membrane lipoprotein YaiW","9","9","1.0","NA","NA","","","","1094","1094","1094.0","AJBGEP_01980","HFCAGB_01990","BEJGEH_01930","GEGEGB_13115","ODDLKH_04320","LNHIMF_02020","ONMMKP_08920","IKCLMC_10690","PKJKAM_16845"
"AJBGEP_01985","persistent","DUF2755 domain-containing protein","9","9","1.0","NA","NA","","","","308","308","308.0","AJBGEP_01985","HFCAGB_01995","BEJGEH_01935","GEGEGB_13110","ODDLKH_04325","LNHIMF_02025","ONMMKP_08915","IKCLMC_10695","PKJKAM_16840"
"AJBGEP_01990","persistent","DUF2754 domain-containing protein","9","9","1.0","NA","NA","","","","215","215","215.0","AJBGEP_01990","HFCAGB_02000","BEJGEH_01940","GEGEGB_13105","ODDLKH_04330","LNHIMF_02030","ONMMKP_08910","IKCLMC_10700","PKJKAM_16835"
"AJBGEP_01995","persistent","D-alanine--D-alanine ligase","9","9","1.0","NA","NA","","","","1112","1112","1112.0","AJBGEP_01995","HFCAGB_02005","BEJGEH_01945","GEGEGB_13100","ODDLKH_04335","LNHIMF_02035","ONMMKP_08905","IKCLMC_10705","PKJKAM_16830"
"AJBGEP_02000","persistent","Uncharacterized conserved protein, contains Extensin-like_C domain","9","9","1.0","NA","NA","","","","683","683","683.0","AJBGEP_02000","HFCAGB_02010","BEJGEH_01950","GEGEGB_13095","ODDLKH_04340","LNHIMF_02040","ONMMKP_08900","IKCLMC_10710","PKJKAM_16825"
"AJBGEP_02010","persistent","anti-adapter protein IraP","9","9","1.0","NA","NA","","","","260","260","260.0","AJBGEP_02010","HFCAGB_02025","BEJGEH_01960","GEGEGB_13085","ODDLKH_04350","LNHIMF_02050","ONMMKP_08890","IKCLMC_10720","PKJKAM_16815"
"AJBGEP_02015","persistent","phosphate starvation-inducible protein PsiF","9","9","1.0","NA","NA","","","","320","320","320.0","AJBGEP_02015","HFCAGB_02030","BEJGEH_01965","GEGEGB_13080","ODDLKH_04355","LNHIMF_02055","ONMMKP_08885","IKCLMC_10725","PKJKAM_16810"
"AJBGEP_02020","persistent","diguanylate cyclase AdrA","9","9","1.0","NA","NA","","","","1112","1112","1112.0","AJBGEP_02020","HFCAGB_02035","BEJGEH_01970","GEGEGB_13075","ODDLKH_04360","LNHIMF_02060","ONMMKP_08880","IKCLMC_10730","PKJKAM_16805"
"AJBGEP_02025","persistent","pyrroline-5-carboxylate reductase","9","9","1.0","NA","NA","","","","809","809","809.0","AJBGEP_02025","HFCAGB_02040","BEJGEH_01975","GEGEGB_13070","ODDLKH_04365","LNHIMF_02065","ONMMKP_08875","IKCLMC_10735","PKJKAM_16800"
"AJBGEP_02030","persistent","YaiI/YqxD family protein","9","9","1.0","NA","NA","","","","455","455","455.0","AJBGEP_02030","HFCAGB_02045","BEJGEH_01980","GEGEGB_13065","ODDLKH_04370","LNHIMF_02070","ONMMKP_08870","IKCLMC_10740","PKJKAM_16795"
"AJBGEP_02035","persistent","shikimate kinase AroL","9","9","1.0","NA","NA","","","","545","545","545.0","AJBGEP_02035","HFCAGB_02050","BEJGEH_01985","GEGEGB_13060","ODDLKH_04375","LNHIMF_02075","ONMMKP_08865","IKCLMC_10745","PKJKAM_16790"
"AJBGEP_02045","persistent","AroM protein","9","10","1.11","NA","NA","","","","110","677","606.8","AJBGEP_02045","HFCAGB_02060","BEJGEH_01995","GEGEGB_13050" "GEGEGB_13045","ODDLKH_04385","LNHIMF_02085","ONMMKP_08855","IKCLMC_10755","PKJKAM_16780"
"AJBGEP_02050","persistent","pyrimidine/purine nucleoside phosphorylase","9","9","1.0","NA","NA","","","","284","284","284.0","AJBGEP_02050","HFCAGB_02065","BEJGEH_02000","GEGEGB_13040","ODDLKH_04390","LNHIMF_02090","ONMMKP_08850","IKCLMC_10760","PKJKAM_16775"
"AJBGEP_02055","persistent","recombination-associated protein RdgC","9","9","1.0","NA","NA","","","","911","911","911.0","AJBGEP_02055","HFCAGB_02070","BEJGEH_02005","GEGEGB_13035","ODDLKH_04395","LNHIMF_02095","ONMMKP_08845","IKCLMC_10765","PKJKAM_16770"
"AJBGEP_02060","persistent","fructokinase","9","9","1.0","NA","NA","","","","908","908","908.0","AJBGEP_02060","HFCAGB_02075","BEJGEH_02010","GEGEGB_13030","ODDLKH_04400","LNHIMF_02100","ONMMKP_08840","IKCLMC_10770","PKJKAM_16765"
"AJBGEP_02065","persistent","MFS transporter AraJ","9","11","1.22","NA","NA","","","","134","1172","957.09","AJBGEP_02065","HFCAGB_02080","BEJGEH_02015","GEGEGB_13020" "GEGEGB_13025","ODDLKH_04405","LNHIMF_02105","ONMMKP_08835" "ONMMKP_08830","IKCLMC_10775","PKJKAM_16760"
"AJBGEP_02075","persistent","exonuclease subunit SbcD","9","9","1.0","NA","NA","","","","1202","1202","1202.0","AJBGEP_02075","HFCAGB_02090","BEJGEH_02025","GEGEGB_13010","ODDLKH_04415","LNHIMF_02115","ONMMKP_08820","IKCLMC_10785","PKJKAM_16750"
"AJBGEP_02080","persistent","Phosphate regulon transcriptional regulatory protein PhoB","9","9","1.0","NA","NA","","","","689","689","689.0","AJBGEP_02080","HFCAGB_02095","BEJGEH_02030","GEGEGB_13005","ODDLKH_04420","LNHIMF_02120","ONMMKP_08815","IKCLMC_10790","PKJKAM_16745"
"AJBGEP_02085","persistent","phosphate regulon sensor histidine kinase PhoR","9","9","1.0","NA","NA","","","","1295","1295","1295.0","AJBGEP_02085","HFCAGB_02100","BEJGEH_02035","GEGEGB_13000","ODDLKH_04425","LNHIMF_02125","ONMMKP_08810","IKCLMC_10795","PKJKAM_16740"
"AJBGEP_02090","persistent","branched-chain amino acid transporter carrier protein BrnQ","9","9","1.0","NA","NA","","","","1319","1319","1319.0","AJBGEP_02090","HFCAGB_02105","BEJGEH_02040","GEGEGB_12995","ODDLKH_04430","LNHIMF_02130","ONMMKP_08805","IKCLMC_10800","PKJKAM_16735"
"AJBGEP_02095","persistent","proline-specific permease ProY","9","9","1.0","NA","NA","","","","1370","1370","1370.0","AJBGEP_02095","HFCAGB_02110","BEJGEH_02045","GEGEGB_12980","ODDLKH_04435","LNHIMF_02135","ONMMKP_08800","IKCLMC_10805","PKJKAM_16730"
"AJBGEP_02105","persistent","Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)","9","9","1.0","NA","NA","","","","602","602","602.0","AJBGEP_02105","HFCAGB_02125","BEJGEH_02055","GEGEGB_12970","ODDLKH_04445","LNHIMF_02145","ONMMKP_08790","IKCLMC_10815","PKJKAM_16720"
"AJBGEP_02110","persistent","ACP phosphodiesterase","9","9","1.0","NA","NA","","","","581","581","581.0","AJBGEP_02110","HFCAGB_02130","BEJGEH_02060","GEGEGB_12965","ODDLKH_04450","LNHIMF_02150","ONMMKP_08785","IKCLMC_10820","PKJKAM_16715"
"AJBGEP_03700","shell","Site-specific recombinase XerD","6","6","1.0","NA","NA","","","","566","566","566.0","AJBGEP_03700","","","GEGEGB_11390","ODDLKH_06045","LNHIMF_04280","ONMMKP_07215","IKCLMC_02080",""
"AJBGEP_03705","shell","Inner membrane protein","6","6","1.0","NA","NA","","","","221","221","221.0","AJBGEP_03705","","","GEGEGB_11385","ODDLKH_06050","LNHIMF_04285","ONMMKP_07210","IKCLMC_02075",""
"AJBGEP_03710","shell","Transport protein","6","6","1.0","NA","NA","","","","740","740","740.0","AJBGEP_03710","","","GEGEGB_11380","ODDLKH_06055","LNHIMF_04290","ONMMKP_07205","IKCLMC_02070",""
"AJBGEP_03715","shell","UDP-galactopyranose mutase","6","6","1.0","NA","NA","","","","1067","1151","1137.0","AJBGEP_03715","","","GEGEGB_11375","ODDLKH_06060","LNHIMF_04295","ONMMKP_07200","IKCLMC_02065",""
"AJBGEP_03720","shell","Glycosyltransferase, GT2 family","6","6","1.0","NA","NA","","","","893","893","893.0","AJBGEP_03720","","","GEGEGB_11370","ODDLKH_06065","LNHIMF_04300","ONMMKP_07195","IKCLMC_02060",""
"AJBGEP_03725","shell","Glycosyltransferase involved in cell wall bisynthesis","6","6","1.0","NA","NA","","","","1133","1133","1133.0","AJBGEP_03725","","","GEGEGB_11365","ODDLKH_06070","LNHIMF_04305","ONMMKP_07190","IKCLMC_02055",""
"AJBGEP_03730","shell","ABC-type polysaccharide/teichoic acid/polyol phosphate export permease","6","6","1.0","NA","NA","","","","563","770","735.5","AJBGEP_03730","","","GEGEGB_11360","ODDLKH_06075","LNHIMF_04310","ONMMKP_07185","IKCLMC_02050",""
"AJBGEP_03735","shell","ABC-type polysaccharide/polyol phosphate transport system, ATPase component","6","6","1.0","NA","NA","","","","710","710","710.0","AJBGEP_03735","","","GEGEGB_11355","ODDLKH_06080","LNHIMF_04315","ONMMKP_07180","IKCLMC_02045",""
"AJBGEP_03750","shell","putative sugar hydrolase, contains GT1 and HAD domains","6","7","1.17","NA","NA","","","","452","1949","1567.57","AJBGEP_03750","","","GEGEGB_11335" "GEGEGB_11330","ODDLKH_06095","LNHIMF_04330","ONMMKP_07165","IKCLMC_02030",""
"AJBGEP_03755","shell","putative sugar hydrolase, contains GT1 and HAD domains","6","6","1.0","NA","NA","","","","137","152","139.5","AJBGEP_03755","","","GEGEGB_11325","ODDLKH_06100","LNHIMF_04335","ONMMKP_07160","IKCLMC_02025",""
"AJBGEP_03760","persistent","endonuclease VIII","9","9","1.0","NA","NA","","","","791","791","791.0","AJBGEP_03760","HFCAGB_04050","BEJGEH_03640","GEGEGB_11320","ODDLKH_06105","LNHIMF_04340","ONMMKP_07155","IKCLMC_02020","PKJKAM_02065"
